Updated,Confirmed,Deaths
02/24/2020,1,0.0
02/25/2020,1,0.0
02/26/2020,1,0.0
02/27/2020,1,0.0
02/28/2020,1,0.0
02/29/2020,1,0.0
03/01/2020,1,0.0
03/02/2020,1,0.0
03/03/2020,1,0.0
03/04/2020,1,0.0
03/05/2020,1,0.0
03/06/2020,1,0.0
03/07/2020,4,0.0
03/08/2020,4,0.0
03/09/2020,4,0.0
03/10/2020,7,0.0
03/11/2020,8,0.0
03/12/2020,9,0.0
03/13/2020,10,0.0
03/14/2020,11,0.0
03/15/2020,16,0.0
03/16/2020,21,0.0
03/17/2020,22,0.0
03/18/2020,22,0.0
03/19/2020,22,0.0
03/20/2020,24,0.0
03/21/2020,24,0.0
03/22/2020,40,1.0
03/23/2020,42,1.0
03/24/2020,74,1.0
03/25/2020,84,2.0
03/26/2020,94,4.0
03/27/2020,110,4.0
03/28/2020,115,4.0
03/29/2020,120,4.0
03/30/2020,145,4.0
03/31/2020,196,4.0
04/01/2020,239,4.0
04/02/2020,273,6.0
04/03/2020,299,6.0
04/04/2020,337,7.0
04/05/2020,367,7.0
04/06/2020,423,11.0
04/07/2020,425,11.0
04/08/2020,444,14.0
04/09/2020,484,15.0
04/10/2020,555,18.0
04/11/2020,607,18.0
04/12/2020,665,21.0
04/13/2020,714,23.0
04/14/2020,784,25.0
04/15/2020,840,30.0
04/16/2020,906,30.0
04/17/2020,933,30.0
04/18/2020,996,33.0
04/19/2020,1031,36.0
04/20/2020,1092,36.0
04/21/2020,1176,40.0
04/22/2020,1282,42.0
04/23/2020,1351,43.0
04/24/2020,1463,47.0
04/25/2020,1531,50.0
04/26/2020,1703,57.0
04/27/2020,1828,58.0
04/28/2020,1939,60.0
04/29/2020,2171,64.0
04/30/2020,2335,68.0
05/01/2020,2469,72.0
05/02/2020,2704,85.0
05/03/2020,2894,90.0
05/04/2020,3224,95.0
05/05/2020,3392,104.0
05/06/2020,3563,106.0
05/07/2020,3778,109.0
05/08/2020,4033,115.0
05/09/2020,4402,120.0
05/10/2020,4687,122.0
05/11/2020,4963,127.0
05/12/2020,5226,132.0
05/13/2020,5639,136.0
05/14/2020,6053,153.0
05/15/2020,6402,168.0
05/16/2020,6664,169.0
05/17/2020,7072,173.0
05/18/2020,7653,178.0
05/19/2020,8145,187.0
05/20/2020,8676,193.0
05/21/2020,9216,205.0
05/22/2020,9998,216.0
05/23/2020,10582,218.0
05/24/2020,11173,219.0
05/25/2020,11831,220.0
05/26/2020,12456,227.0
05/27/2020,13036,235.0
05/28/2020,13659,246.0
05/29/2020,14525,249.0
05/30/2020,15205,257.0
05/31/2020,15750,265.0
06/01/2020,16509,270.0
06/02/2020,17267,294.0
06/03/2020,18054,300.0
06/04/2020,18969,309.0
06/05/2020,19555,327.0
06/06/2020,20342,357.0
06/07/2020,20917,369.0
06/08/2020,21459,384.0
06/09/2020,22143,405.0
06/10/2020,22890,426.0
06/11/2020,23546,446.0
06/12/2020,24102,451.0
06/13/2020,24766,471.0
06/14/2020,25527,478.0
06/15/2020,26310,491.0
06/16/2020,26717,491.0
06/17/2020,27124,491.0
06/18/2020,27532,546.0
06/19/2020,27878,548.0
06/20/2020,28355,548.0
06/21/2020,28833,581.0
06/22/2020,29143,598.0
06/23/2020,29481,618.0
06/24/2020,29640,639.0
06/25/2020,30175,675.0
