Updated,Confirmed,Deaths
03/08/2020,2,0
03/09/2020,6,0
03/10/2020,10,0
03/11/2020,15,1
03/12/2020,23,1
03/13/2020,33,1
03/14/2020,38,1
03/15/2020,42,1
03/16/2020,51,1
03/17/2020,55,1
03/18/2020,59,2
03/19/2020,64,2
03/20/2020,70,2
03/21/2020,76,2
03/22/2020,89,3
03/23/2020,104,4
03/24/2020,123,5
03/25/2020,146,5
03/26/2020,174,6
03/27/2020,186,8
03/28/2020,197,10
03/29/2020,212,10
03/30/2020,223,11
03/31/2020,243,13
04/01/2020,259,15
04/02/2020,277,16
04/03/2020,304,17
04/04/2020,333,18
04/05/2020,361,20
04/06/2020,377,21
04/07/2020,383,22
04/08/2020,400,22
04/09/2020,409,22
04/10/2020,416,23
04/11/2020,433,23
04/12/2020,446,23
04/13/2020,467,24
04/14/2020,475,24
04/15/2020,494,25
04/16/2020,518,26
04/17/2020,539,26
04/18/2020,548,26
04/19/2020,562,26
04/20/2020,584,26
04/21/2020,609,26
04/22/2020,634,27
04/23/2020,663,27
04/24/2020,678,27
04/25/2020,712,27
04/26/2020,726,28
04/27/2020,736,28
04/28/2020,750,30
04/29/2020,766,30
04/30/2020,773,31
05/01/2020,782,31
05/02/2020,789,31
05/03/2020,795,31
05/04/2020,803,31
05/05/2020,820,31
05/06/2020,832,31
05/07/2020,842,31
05/08/2020,850,31
05/09/2020,856,31
05/10/2020,868,31
05/11/2020,872,31
05/12/2020,876,31
05/13/2020,880,31
05/14/2020,898,31
05/15/2020,916,31
05/16/2020,933,31
05/17/2020,946,31
05/18/2020,948,31
05/19/2020,949,31
05/20/2020,964,31
05/21/2020,969,31
05/22/2020,981,31
05/23/2020,989,31
05/24/2020,998,32
05/25/2020,1004,32
05/26/2020,1029,33
05/27/2020,1050,33
05/28/2020,1076,33
05/29/2020,1099,33
05/30/2020,1122,33
05/31/2020,1137,33
06/01/2020,1143,33
06/02/2020,1164,33
06/03/2020,1184,33
06/04/2020,1197,33
06/05/2020,1212,33
06/06/2020,1232,34
06/07/2020,1246,34
06/08/2020,1263,34
06/09/2020,1299,34
06/10/2020,1341,34
06/11/2020,1385,35
06/12/2020,1416,36
06/13/2020,1464,36
06/14/2020,1521,36
06/15/2020,1590,36
06/16/2020,1672,37
06/17/2020,1722,38
06/18/2020,1788,39
06/19/2020,1838,42
06/20/2020,1891,43
06/21/2020,1962,44
06/22/2020,1995,44
06/23/2020,2047,45
06/24/2020,2114,47
06/25/2020,2192,48
06/26/2020,2269,51
06/27/2020,2330,53
06/28/2020,2402,55
06/29/2020,2466,58
06/30/2020,2535,62
07/01/2020,2580,65
07/02/2020,2666,65
07/03/2020,2752,72
07/04/2020,2819,74
07/05/2020,2893,76
