Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
02/25/2020,1,0,0,0
02/26/2020,1,0,0,0
02/27/2020,1,0,0,0
02/28/2020,1,0,0,0
02/29/2020,1,0,0,0
03/01/2020,1,0,0,0
03/02/2020,3,2,0,0
03/03/2020,8,5,0,0
03/04/2020,13,5,0,0
03/05/2020,15,2,0,0
03/06/2020,17,2,0,0
03/07/2020,20,3,0,0
03/08/2020,21,1,0,0
03/09/2020,22,1,0,0
03/10/2020,23,1,0,0
03/11/2020,24,1,0,0
03/12/2020,26,2,1,1
03/13/2020,27,1,1,0
03/14/2020,35,8,3,2
03/15/2020,52,17,4,1
03/16/2020,58,6,4,0
03/17/2020,60,2,5,1
03/18/2020,72,12,7,2
03/19/2020,90,18,8,1
03/20/2020,102,12,12,4
03/21/2020,139,37,15,3
03/22/2020,201,62,17,2
03/23/2020,230,29,17,0
03/24/2020,264,34,19,2
03/25/2020,302,38,21,2
03/26/2020,367,65,25,4
03/27/2020,409,42,26,1
03/28/2020,454,45,29,3
03/29/2020,511,57,31,2
03/30/2020,584,73,35,4
03/31/2020,716,132,44,9
04/01/2020,847,131,58,14
04/02/2020,986,139,86,28
04/03/2020,1171,185,105,19
04/04/2020,1251,80,130,25
04/05/2020,1320,69,152,22
04/06/2020,1423,103,173,21
04/07/2020,1468,45,193,20
04/08/2020,1572,104,205,12
04/09/2020,1666,94,235,30
04/10/2020,1761,95,256,21
04/11/2020,1825,64,275,19
04/12/2020,1914,89,293,18
04/13/2020,1983,69,313,20
04/14/2020,2070,87,326,13
04/15/2020,2160,90,336,10
04/16/2020,2268,108,348,12
04/17/2020,2418,150,364,16
04/18/2020,2534,116,367,3
04/19/2020,2629,95,375,8
04/20/2020,2718,89,384,9
04/21/2020,2811,93,392,8
04/22/2020,2910,99,402,10
04/23/2020,3007,97,407,5
04/24/2020,3127,120,415,8
04/25/2020,3256,129,419,4
04/26/2020,3382,126,425,6
04/27/2020,3517,135,432,7
04/28/2020,3649,132,437,5
04/29/2020,3848,199,444,7
04/30/2020,4006,158,450,6
05/01/2020,4154,148,453,3
05/02/2020,4295,141,459,6
05/03/2020,4474,179,463,4
05/04/2020,4648,174,465,2
05/05/2020,4838,190,470,5
05/06/2020,4997,159,476,6
05/07/2020,5182,185,483,7
05/08/2020,5369,187,488,5
05/09/2020,5558,189,494,6
05/10/2020,5723,165,502,8
05/11/2020,5891,168,507,5
05/12/2020,6067,176,515,8
05/13/2020,6253,186,522,7
05/14/2020,6442,189,529,7
05/15/2020,6629,187,536,7
05/16/2020,6821,192,542,6
05/17/2020,7019,198,548,6
05/18/2020,7201,182,555,7
05/19/2020,7377,176,561,6
05/20/2020,7542,165,568,7
05/21/2020,7728,186,575,7
05/22/2020,7918,190,582,7
05/23/2020,8113,195,592,10
05/24/2020,8306,193,600,8
05/25/2020,8503,197,609,9
05/26/2020,8697,194,617,8
05/27/2020,8857,160,623,6
05/28/2020,8997,140,630,7
05/29/2020,9134,137,638,8
05/30/2020,9267,133,646,8
05/31/2020,9394,127,653,7
06/01/2020,9513,119,661,8
06/02/2020,9626,113,667,6
06/03/2020,9733,107,673,6
06/04/2020,9831,98,681,8
06/05/2020,9935,104,690,9
06/06/2020,10050,115,698,8
06/07/2020,10154,104,707,9
06/08/2020,10265,111,715,8
06/09/2020,10382,117,724,9
06/10/2020,10484,102,732,8
06/11/2020,10589,105,741,9
06/12/2020,10698,109,751,10
06/13/2020,10810,112,760,9
06/14/2020,10919,109,767,7
06/15/2020,11031,112,777,10
06/16/2020,11147,116,788,11
06/17/2020,11268,121,799,11
06/18/2020,11385,117,811,12
06/19/2020,11504,119,825,14
06/20/2020,11631,127,837,12
06/21/2020,11771,140,845,8
06/22/2020,11920,149,852,7
06/23/2020,12076,156,861,9
06/24/2020,12248,172,869,8
06/25/2020,12445,197,878,9
06/26/2020,12685,240,885,7
06/27/2020,12968,283,892,7
06/28/2020,13273,305,897,5
06/29/2020,13571,298,905,8
06/30/2020,13907,336,912,7
07/01/2020,14272,365,920,8
07/02/2020,14657,385,928,8
07/03/2020,15070,413,937,9
07/04/2020,15500,430,946,9
07/05/2020,15941,441,952,6
07/06/2020,16404,463,959,7
