Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
03/02/2020,1,0,0,0
03/03/2020,1,0,0,0
03/04/2020,1,0,0,0
03/05/2020,1,0,0,0
03/06/2020,1,0,0,0
03/07/2020,1,0,0,0
03/08/2020,1,0,0,0
03/09/2020,1,0,0,0
03/10/2020,1,0,0,0
03/11/2020,1,0,0,0
03/12/2020,1,0,0,0
03/13/2020,1,0,0,0
03/14/2020,2,1,0,0
03/15/2020,2,0,0,0
03/16/2020,2,0,0,0
03/17/2020,14,12,0,0
03/18/2020,16,2,0,0
03/19/2020,74,58,0,0
03/20/2020,75,1,0,0
03/21/2020,88,13,0,0
03/22/2020,112,24,1,1
03/23/2020,132,20,1,0
03/24/2020,162,30,1,0
03/25/2020,164,2,3,2
03/26/2020,188,24,3,0
03/27/2020,267,79,3,0
03/28/2020,308,41,3,0
03/29/2020,334,26,6,3
03/30/2020,352,18,6,0
03/31/2020,370,18,8,2
04/01/2020,390,20,14,6
04/02/2020,428,38,15,1
04/03/2020,439,11,16,1
04/04/2020,466,27,17,1
04/05/2020,501,35,18,1
04/06/2020,526,25,21,3
04/07/2020,545,19,22,1
04/08/2020,564,19,23,1
04/09/2020,583,19,25,2
04/10/2020,601,18,26,1
04/11/2020,619,18,26,0
04/12/2020,638,19,29,3
04/13/2020,646,8,29,0
04/14/2020,659,13,31,2
04/15/2020,673,14,33,2
04/16/2020,682,9,33,0
04/17/2020,696,14,35,2
04/18/2020,704,8,35,0
04/19/2020,713,9,36,1
04/20/2020,717,4,36,0
04/21/2020,720,3,36,0
04/22/2020,723,3,37,1
04/23/2020,727,4,37,0
04/24/2020,731,4,40,3
04/25/2020,738,7,40,0
04/26/2020,740,2,40,0
04/27/2020,743,3,40,0
04/28/2020,743,0,41,1
04/29/2020,744,1,42,1
04/30/2020,745,1,42,0
05/01/2020,746,1,43,1
05/02/2020,747,1,44,1
05/03/2020,748,1,45,1
05/04/2020,749,1,45,0
05/05/2020,751,2,46,1
05/06/2020,751,0,46,0
05/07/2020,752,1,47,1
05/08/2020,753,1,47,0
05/09/2020,754,1,48,1
05/10/2020,755,1,48,0
05/11/2020,756,1,48,0
05/12/2020,758,2,48,0
05/13/2020,760,2,49,1
05/14/2020,761,1,49,0
05/15/2020,761,0,49,0
05/16/2020,761,0,51,2
05/17/2020,761,0,51,0
05/18/2020,761,0,51,0
05/19/2020,761,0,51,0
05/20/2020,762,1,51,0
05/21/2020,762,0,51,0
05/22/2020,762,0,51,0
05/23/2020,762,0,51,0
05/24/2020,762,0,51,0
05/25/2020,763,1,51,0
05/26/2020,763,0,51,0
05/27/2020,763,0,51,0
05/28/2020,763,0,51,0
05/29/2020,764,1,51,0
05/30/2020,764,0,51,0
05/31/2020,764,0,51,0
06/01/2020,765,1,51,0
06/02/2020,844,79,51,0
06/03/2020,848,4,51,0
06/04/2020,852,4,51,0
06/05/2020,852,0,51,0
06/06/2020,852,0,51,0
06/07/2020,852,0,51,0
06/08/2020,852,0,51,0
06/09/2020,852,0,51,0
06/10/2020,852,0,51,0
06/11/2020,852,0,51,0
06/12/2020,853,1,51,0
06/13/2020,853,0,51,0
06/14/2020,853,0,51,0
06/15/2020,853,0,51,0
06/16/2020,853,0,51,0
06/17/2020,854,1,52,1
06/18/2020,854,0,52,0
06/19/2020,855,1,52,0
06/20/2020,855,0,52,0
06/21/2020,855,0,52,0
06/22/2020,855,0,52,0
06/23/2020,855,0,52,0
06/24/2020,855,0,52,0
06/25/2020,855,0,52,0
06/26/2020,855,0,52,0
06/27/2020,855,0,52,0
06/28/2020,855,0,52,0
06/29/2020,855,0,52,0
06/30/2020,855,0,52,0
07/01/2020,855,0,52,0
07/02/2020,855,0,52,0
07/03/2020,855,0,52,0
07/04/2020,855,0,52,0
07/05/2020,855,0,52,0
