Updated,Confirmed,Deaths
03/13/2020,1,0
03/14/2020,1,0
03/15/2020,1,0
03/16/2020,1,0
03/17/2020,1,0
03/18/2020,1,0
03/19/2020,1,0
03/20/2020,1,0
03/21/2020,1,0
03/22/2020,1,0
03/23/2020,1,0
03/24/2020,1,0
03/25/2020,3,0
03/26/2020,3,0
03/27/2020,3,0
03/28/2020,3,0
03/29/2020,7,0
03/30/2020,7,0
03/31/2020,7,0
04/01/2020,7,0
04/02/2020,9,0
04/03/2020,9,0
04/04/2020,15,0
04/05/2020,15,0
04/06/2020,15,0
04/07/2020,19,1
04/08/2020,19,1
04/09/2020,19,1
04/10/2020,21,2
04/11/2020,21,2
04/13/2020,23,2
04/14/2020,23,2
04/15/2020,23,2
04/16/2020,23,3
04/18/2020,23,3
04/20/2020,23,3
04/21/2020,23,3
04/22/2020,24,3
04/23/2020,24,3
04/24/2020,24,3
04/25/2020,24,3
04/26/2020,24,3
04/27/2020,24,3
04/28/2020,24,3
04/29/2020,24,3
04/30/2020,24,3
05/01/2020,24,3
05/02/2020,24,3
05/03/2020,24,3
05/04/2020,24,3
05/05/2020,24,3
05/06/2020,24,3
05/07/2020,24,3
05/08/2020,24,3
05/09/2020,24,3
05/10/2020,24,3
05/11/2020,24,3
05/12/2020,24,3
05/13/2020,24,3
05/14/2020,24,3
05/15/2020,24,3
05/16/2020,24,3
05/17/2020,24,3
05/18/2020,24,3
05/19/2020,24,3
05/20/2020,24,3
05/21/2020,24,3
05/22/2020,24,3
05/23/2020,24,3
05/24/2020,24,3
05/25/2020,24,3
05/26/2020,24,3
05/27/2020,24,3
05/28/2020,24,3
05/29/2020,24,3
05/30/2020,24,3
05/31/2020,26,3
06/01/2020,26,3
06/02/2020,26,3
06/03/2020,26,3
06/04/2020,26,3
06/05/2020,26,3
06/06/2020,26,3
06/07/2020,26,3
06/08/2020,26,3
06/09/2020,26,3
06/10/2020,26,3
06/11/2020,26,3
06/12/2020,26,3
06/13/2020,26,3
06/14/2020,26,3
06/15/2020,26,3
06/16/2020,26,3
06/17/2020,26,3
06/18/2020,26,3
06/19/2020,26,3
06/20/2020,26,3
06/21/2020,26,3
06/22/2020,26,3
06/23/2020,26,3
06/24/2020,65,3
06/25/2020,66,3
06/26/2020,67,3
06/27/2020,68,3
06/28/2020,69,3
06/29/2020,69,3
06/30/2020,69,3
07/01/2020,69,3
07/02/2020,69,3
07/03/2020,69,3
07/04/2020,69,3
07/05/2020,69,3
