Updated,Confirmed,Deaths
01/25/2020,4,0
01/26/2020,4,0
01/27/2020,5,0
01/28/2020,5,0
01/29/2020,7,0
01/30/2020,9,0
01/31/2020,9,0
02/01/2020,10,0
02/02/2020,12,0
02/03/2020,12,0
02/04/2020,13,0
02/05/2020,14,0
02/06/2020,15,0
02/07/2020,15,0
02/08/2020,15,0
02/09/2020,15,0
02/10/2020,15,0
02/11/2020,15,0
02/12/2020,15,0
02/13/2020,15,0
02/14/2020,15,0
02/15/2020,15,0
02/16/2020,15,0
02/17/2020,15,0
02/18/2020,15,0
02/19/2020,15,0
02/20/2020,17,0
02/21/2020,21,0
02/22/2020,21,0
02/23/2020,22,0
02/24/2020,22,0
02/25/2020,22,0
02/26/2020,23,0
02/27/2020,23,0
02/28/2020,25,0
02/29/2020,26,0
03/01/2020,29,0
03/02/2020,33,1
03/03/2020,40,1
03/04/2020,51,1
03/05/2020,59,2
03/06/2020,63,2
03/07/2020,73,2
03/08/2020,78,3
03/09/2020,91,3
03/10/2020,112,3
03/11/2020,128,3
03/12/2020,156,3
03/13/2020,198,3
03/14/2020,248,3
03/15/2020,298,3
03/16/2020,376,5
03/17/2020,453,5
03/18/2020,566,6
03/19/2020,708,6
03/20/2020,875,6
03/21/2020,1071,7
03/22/2020,1352,7
03/23/2020,1716,7
03/24/2020,2146,8
03/25/2020,2431,8
03/26/2020,2805,13
03/27/2020,3179,13
03/28/2020,3639,14
03/29/2020,3985,16
03/30/2020,4250,18
03/31/2020,4560,19
04/01/2020,4864,21
04/02/2020,5136,25
04/03/2020,5358,28
04/04/2020,5552,30
04/05/2020,5687,34
04/06/2020,5795,43
04/07/2020,5908,48
04/08/2020,6013,50
04/09/2020,6103,51
04/10/2020,6203,54
04/11/2020,6292,56
04/12/2020,6313,59
04/13/2020,6359,61
04/14/2020,6400,61
04/15/2020,6447,63
04/16/2020,6468,63
04/17/2020,6523,65
04/18/2020,6565,69
04/19/2020,6606,71
04/20/2020,6619,71
04/21/2020,6645,72
04/22/2020,6649,74
04/23/2020,6661,76
04/24/2020,6675,78
04/25/2020,6695,81
04/26/2020,6711,83
04/27/2020,6720,83
04/28/2020,6731,88
04/29/2020,6746,89
04/30/2020,6753,91
05/01/2020,6767,93
05/02/2020,6783,93
05/03/2020,6801,93
05/04/2020,6825,96
05/05/2020,6849,96
05/06/2020,6875,97
05/07/2020,6896,97
05/08/2020,6914,97
05/09/2020,6929,97
05/10/2020,6941,97
05/11/2020,6948,97
05/12/2020,6964,97
05/13/2020,6975,98
05/14/2020,6989,98
05/15/2020,7019,98
05/16/2020,7036,98
05/17/2020,7045,98
05/18/2020,7060,99
05/19/2020,7068,100
05/20/2020,7079,100
05/21/2020,7081,100
05/22/2020,7095,101
05/23/2020,7106,102
05/24/2020,7109,102
05/25/2020,7118,102
05/26/2020,7133,102
05/27/2020,7139,103
05/28/2020,7150,103
05/29/2020,7173,103
05/30/2020,7185,103
05/31/2020,7195,103
06/01/2020,7204,103
06/02/2020,7221,103
06/03/2020,7229,103
06/04/2020,7240,103
06/05/2020,7251,103
06/06/2020,7255,103
06/07/2020,7260,103
06/08/2020,7265,103
06/09/2020,7267,103
06/10/2020,7276,103
06/11/2020,7285,103
06/12/2020,7290,103
06/13/2020,7302,103
06/14/2020,7320,103
06/15/2020,7335,103
06/16/2020,7347,103
06/17/2020,7370,103
06/18/2020,7391,103
06/19/2020,7409,103
06/20/2020,7436,103
06/21/2020,7461,103
06/22/2020,7474,103
06/23/2020,7492,103
06/24/2020,7521,103
06/25/2020,7558,104
06/26/2020,7595,104
06/27/2020,7641,104
06/28/2020,7686,104
06/29/2020,7767,104
06/30/2020,7834,104
07/01/2020,7920,104
07/02/2020,8001,104
07/03/2020,8255,104
07/04/2020,8362,104
07/05/2020,8449,104
07/06/2020,8586,106
