Updated,Confirmed,Deaths
02/25/2020,2,0
02/26/2020,2,0
02/27/2020,2,0
02/28/2020,4,0
02/29/2020,5,0
03/01/2020,10,0
03/02/2020,10,0
03/03/2020,18,0
03/04/2020,29,0
03/05/2020,41,0
03/06/2020,55,0
03/07/2020,79,0
03/08/2020,99,0
03/09/2020,131,0
03/10/2020,182,0
03/11/2020,246,0
03/12/2020,361,1
03/13/2020,504,1
03/14/2020,655,1
03/15/2020,860,1
03/16/2020,1016,3
03/17/2020,1332,3
03/18/2020,1646,4
03/19/2020,2013,6
03/20/2020,2388,6
03/21/2020,2814,8
03/22/2020,3244,16
03/23/2020,3924,21
03/24/2020,4876,28
03/25/2020,5560,31
03/26/2020,6398,49
03/27/2020,7399,58
03/28/2020,7995,68
03/29/2020,8536,86
03/30/2020,9377,108
03/31/2020,9974,128
04/01/2020,10482,146
04/02/2020,10967,158
04/03/2020,11383,168
04/04/2020,11665,186
04/05/2020,11907,204
04/06/2020,12206,220
04/07/2020,12519,243
04/08/2020,12852,273
04/09/2020,13138,295
04/10/2020,13492,319
04/11/2020,13776,337
04/12/2020,13894,350
04/13/2020,13999,368
04/14/2020,14159,384
04/15/2020,14321,393
04/16/2020,14451,410
04/17/2020,14553,431
04/18/2020,14637,443
04/19/2020,14696,452
04/20/2020,14755,470
04/21/2020,14810,491
04/22/2020,14889,510
04/23/2020,14963,522
04/24/2020,15038,530
04/25/2020,15117,536
04/26/2020,15175,542
04/27/2020,15239,549
04/28/2020,15286,569
04/29/2020,15353,580
04/30/2020,15424,584
05/01/2020,15470,589
05/02/2020,15508,596
05/03/2020,15527,598
05/04/2020,15551,600
05/05/2020,15579,606
05/06/2020,15633,608
05/07/2020,15665,609
05/08/2020,15714,614
05/09/2020,15756,615
05/10/2020,15786,618
05/11/2020,15845,620
05/12/2020,15894,623
05/13/2020,15973,624
05/14/2020,16014,626
05/15/2020,16093,628
05/16/2020,16146,629
05/17/2020,16167,629
05/18/2020,16201,629
05/19/2020,16261,632
05/20/2020,16295,633
05/21/2020,16335,633
05/22/2020,16388,635
05/23/2020,16414,639
05/24/2020,16440,640
05/25/2020,16459,641
05/26/2020,16497,643
05/27/2020,16514,645
05/28/2020,16544,668
05/29/2020,16575,668
05/30/2020,16685,668
05/31/2020,16731,668
06/01/2020,16733,668
06/02/2020,16759,669
06/03/2020,16771,670
06/04/2020,16805,670
06/05/2020,16843,672
06/06/2020,16898,672
06/07/2020,16902,672
06/08/2020,16968,672
06/09/2020,16979,672
06/10/2020,17005,673
06/11/2020,17034,674
06/12/2020,17064,675
06/13/2020,17078,677
06/14/2020,17109,677
06/15/2020,17135,678
06/16/2020,17189,681
06/17/2020,17203,687
06/18/2020,17223,688
06/19/2020,17271,688
06/20/2020,17323,688
06/21/2020,17341,690
06/22/2020,17380,690
06/23/2020,17408,693
06/24/2020,17449,693
06/25/2020,17477,698
06/26/2020,17522,698
06/27/2020,17589,698
06/28/2020,17656,698
06/29/2020,17723,703
06/30/2020,17766,705
07/01/2020,17873,705
07/02/2020,17941,705
07/03/2020,18050,705
07/04/2020,18165,705
07/05/2020,18280,706
07/06/2020,18365,706
