Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
03/08/2020,3,0,0,0
03/09/2020,3,0,0,0
03/10/2020,3,0,0,0
03/11/2020,3,0,0,0
03/12/2020,3,0,0,0
03/13/2020,3,0,0,0
03/14/2020,3,0,0,0
03/15/2020,5,2,0,0
03/16/2020,8,3,0,0
03/17/2020,10,2,0,0
03/18/2020,14,4,1,1
03/19/2020,17,3,1,0
03/20/2020,20,3,1,0
03/21/2020,24,4,2,1
03/22/2020,27,3,2,0
03/23/2020,33,6,3,1
03/24/2020,39,6,4,1
03/25/2020,39,0,5,1
03/26/2020,44,5,5,0
03/27/2020,48,4,5,0
03/28/2020,48,0,5,0
03/29/2020,48,0,5,0
03/30/2020,49,1,5,0
03/31/2020,51,2,5,0
04/01/2020,54,3,6,1
04/02/2020,56,2,6,0
04/03/2020,61,5,6,0
04/04/2020,70,9,8,2
04/05/2020,88,18,9,1
04/06/2020,123,35,12,3
04/07/2020,164,41,17,5
04/08/2020,218,54,20,3
04/09/2020,330,112,21,1
04/10/2020,424,94,27,6
04/11/2020,482,58,30,3
04/12/2020,621,139,34,4
04/13/2020,803,182,39,5
04/14/2020,1012,209,46,7
04/15/2020,1280,268,50,4
04/16/2020,1572,292,60,10
04/17/2020,1838,266,75,15
04/18/2020,2144,306,84,9
04/19/2020,2456,312,91,7
04/20/2020,2948,492,101,10
04/21/2020,3382,434,110,9
04/22/2020,3772,390,120,10
04/23/2020,4186,414,127,7
04/24/2020,4689,503,131,4
04/25/2020,4998,309,140,9
04/26/2020,5416,418,145,5
04/27/2020,5913,497,152,7
04/28/2020,6462,549,155,3
04/29/2020,7103,641,163,8
04/30/2020,7667,564,168,5
05/01/2020,8238,571,170,2
05/02/2020,8790,552,175,5
05/03/2020,9455,665,177,2
05/04/2020,10143,688,182,5
05/05/2020,10929,786,183,1
05/06/2020,11719,790,186,3
05/07/2020,12425,706,199,13
05/08/2020,13134,709,206,7
05/09/2020,13770,636,214,8
05/10/2020,14657,887,228,14
05/11/2020,15691,1034,239,11
05/12/2020,16660,969,250,11
05/13/2020,17822,1162,269,19
05/14/2020,18863,1041,283,14
05/15/2020,20065,1202,298,15
05/16/2020,20995,930,314,16
05/17/2020,22268,1273,328,14
05/18/2020,23870,1602,349,21
05/19/2020,25121,1251,370,21
05/20/2020,26738,1617,386,16
05/21/2020,28511,1773,408,22
05/22/2020,30205,1694,432,24
05/23/2020,32078,1873,452,20
05/24/2020,33610,1532,480,28
05/25/2020,35585,1975,501,21
05/26/2020,36751,1166,522,21
05/27/2020,38292,1541,544,22
05/28/2020,40321,2029,559,15
05/29/2020,42844,2523,582,23
05/30/2020,44608,1764,610,28
05/31/2020,47153,2545,650,40
06/01/2020,49534,2381,672,22
06/02/2020,52445,2911,709,37
06/03/2020,55140,2695,746,37
06/04/2020,57563,2423,781,35
06/05/2020,60391,2828,811,30
06/06/2020,63026,2635,846,35
06/07/2020,65769,2743,888,42
06/08/2020,68504,2735,930,42
06/09/2020,71675,3171,975,45
06/10/2020,74865,3190,1012,37
06/11/2020,78052,3187,1049,37
06/12/2020,81523,3471,1095,46
06/13/2020,84379,2856,1139,44
06/14/2020,87520,3141,1171,32
06/15/2020,90619,3099,1209,38
06/16/2020,94481,3862,1262,53
06/17/2020,98489,4008,1305,43
06/18/2020,102292,3803,1343,38
06/19/2020,105535,3243,1388,45
06/20/2020,108775,3240,1425,37
06/21/2020,112306,3531,1464,39
06/22/2020,115786,3480,1502,38
06/23/2020,119198,3412,1545,43
06/24/2020,122660,3462,1582,37
06/25/2020,126606,3946,1621,39
06/26/2020,130474,3868,1661,40
06/27/2020,133978,3504,1695,34
06/28/2020,137787,3809,1738,43
06/29/2020,141801,4014,1783,45
06/30/2020,145483,3682,1847,64
07/01/2020,149258,3775,1888,41
07/02/2020,153277,4019,1926,38
07/03/2020,156391,3114,1968,42
07/04/2020,159679,3288,1997,29
07/05/2020,162417,2738,2052,55
07/06/2020,165618,3201,2096,44
