Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
03/17/2020,2,0,0,0
03/18/2020,2,0,0,0
03/19/2020,5,3,0,0
03/20/2020,6,1,0,0
03/21/2020,14,8,0,0
03/22/2020,17,3,0,0
03/23/2020,17,0,0,0
03/24/2020,18,1,0,0
03/25/2020,18,0,0,0
03/26/2020,24,6,0,0
03/27/2020,26,2,0,0
03/28/2020,26,0,0,0
03/29/2020,33,7,0,0
03/30/2020,34,1,0,0
03/31/2020,34,0,0,0
04/01/2020,45,11,0,0
04/02/2020,46,1,0,0
04/03/2020,51,5,0,0
04/04/2020,52,1,0,0
04/05/2020,56,4,1,1
04/06/2020,60,4,2,1
04/07/2020,63,3,3,1
04/08/2020,64,1,3,0
04/09/2020,66,2,3,0
04/10/2020,67,1,4,1
04/11/2020,68,1,4,0
04/12/2020,71,3,4,0
04/13/2020,72,1,4,0
04/14/2020,73,1,5,1
04/15/2020,75,2,5,1
04/16/2020,75,0,5,1
04/17/2020,75,0,5,1
04/18/2020,75,0,5,1
04/19/2020,75,0,5,0
04/20/2020,75,0,5,0
04/21/2020,75,0,5,0
04/22/2020,76,1,5,0
04/23/2020,76,0,6,1
04/24/2020,77,1,6,0
04/25/2020,79,2,6,0
04/26/2020,79,0,6,0
04/27/2020,80,1,6,0
04/28/2020,80,0,6,0
04/29/2020,80,0,7,1
04/30/2020,81,1,7,0
05/01/2020,81,0,7,0
05/02/2020,81,0,7,0
05/03/2020,82,1,7,0
05/04/2020,82,0,7,0
05/05/2020,82,0,7,0
05/06/2020,82,0,7,0
05/07/2020,82,0,7,0
05/08/2020,83,1,7,0
05/09/2020,84,1,7,0
05/10/2020,84,0,7,0
05/11/2020,84,0,7,0
05/12/2020,85,1,7,0
05/13/2020,85,0,7,0
05/14/2020,85,0,7,0
05/15/2020,85,0,7,0
05/16/2020,86,1,7,0
05/17/2020,88,2,7,0
05/18/2020,89,1,7,0
05/19/2020,90,1,7,0
05/20/2020,90,0,7,0
05/21/2020,90,0,7,0
05/22/2020,91,1,7,0
05/23/2020,92,1,7,0
05/24/2020,92,0,7,0
05/25/2020,92,0,7,0
05/26/2020,92,0,7,0
05/27/2020,92,0,7,0
05/28/2020,92,0,7,0
05/29/2020,92,0,7,0
05/30/2020,92,0,7,0
05/31/2020,92,0,7,0
06/01/2020,92,0,7,0
06/02/2020,92,0,7,0
06/03/2020,92,0,7,0
06/04/2020,92,0,7,0
06/05/2020,92,0,7,0
06/06/2020,92,0,7,0
06/07/2020,93,1,7,0
06/08/2020,94,1,7,0
06/09/2020,95,1,7,0
06/10/2020,96,1,7,0
06/11/2020,96,0,7,0
06/12/2020,96,0,7,0
06/13/2020,96,0,7,0
06/14/2020,96,0,7,0
06/15/2020,96,0,7,0
06/16/2020,97,1,7,0
06/17/2020,97,0,7,0
06/18/2020,97,0,7,0
06/19/2020,97,0,7,0
06/20/2020,97,0,7,0
06/21/2020,97,0,7,0
06/22/2020,97,0,7,0
06/23/2020,97,0,7,0
06/24/2020,97,0,7,0
06/25/2020,97,0,7,0
06/26/2020,97,0,7,0
06/27/2020,97,0,7,0
06/28/2020,97,0,7,0
06/29/2020,97,0,7,0
06/30/2020,97,0,7,0
07/01/2020,97,0,7,0
07/02/2020,97,0,7,0
07/03/2020,97,0,7,0
07/04/2020,97,0,7,0
07/05/2020,97,0,7,0
