Updated,Confirmed,Deaths
02/28/2020,1,0.0
02/29/2020,1,0.0
03/01/2020,1,0.0
03/02/2020,1,0.0
03/03/2020,4,0.0
03/04/2020,10,0.0
03/05/2020,11,0.0
03/06/2020,12,0.0
03/07/2020,13,0.0
03/08/2020,14,0.0
03/09/2020,15,0.0
03/10/2020,17,0.0
03/11/2020,19,0.0
03/12/2020,21,0.0
03/13/2020,27,0.0
03/14/2020,30,0.0
03/15/2020,33,0.0
03/16/2020,36,0.0
03/17/2020,36,0.0
03/18/2020,51,0.0
03/19/2020,60,0.0
03/20/2020,69,0.0
03/21/2020,76,0.0
03/22/2020,78,0.0
03/23/2020,81,0.0
03/24/2020,83,0.0
03/25/2020,86,0.0
03/26/2020,90,0.0
03/27/2020,94,0.0
03/28/2020,113,0.0
03/29/2020,132,0.0
03/30/2020,152,0.0
03/31/2020,157,1.0
04/01/2020,163,2.0
04/02/2020,304,4.0
04/03/2020,351,4.0
04/04/2020,440,5.0
04/05/2020,562,8.0
04/06/2020,700,13.0
04/07/2020,861,13.0
04/08/2020,1066,13.0
04/09/2020,1486,16.0
04/10/2020,1981,19.0
04/11/2020,2226,23.0
04/12/2020,2578,26.0
04/13/2020,2919,29.0
04/14/2020,3281,33.0
04/15/2020,3728,36.0
04/16/2020,4204,40.0
04/17/2020,4779,42.0
04/18/2020,5297,45.0
04/19/2020,5807,47.0
04/20/2020,6264,51.0
04/21/2020,6723,55.0
04/22/2020,7281,58.0
04/23/2020,8022,60.0
04/24/2020,8773,63.0
04/25/2020,9590,67.0
04/26/2020,10463,72.0
04/27/2020,11289,75.0
04/28/2020,12208,79.0
04/29/2020,13181,84.0
04/30/2020,14027,89.0
05/01/2020,14917,93.0
05/02/2020,15828,97.0
05/03/2020,16705,99.0
05/04/2020,17489,103.0
05/05/2020,18350,107.0
05/06/2020,19255,112.0
05/07/2020,20168,116.0
05/08/2020,21101,121.0
05/09/2020,22052,126.0
05/10/2020,22973,131.0
05/11/2020,23906,135.0
05/12/2020,24873,142.0
05/13/2020,25825,146.0
05/14/2020,26772,151.0
05/15/2020,27730,156.0
05/16/2020,28681,160.0
05/17/2020,29650,165.0
05/18/2020,30572,171.0
05/19/2020,31508,175.0
05/20/2020,32426,179.0
05/21/2020,33371,185.0
05/22/2020,34303,190.0
05/23/2020,35244,194.0
05/24/2020,36198,199.0
05/25/2020,37144,204.0
05/26/2020,38059,208.0
05/27/2020,38956,214.0
05/28/2020,39858,219.0
05/29/2020,40764,224.0
05/30/2020,41658,229.0
05/31/2020,42556,235.0
06/01/2020,43403,240.0
06/02/2020,44255,243.0
06/03/2020,45116,248.0
06/04/2020,45981,253.0
06/05/2020,46868,259.0
06/06/2020,47751,263.0
06/07/2020,48630,269.0
06/08/2020,49453,276.0
06/09/2020,50265,282.0
06/10/2020,51066,288.0
06/11/2020,51816,293.0
06/12/2020,52520,298.0
06/13/2020,53241,303.0
06/14/2020,53973,308.0
06/15/2020,54680,312.0
06/16/2020,55369,318.0
06/17/2020,56032,324.0
06/18/2020,56657,331.0
06/19/2020,57333,337.0
06/20/2020,57936,343.0
06/21/2020,58505,346.0
06/22/2020,59023,351.0
06/23/2020,59487,357.0
06/24/2020,59945,362.0
06/25/2020,60382,367.0
06/26/2020,60713,373.0
