Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
03/16/2020,1,0,0,0
03/17/2020,1,0,0,0
03/18/2020,2,1,0,0
03/19/2020,2,0,0,0
03/20/2020,2,0,0,0
03/21/2020,2,0,0,0
03/22/2020,2,0,0,0
03/23/2020,5,3,0,0
03/24/2020,6,1,0,0
03/25/2020,6,0,0,0
03/26/2020,7,1,0,0
03/27/2020,7,0,0,0
03/28/2020,7,0,0,0
03/29/2020,7,0,0,0
03/30/2020,8,1,0,0
03/31/2020,9,1,0,0
04/01/2020,9,0,0,0
04/02/2020,13,4,0,0
04/03/2020,16,3,0,0
04/04/2020,16,0,0,0
04/05/2020,22,6,0,0
04/06/2020,26,4,1,1
04/07/2020,26,0,1,0
04/08/2020,26,0,1,0
04/09/2020,26,0,1,0
04/10/2020,35,9,1,0
04/11/2020,35,0,1,0
04/13/2020,35,0,1,0
04/14/2020,35,0,1,0
04/15/2020,35,0,1,0
04/16/2020,35,0,1,0
04/18/2020,35,0,1,0
04/20/2020,54,19,1,0
04/21/2020,55,1,1,0
04/22/2020,56,1,1,0
04/23/2020,58,2,1,0
04/24/2020,60,2,1,0
04/25/2020,62,2,1,0
04/26/2020,64,2,1,0
04/27/2020,69,5,1,0
04/28/2020,74,5,1,0
04/29/2020,79,5,1,0
04/30/2020,84,5,1,0
05/01/2020,90,6,2,1
05/02/2020,92,2,2,0
05/03/2020,94,2,2,0
05/04/2020,96,2,2,0
05/05/2020,110,14,2,0
05/06/2020,125,15,2,0
05/07/2020,140,15,2,0
05/08/2020,242,102,2,0
05/09/2020,284,42,2,0
05/10/2020,319,35,2,0
05/11/2020,323,4,2,0
05/12/2020,327,4,2,0
05/13/2020,333,6,2,0
05/14/2020,339,6,2,0
05/15/2020,340,1,2,0
05/16/2020,341,1,2,0
05/17/2020,342,1,2,0
05/18/2020,343,1,2,0
05/19/2020,344,1,2,0
05/20/2020,345,1,2,0
05/21/2020,346,1,3,1
05/22/2020,347,1,3,0
05/23/2020,348,1,3,0
05/24/2020,350,2,3,0
05/25/2020,352,2,3,0
05/26/2020,354,2,3,0
05/27/2020,356,2,3,0
05/28/2020,358,2,3,0
05/29/2020,360,2,3,0
05/30/2020,362,2,3,0
05/31/2020,364,2,3,0
06/01/2020,366,2,3,0
06/02/2020,368,2,3,0
06/03/2020,370,2,3,0
06/04/2020,372,2,3,0
06/05/2020,374,2,3,0
06/06/2020,376,2,3,0
06/07/2020,378,2,3,0
06/08/2020,380,2,4,1
06/09/2020,382,2,4,0
06/10/2020,384,2,4,0
06/11/2020,386,2,4,0
06/12/2020,388,2,5,1
06/13/2020,412,24,6,1
06/14/2020,447,35,6,0
06/15/2020,483,36,9,3
06/16/2020,532,49,9,0
06/17/2020,572,40,9,0
06/18/2020,597,25,11,2
06/19/2020,650,53,11,0
06/20/2020,707,57,11,0
06/21/2020,765,58,13,2
06/22/2020,807,42,13,0
06/23/2020,850,43,13,0
06/24/2020,902,52,13,0
06/25/2020,1017,115,14,1
06/26/2020,1053,36,14,0
06/27/2020,1101,48,14,0
06/28/2020,1149,48,16,2
06/29/2020,1187,38,19,3
06/30/2020,1193,6,19,0
07/01/2020,1199,6,21,2
07/02/2020,1199,0,21,0
07/03/2020,1199,0,21,0
07/04/2020,1199,0,21,0
07/05/2020,1199,0,21,0
