Updated,Confirmed,Deaths
02/04/2020,132,9.0
03/04/2020,139,10.0
03/11/2020,139,10.0
03/12/2020,139,10.0
03/13/2020,139,10.0
03/14/2020,139,10.0
03/15/2020,139,10.0
03/16/2020,139,10.0
03/17/2020,139,10.0
03/18/2020,140,10.0
03/19/2020,141,10.0
03/20/2020,142,10.0
03/21/2020,143,10.0
03/22/2020,144,10.0
03/23/2020,145,10.0
03/24/2020,146,10.0
03/25/2020,147,10.0
03/26/2020,148,10.0
03/27/2020,149,10.0
03/28/2020,150,10.0
03/29/2020,151,10.0
03/30/2020,152,10.0
03/31/2020,153,10.0
04/01/2020,154,10.0
04/02/2020,155,10.0
04/03/2020,156,10.0
04/04/2020,157,10.0
04/05/2020,170,10.0
04/06/2020,183,11.0
04/07/2020,194,14.0
04/08/2020,210,15.0
04/09/2020,264,18.0
04/10/2020,268,19.0
04/11/2020,275,20.0
04/12/2020,300,24.0
04/13/2020,354,28.0
04/14/2020,397,28.0
04/15/2020,441,29.0
04/16/2020,465,31.0
04/17/2020,493,31.0
04/18/2020,520,32.0
04/19/2020,564,33.0
04/20/2020,598,34.0
04/21/2020,609,37.0
04/22/2020,672,40.0
04/23/2020,703,43.0
04/24/2020,807,44.0
04/25/2020,866,46.0
04/26/2020,950,50.0
04/27/2020,1014,53.0
04/28/2020,1053,55.0
04/29/2020,1110,59.0
04/30/2020,1167,62.0
05/01/2020,1198,62.0
05/02/2020,1229,66.0
05/03/2020,1470,71.0
05/04/2020,1636,78.0
05/05/2020,1802,86.0
05/06/2020,1844,86.0
05/07/2020,1886,91.0
05/08/2020,2081,102.0
05/09/2020,2266,106.0
05/10/2020,2437,114.0
05/11/2020,2556,118.0
05/12/2020,2831,122.0
05/13/2020,3148,142.0
05/14/2020,3372,152.0
05/15/2020,3577,164.0
05/16/2020,3826,165.0
05/17/2020,4088,169.0
05/18/2020,4263,174.0
05/19/2020,4481,189.0
05/20/2020,4919,199.0
05/21/2020,5187,215.0
05/22/2020,5579,230.0
05/23/2020,5915,240.0
05/24/2020,6263,250.0
05/25/2020,6660,261.0
05/26/2020,7136,274.0
05/27/2020,7768,280.0
05/28/2020,8378,293.0
05/29/2020,8731,300.0
05/30/2020,9592,310.0
05/31/2020,9982,313.0
06/01/2020,10256,313.0
06/02/2020,10531,343.0
06/03/2020,10991,376.0
06/04/2020,11780,402.0
06/05/2020,12569,428.0
06/06/2020,13358,454.0
06/07/2020,13500,454.0
06/08/2020,13643,465.0
06/09/2020,13949,475.0
06/10/2020,14644,487.0
06/11/2020,15281,512.0
06/12/2020,16165,533.0
06/13/2020,17842,585.0
06/14/2020,18429,611.0
06/15/2020,19073,632.0
06/16/2020,19883,659.0
06/17/2020,20685,679.0
06/18/2020,21499,697.0
06/19/2020,22476,715.0
06/20/2020,23512,740.0
06/21/2020,24388,773.0
06/22/2020,25493,820.0
06/23/2020,26389,846.0
06/24/2020,27487,876.0
06/25/2020,28503,913.0
06/26/2020,29423,934.0
