Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
02/26/2020,1,0,0,0
02/27/2020,1,0,0,0
02/28/2020,1,0,0,0
02/29/2020,2,1,0,0
03/01/2020,2,0,0,0
03/02/2020,2,0,0,0
03/03/2020,2,0,0,0
03/04/2020,4,2,0,0
03/05/2020,8,4,0,0
03/06/2020,14,6,0,0
03/07/2020,19,5,0,0
03/08/2020,25,6,0,0
03/09/2020,30,5,0,0
03/10/2020,34,4,0,0
03/11/2020,52,18,0,0
03/12/2020,76,24,0,0
03/13/2020,98,22,0,0
03/14/2020,121,23,0,0
03/15/2020,200,79,0,0
03/16/2020,234,34,0,0
03/17/2020,291,57,1,1
03/18/2020,428,137,4,3
03/19/2020,621,193,7,3
03/20/2020,964,343,11,4
03/21/2020,1178,214,18,7
03/22/2020,1546,368,25,7
03/23/2020,1891,345,34,9
03/24/2020,2201,310,46,12
03/25/2020,2433,232,57,11
03/26/2020,2915,482,77,20
03/27/2020,3417,502,92,15
03/28/2020,3904,487,114,22
03/29/2020,4256,352,136,22
03/30/2020,4579,323,159,23
03/31/2020,5717,1138,201,42
04/01/2020,6836,1119,240,39
04/02/2020,7910,1074,299,59
04/03/2020,9056,1146,359,60
04/04/2020,10278,1222,431,72
04/05/2020,11130,852,486,55
04/06/2020,12056,926,553,67
04/07/2020,13717,1661,667,114
04/08/2020,15927,2210,800,133
04/09/2020,17857,1930,941,141
04/10/2020,19638,1781,1056,115
04/11/2020,20727,1089,1124,68
04/12/2020,22169,1442,1223,99
04/13/2020,23430,1261,1328,105
04/14/2020,25262,1832,1532,204
04/15/2020,28320,3058,1736,204
04/16/2020,30425,2105,1924,188
04/17/2020,33682,3257,2141,217
04/18/2020,36599,2917,2347,206
04/19/2020,38654,2055,2462,115
04/20/2020,40581,1927,2575,113
04/21/2020,43079,2498,2741,166
04/22/2020,45757,2678,2906,165
04/23/2020,49492,3735,3313,407
04/24/2020,52995,3503,3670,357
04/25/2020,58509,5514,4016,346
04/26/2020,61888,3379,4205,189
04/27/2020,66501,4613,4543,338
04/28/2020,71886,5385,5017,474
04/29/2020,78162,6276,5466,449
04/30/2020,85380,7218,5901,435
05/01/2020,91589,6209,6329,428
05/02/2020,96559,4970,6750,421
05/03/2020,101147,4588,7025,275
05/04/2020,107780,6633,7321,296
05/05/2020,114715,6935,7921,600
05/06/2020,125218,10503,8536,615
05/07/2020,135106,9888,9146,610
05/08/2020,145328,10222,9897,751
05/09/2020,155939,10611,10627,730
05/10/2020,162699,6760,11123,496
05/11/2020,168331,5632,11519,396
05/12/2020,178214,9883,12461,942
05/13/2020,188974,10760,13149,688
05/14/2020,202918,13944,13993,844
05/15/2020,218223,15305,14817,824
05/16/2020,233142,14919,15633,816
05/17/2020,241080,7938,16118,485
05/18/2020,254220,13140,16792,674
05/19/2020,271628,17408,17971,1179
05/20/2020,291579,19951,18859,888
05/21/2020,310087,18508,20047,1188
05/22/2020,330890,20803,21048,1001
05/23/2020,347398,16508,22013,965
05/24/2020,363211,15813,22666,653
05/25/2020,374898,11687,23473,807
05/26/2020,391222,16324,24512,1039
05/27/2020,411821,20599,25598,1086
05/28/2020,438238,26417,26754,1156
05/29/2020,465166,26928,27878,1124
05/30/2020,498440,33274,28834,956
05/31/2020,514849,16409,29314,480
06/01/2020,526447,11598,29937,623
06/02/2020,555383,28936,31199,1262
06/03/2020,584016,28633,32548,1349
06/04/2020,614941,30925,34021,1473
06/05/2020,645771,30830,35026,1005
06/06/2020,672846,27075,35930,904
06/07/2020,691758,18912,36455,525
06/08/2020,707412,15654,37134,679
06/09/2020,739503,32091,38406,1272
06/10/2020,772416,32913,39680,1274
06/11/2020,802828,30412,40919,1239
06/12/2020,828810,25982,41828,909
06/13/2020,850514,21704,42720,892
06/14/2020,867624,17110,43332,612
06/15/2020,888271,20647,43959,627
06/16/2020,923189,34918,45241,1282
06/17/2020,955377,32188,46510,1269
06/18/2020,978142,22765,47748,1238
06/19/2020,1032913,54771,48954,1206
06/20/2020,1067579,34666,49976,1022
06/21/2020,1085038,17459,50617,641
06/22/2020,1106470,21432,51271,654
06/23/2020,1145906,39436,52645,1374
06/24/2020,1188631,42725,53830,1185
06/25/2020,1228114,39483,54971,1141
06/26/2020,1274974,46860,55961,990
06/27/2020,1313667,38693,57070,1109
06/28/2020,1344143,30476,57622,552
06/29/2020,1368195,24052,58314,692
06/30/2020,1402041,33846,59594,1280
07/01/2020,1448753,46712,60632,1038
07/02/2020,1496858,48105,61884,1252
07/03/2020,1539081,42223,63174,1290
07/04/2020,1577004,37923,64265,1091
07/05/2020,1603055,26051,64867,602
07/06/2020,1623284,20229,65487,620
