Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
03/07/2020,2,0,0,0
03/08/2020,4,2,0,0
03/09/2020,4,0,0,0
03/10/2020,6,2,0,0
03/11/2020,7,1,1,1
03/12/2020,23,16,1,0
03/13/2020,31,8,1,0
03/14/2020,41,10,2,1
03/15/2020,51,10,2,0
03/16/2020,62,11,2,0
03/17/2020,81,19,2,0
03/18/2020,92,11,2,0
03/19/2020,105,13,3,1
03/20/2020,127,22,3,0
03/21/2020,163,36,3,0
03/22/2020,187,24,3,0
03/23/2020,201,14,3,0
03/24/2020,218,17,3,0
03/25/2020,242,24,3,0
03/26/2020,264,22,3,0
03/27/2020,293,29,3,0
03/28/2020,331,38,7,4
03/29/2020,346,15,8,1
03/30/2020,359,13,8,0
03/31/2020,399,40,8,0
04/01/2020,422,23,9,1
04/02/2020,457,35,10,1
04/03/2020,485,28,14,4
04/04/2020,503,18,17,3
04/05/2020,531,28,20,3
04/06/2020,549,18,22,2
04/07/2020,577,28,23,1
04/08/2020,593,16,24,1
04/09/2020,618,25,24,0
04/10/2020,635,17,25,1
04/11/2020,661,26,28,3
04/12/2020,675,14,29,1
04/13/2020,685,10,32,3
04/14/2020,713,28,35,3
04/15/2020,747,34,36,1
04/16/2020,800,53,38,2
04/17/2020,846,46,41,3
04/18/2020,878,32,41,0
04/19/2020,894,16,42,1
04/20/2020,929,35,43,1
04/21/2020,975,46,45,2
04/22/2020,1024,49,49,4
04/23/2020,1097,73,52,3
04/24/2020,1188,91,54,2
04/25/2020,1247,59,55,1
04/26/2020,1300,53,56,1
04/27/2020,1363,63,58,2
04/28/2020,1399,36,58,0
04/29/2020,1447,48,64,6
04/30/2020,1506,59,66,2
05/01/2020,1555,49,68,2
05/02/2020,1594,39,72,4
05/03/2020,1618,24,73,1
05/04/2020,1652,34,78,5
05/05/2020,1704,52,80,2
05/06/2020,1778,74,84,4
05/07/2020,1829,51,84,0
05/08/2020,1872,43,86,2
05/09/2020,1921,49,90,4
05/10/2020,1965,44,91,1
05/11/2020,1990,25,93,2
05/12/2020,2023,33,95,2
05/13/2020,2069,46,96,1
05/14/2020,2100,31,99,3
05/15/2020,2138,38,102,3
05/16/2020,2175,37,105,3
05/17/2020,2211,36,108,3
05/18/2020,2235,24,110,2
05/19/2020,2259,24,112,2
05/20/2020,2292,33,116,4
05/21/2020,2331,39,120,4
05/22/2020,2372,41,125,5
05/23/2020,2408,36,126,1
05/24/2020,2427,19,130,4
05/25/2020,2433,6,130,0
05/26/2020,2443,10,130,0
05/27/2020,2460,17,133,3
05/28/2020,2477,17,134,1
05/29/2020,2485,8,136,2
05/30/2020,2499,14,139,3
05/31/2020,2513,14,140,1
06/01/2020,2519,6,140,0
06/02/2020,2538,19,144,4
06/03/2020,2560,22,146,2
06/04/2020,2585,25,147,1
06/05/2020,2627,42,159,12
06/06/2020,2668,41,160,1
06/07/2020,2711,43,160,0
06/08/2020,2727,16,160,0
06/09/2020,2810,83,164,4
06/10/2020,2889,79,167,3
06/11/2020,2993,104,167,0
06/12/2020,3086,93,168,1
06/13/2020,3169,83,172,4
06/14/2020,3266,97,172,0
06/15/2020,3290,24,174,2
06/16/2020,3341,51,176,2
06/17/2020,3453,112,181,5
06/18/2020,3542,89,184,3
06/19/2020,3674,132,190,6
06/20/2020,3755,81,193,3
06/21/2020,3872,117,199,6
06/22/2020,3905,33,199,0
06/23/2020,3984,79,207,8
06/24/2020,4114,130,208,1
06/25/2020,4242,128,209,1
06/26/2020,4408,166,211,2
06/27/2020,4513,105,215,4
06/28/2020,4625,112,216,1
06/29/2020,4691,66,219,3
06/30/2020,4831,140,223,4
07/01/2020,4989,158,230,7
07/02/2020,5154,165,232,2
07/03/2020,5315,161,232,0
07/04/2020,5497,182,239,7
07/05/2020,5677,180,241,2
