Updated,Confirmed,Deaths
03/09/2020,2,0
03/11/2020,2,0
03/12/2020,2,0
03/13/2020,3,0
03/14/2020,5,0
03/15/2020,7,0
03/16/2020,15,0
03/17/2020,20,0
03/18/2020,27,1
03/19/2020,33,1
03/20/2020,40,1
03/21/2020,64,3
03/22/2020,75,5
03/23/2020,100,5
03/24/2020,114,5
03/25/2020,146,5
03/26/2020,152,5
03/27/2020,180,9
03/28/2020,207,11
03/29/2020,222,12
03/30/2020,246,12
03/31/2020,261,14
04/01/2020,282,16
04/02/2020,288,16
04/03/2020,302,16
04/04/2020,318,16
04/05/2020,345,17
04/06/2020,364,18
04/07/2020,384,19
04/08/2020,414,23
04/09/2020,443,24
04/10/2020,448,26
04/11/2020,484,27
04/12/2020,496,27
04/13/2020,508,27
04/14/2020,520,27
04/15/2020,532,27
04/16/2020,544,27
04/17/2020,557,35
04/18/2020,565,36
04/19/2020,576,36
04/20/2020,581,38
04/21/2020,600,38
04/22/2020,609,39
04/23/2020,616,41
04/24/2020,629,41
04/25/2020,630,41
04/26/2020,632,42
04/27/2020,635,42
04/28/2020,638,42
04/29/2020,641,43
04/30/2020,645,43
05/01/2020,649,44
05/02/2020,652,44
05/03/2020,662,45
05/04/2020,672,46
05/05/2020,688,48
05/06/2020,729,48
05/07/2020,736,48
05/08/2020,744,48
05/09/2020,748,48
05/10/2020,751,49
05/11/2020,760,50
05/12/2020,766,51
05/13/2020,773,51
05/14/2020,776,51
05/15/2020,780,51
05/16/2020,782,51
05/17/2020,796,51
05/18/2020,800,51
05/19/2020,804,51
05/20/2020,809,52
05/21/2020,812,52
05/22/2020,814,52
05/23/2020,820,52
05/24/2020,826,52
05/25/2020,832,52
05/26/2020,838,52
05/27/2020,845,53
05/28/2020,847,53
05/29/2020,853,53
05/30/2020,860,53
05/31/2020,867,53
06/01/2020,874,53
06/02/2020,881,53
06/03/2020,884,53
06/04/2020,885,53
06/05/2020,888,53
06/06/2020,888,53
06/07/2020,889,53
06/08/2020,890,53
06/09/2020,891,53
06/10/2020,891,53
06/11/2020,892,53
06/12/2020,892,53
06/13/2020,892,53
06/14/2020,892,53
06/15/2020,893,53
06/16/2020,894,53
06/17/2020,895,53
06/18/2020,899,53
06/19/2020,900,53
06/20/2020,901,53
06/21/2020,903,53
06/22/2020,905,53
06/23/2020,907,53
06/24/2020,919,53
06/25/2020,934,53
06/26/2020,941,53
06/27/2020,950,53
06/28/2020,959,53
06/29/2020,960,53
06/30/2020,961,53
07/01/2020,962,53
07/02/2020,970,53
07/03/2020,978,53
07/04/2020,987,53
07/05/2020,987,53
