Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
01/25/2020,1,0,0,0
01/26/2020,1,0,0,0
01/27/2020,2,1,0,0
01/28/2020,3,1,0,0
01/29/2020,3,0,0,0
01/30/2020,3,0,0,0
01/31/2020,4,1,0,0
02/01/2020,4,0,0,0
02/02/2020,4,0,0,0
02/03/2020,4,0,0,0
02/04/2020,5,1,0,0
02/05/2020,5,0,0,0
02/06/2020,7,2,0,0
02/07/2020,7,0,0,0
02/08/2020,7,0,0,0
02/09/2020,7,0,0,0
02/10/2020,7,0,0,0
02/11/2020,7,0,0,0
02/12/2020,7,0,0,0
02/13/2020,7,0,0,0
02/14/2020,8,1,0,0
02/15/2020,8,0,0,0
02/16/2020,8,0,0,0
02/17/2020,8,0,0,0
02/18/2020,8,0,0,0
02/19/2020,8,0,0,0
02/20/2020,9,1,0,0
02/21/2020,9,0,0,0
02/22/2020,9,0,0,0
02/23/2020,10,1,0,0
02/24/2020,11,1,0,0
02/25/2020,11,0,0,0
02/26/2020,12,1,0,0
02/27/2020,14,2,0,0
02/28/2020,16,2,0,0
02/29/2020,20,4,0,0
03/01/2020,24,4,0,0
03/02/2020,27,3,0,0
03/03/2020,33,6,0,0
03/04/2020,34,1,0,0
03/05/2020,48,14,0,0
03/06/2020,54,6,0,0
03/07/2020,60,6,0,0
03/08/2020,67,7,0,0
03/09/2020,79,12,1,1
03/10/2020,97,18,1,0
03/11/2020,118,21,1,0
03/12/2020,159,41,1,0
03/13/2020,198,39,1,0
03/14/2020,254,56,1,0
03/15/2020,338,84,1,0
03/16/2020,441,103,4,3
03/17/2020,598,157,8,4
03/18/2020,728,130,9,1
03/19/2020,873,145,12,3
03/20/2020,1088,215,12,0
03/21/2020,1331,243,19,7
03/22/2020,1472,141,20,1
03/23/2020,2091,619,24,4
03/24/2020,2819,728,27,3
03/25/2020,3409,590,35,8
03/26/2020,4043,634,39,4
03/27/2020,4757,714,55,16
03/28/2020,5655,898,61,6
03/29/2020,6320,665,66,5
03/30/2020,7448,1128,89,23
03/31/2020,8591,1143,101,12
04/01/2020,9731,1140,111,10
04/02/2020,11285,1554,138,27
04/03/2020,12549,1264,187,49
04/04/2020,14018,1469,233,46
04/05/2020,15513,1495,280,47
04/06/2020,16667,1154,323,43
04/07/2020,17897,1230,381,58
04/08/2020,19291,1394,435,54
04/09/2020,20765,1474,509,74
04/10/2020,22148,1383,569,60
04/11/2020,23318,1170,653,84
04/12/2020,24383,1065,717,64
04/13/2020,25680,1297,780,63
04/14/2020,27063,1383,903,123
04/15/2020,28379,1316,1010,107
04/16/2020,30106,1727,1196,186
04/17/2020,31927,1821,1310,114
04/18/2020,33383,1456,1470,160
04/19/2020,35056,1673,1587,117
04/20/2020,36831,1775,1690,103
04/21/2020,38422,1591,1834,144
04/22/2020,40190,1768,1974,140
04/23/2020,42110,1920,2147,173
04/24/2020,43888,1778,2302,155
04/25/2020,45354,1466,2465,163
04/26/2020,46895,1541,2560,95
04/27/2020,48500,1605,2707,147
04/28/2020,50026,1526,2859,152
04/29/2020,51597,1571,2996,137
04/30/2020,53236,1639,3184,188
05/01/2020,55061,1825,3391,207
05/02/2020,56714,1653,3566,175
05/03/2020,59474,2760,3682,116
05/04/2020,60772,1298,3854,172
05/05/2020,62046,1274,4043,189
05/06/2020,63496,1450,4232,189
05/07/2020,64922,1426,4408,176
05/08/2020,66434,1512,4569,161
05/09/2020,67702,1268,4693,124
05/10/2020,68848,1146,4871,178
05/11/2020,69981,1133,4993,122
05/12/2020,71157,1176,5169,176
05/13/2020,72278,1121,5304,135
05/14/2020,73401,1123,5472,168
05/15/2020,74613,1212,5562,90
05/16/2020,75770,1157,5677,115
05/17/2020,77002,1232,5782,105
05/18/2020,78072,1070,5842,60
05/19/2020,79112,1040,5912,70
05/20/2020,80142,1030,6031,119
05/21/2020,81324,1182,6152,121
05/22/2020,82480,1156,6250,98
05/23/2020,83621,1141,6355,105
05/24/2020,84699,1078,6424,69
05/25/2020,85711,1012,6545,121
05/26/2020,86647,936,6639,94
05/27/2020,87517,870,6765,126
05/28/2020,88511,994,6877,112
05/29/2020,89417,906,6979,102
05/30/2020,90189,772,7073,94
05/31/2020,90946,757,7295,222
06/01/2020,91705,759,7326,31
06/02/2020,92410,705,7395,69
06/03/2020,93085,675,7498,103
06/04/2020,93726,641,7637,139
06/05/2020,94335,609,7703,66
06/06/2020,95057,722,7773,70
06/07/2020,95699,642,7800,27
06/08/2020,96244,545,7835,35
06/09/2020,96652,408,7896,61
06/10/2020,97125,473,7960,64
06/11/2020,97530,405,7994,34
06/12/2020,97945,415,8049,55
06/13/2020,98410,465,8107,58
06/14/2020,98787,377,8146,39
06/15/2020,99147,360,8175,29
06/16/2020,99467,320,8213,38
06/17/2020,99853,386,8254,41
06/18/2020,100220,367,8299,45
06/19/2020,100629,409,8346,47
06/20/2020,101019,390,8410,64
06/21/2020,101337,318,8430,20
06/22/2020,101637,300,8436,6
06/23/2020,101963,326,8454,18
06/24/2020,102242,279,8484,30
06/25/2020,102622,380,8504,20
06/26/2020,102794,172,8508,4
06/27/2020,103032,238,8516,8
06/28/2020,103250,218,8522,6
06/29/2020,103918,668,8566,44
06/30/2020,104204,286,8591,25
07/01/2020,104420,216,8619,28
07/02/2020,104771,351,8642,23
07/03/2020,105090,319,8663,21
07/04/2020,105316,226,8674,11
07/05/2020,105535,219,8684,10
