Updated,Confirmed,Deaths
03/14/2020,1,0.0
03/15/2020,1,0.0
03/16/2020,1,1.0
03/17/2020,1,1.0
03/18/2020,1,1.0
03/30/2020,12,1.0
03/31/2020,12,1.0
04/01/2020,12,1.0
04/02/2020,22,1.0
04/03/2020,28,1.0
04/04/2020,35,1.0
04/05/2020,35,1.0
04/06/2020,39,1.0
04/07/2020,45,1.0
04/08/2020,45,1.0
04/09/2020,45,1.0
04/10/2020,45,1.0
04/11/2020,45,1.0
04/12/2020,53,1.0
04/14/2020,54,1.0
04/15/2020,60,1.0
04/16/2020,60,1.0
04/17/2020,61,1.0
04/19/2020,63,1.0
04/20/2020,66,1.0
04/21/2020,67,1.0
04/22/2020,68,1.0
04/23/2020,69,1.0
04/24/2020,70,1.0
04/25/2020,70,1.0
04/26/2020,70,1.0
04/27/2020,71,1.0
04/28/2020,72,1.0
04/29/2020,73,1.0
04/30/2020,73,1.0
05/01/2020,74,1.0
05/02/2020,74,1.0
05/03/2020,74,1.0
05/04/2020,75,1.0
05/05/2020,76,1.0
05/06/2020,78,1.0
05/07/2020,80,1.0
05/08/2020,81,1.0
05/09/2020,82,1.0
05/10/2020,83,1.0
05/11/2020,84,1.0
05/12/2020,85,1.0
05/13/2020,86,1.0
05/14/2020,93,1.0
05/15/2020,94,1.0
05/16/2020,98,1.0
05/17/2020,102,1.0
05/18/2020,106,1.0
05/19/2020,111,1.0
05/20/2020,116,1.0
05/21/2020,121,1.0
05/22/2020,129,1.0
05/23/2020,130,1.0
05/24/2020,132,1.0
05/25/2020,134,1.0
05/26/2020,137,1.0
05/27/2020,140,1.0
05/28/2020,140,1.0
05/29/2020,141,1.0
05/30/2020,143,1.0
05/31/2020,145,1.0
06/01/2020,148,1.0
06/02/2020,151,1.0
06/03/2020,155,1.0
06/04/2020,160,1.0
06/05/2020,164,1.0
06/06/2020,166,1.0
06/07/2020,168,1.0
06/08/2020,171,1.0
06/09/2020,176,1.0
06/10/2020,180,1.0
06/11/2020,186,1.0
06/12/2020,187,1.0
06/13/2020,188,1.0
06/14/2020,189,1.0
06/15/2020,190,1.0
06/16/2020,191,1.0
06/17/2020,193,1.0
06/18/2020,193,1.0
06/19/2020,194,1.0
06/20/2020,195,1.0
06/21/2020,195,1.0
06/22/2020,195,1.0
06/23/2020,195,1.0
06/24/2020,196,1.0
06/25/2020,196,1.0
