Updated,Confirmed,Deaths
03/15/2020,1,0
03/16/2020,1,0
03/17/2020,1,0
03/18/2020,1,0
03/19/2020,1,0
03/20/2020,2,0
03/21/2020,3,0
03/22/2020,3,0
03/23/2020,3,0
03/24/2020,3,0
03/25/2020,3,0
03/26/2020,3,0
03/27/2020,3,0
03/28/2020,3,0
03/29/2020,3,0
03/30/2020,3,0
03/31/2020,3,0
04/01/2020,6,0
04/02/2020,6,0
04/03/2020,8,0
04/04/2020,8,0
04/05/2020,8,0
04/06/2020,8,0
04/07/2020,8,0
04/08/2020,8,0
04/09/2020,8,0
04/10/2020,8,0
04/11/2020,8,0
04/13/2020,11,0
04/15/2020,12,0
04/16/2020,12,0
04/18/2020,12,0
04/20/2020,12,0
04/21/2020,14,0
04/22/2020,14,0
04/23/2020,16,0
04/24/2020,16,0
04/25/2020,16,0
04/26/2020,19,0
04/27/2020,50,0
04/28/2020,50,0
04/29/2020,50,0
04/30/2020,50,0
05/01/2020,72,0
05/02/2020,76,0
05/03/2020,80,0
05/04/2020,85,0
05/05/2020,89,0
05/06/2020,94,0
05/07/2020,118,0
05/08/2020,143,0
05/09/2020,165,0
05/10/2020,187,0
05/11/2020,209,0
05/12/2020,232,0
05/13/2020,255,0
05/14/2020,278,0
05/15/2020,301,0
05/16/2020,314,0
05/17/2020,327,0
05/18/2020,346,0
05/19/2020,366,0
05/20/2020,401,0
05/21/2020,436,0
05/22/2020,479,0
05/23/2020,552,1
05/24/2020,604,1
05/25/2020,652,1
05/26/2020,671,1
05/27/2020,702,1
05/28/2020,755,1
05/29/2020,874,1
05/30/2020,962,1
05/31/2020,1011,2
06/01/2020,1069,4
06/02/2020,1121,4
06/03/2020,1173,4
06/04/2020,1288,4
06/05/2020,1451,4
06/06/2020,1570,5
06/07/2020,1634,5
06/08/2020,1850,5
06/09/2020,1869,5
06/10/2020,1888,5
06/11/2020,1952,5
06/12/2020,2044,7
06/13/2020,2057,7
06/14/2020,2112,7
06/15/2020,2167,7
06/16/2020,2222,7
06/17/2020,2289,10
06/18/2020,2564,18
06/19/2020,2605,19
06/20/2020,2706,19
06/21/2020,2808,23
06/22/2020,2963,30
06/23/2020,3051,37
06/24/2020,3099,38
06/25/2020,3244,340
