Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
03/03/2020,1,0,0,0
03/04/2020,3,2,0,0
03/05/2020,4,1,0,0
03/06/2020,5,1,0,0
03/07/2020,6,1,0,0
03/08/2020,9,3,0,0
03/09/2020,12,3,0,0
03/10/2020,18,6,0,0
03/11/2020,23,5,0,0
03/12/2020,34,11,0,0
03/13/2020,43,9,0,0
03/14/2020,61,18,0,0
03/15/2020,75,14,0,0
03/16/2020,156,81,0,0
03/17/2020,201,45,0,0
03/18/2020,238,37,0,0
03/19/2020,342,104,0,0
03/20/2020,434,92,0,0
03/21/2020,537,103,1,1
03/22/2020,632,95,1,0
03/23/2020,746,114,2,1
03/24/2020,922,176,2,0
03/25/2020,1142,220,3,1
03/26/2020,1306,164,4,1
03/27/2020,1610,304,5,1
03/28/2020,1909,299,6,1
03/29/2020,2139,230,7,1
03/30/2020,2449,310,8,1
03/31/2020,2738,289,12,4
04/01/2020,3031,293,16,4
04/02/2020,3404,373,18,2
04/03/2020,3737,333,22,4
04/04/2020,4161,424,26,4
04/05/2020,4471,310,34,8
04/06/2020,4815,344,37,3
04/07/2020,5116,301,43,6
04/08/2020,5546,430,48,5
04/09/2020,5972,426,57,9
04/10/2020,6501,529,63,6
04/11/2020,6927,426,73,10
04/12/2020,7213,286,80,7
04/13/2020,7525,312,82,2
04/14/2020,7917,392,92,10
04/15/2020,8273,356,94,2
04/16/2020,8807,534,105,11
04/17/2020,9252,445,116,11
04/18/2020,9730,478,126,10
04/19/2020,10088,358,133,7
04/20/2020,10507,419,139,6
04/21/2020,10832,325,147,8
04/22/2020,11296,464,160,13
04/23/2020,11812,516,168,8
04/24/2020,12306,494,174,6
04/25/2020,12858,552,181,7
04/26/2020,13331,473,189,8
04/27/2020,13813,482,198,9
04/28/2020,14365,552,207,9
04/29/2020,15135,770,216,9
04/30/2020,16023,888,227,11
05/01/2020,17008,985,234,7
05/02/2020,18435,1427,247,13
05/03/2020,19663,1228,260,13
05/04/2020,20643,980,270,10
05/05/2020,22016,1373,275,5
05/06/2020,23048,1032,281,6
05/07/2020,24581,1533,285,4
05/08/2020,25972,1391,294,9
05/09/2020,27219,1247,304,10
05/10/2020,28866,1647,312,8
05/11/2020,30063,1197,323,11
05/12/2020,31721,1658,335,12
05/13/2020,34381,2660,346,11
05/14/2020,37040,2659,368,22
05/15/2020,39542,2502,394,26
05/16/2020,41428,1886,421,27
05/17/2020,43781,2353,450,29
05/18/2020,46059,2278,478,28
05/19/2020,49579,3520,509,31
05/20/2020,53617,4038,544,35
05/21/2020,57581,3964,589,45
05/22/2020,61857,4276,630,41
05/23/2020,65393,3536,673,43
05/24/2020,69102,3709,718,45
05/25/2020,73997,4895,761,43
05/26/2020,77961,3964,806,45
05/27/2020,82289,4328,841,35
05/28/2020,86943,4654,890,49
05/29/2020,90638,3695,944,54
05/30/2020,94858,4220,997,53
05/31/2020,99688,4830,1054,57
06/01/2020,105159,5471,1113,59
06/02/2020,108686,3527,1188,75
06/03/2020,113628,4942,1275,87
06/04/2020,118292,4664,1356,81
06/05/2020,122499,4207,1448,92
06/06/2020,127745,5246,1541,93
06/07/2020,134150,6405,2190,649
06/08/2020,138846,4696,2264,74
06/09/2020,142759,3913,2283,19
06/10/2020,148496,5737,2475,192
06/11/2020,154092,5596,2648,173
06/12/2020,160846,6754,2870,222
06/13/2020,167355,6509,3101,231
06/14/2020,174293,6938,3323,222
06/15/2020,179436,5143,3362,39
06/16/2020,184449,5013,3383,21
06/17/2020,220628,36179,3615,232
06/18/2020,225103,4475,3841,226
06/19/2020,231393,6290,4093,252
06/20/2020,236748,5355,4295,202
06/21/2020,242355,5607,4479,184
06/22/2020,246963,4608,4502,23
06/23/2020,250767,3804,4505,3
06/24/2020,254416,3649,4731,226
06/25/2020,259064,4648,4903,172
06/26/2020,263360,4296,5068,165
06/27/2020,267766,4406,5347,279
06/28/2020,271982,4216,5509,162
06/29/2020,275999,4017,5575,66
06/30/2020,279393,3394,5688,113
07/01/2020,282043,2650,5753,65
07/02/2020,284541,2498,5920,167
07/03/2020,288089,3548,6051,131
07/04/2020,291847,3758,6192,141
07/05/2020,295532,3685,6308,116
