Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
01/21/2020,440,0,0,0
01/22/2020,571,131,0,0
01/23/2020,830,259,0,0
01/24/2020,1287,457,0,0
01/25/2020,1975,688,0,0
01/26/2020,2744,769,0,0
01/27/2020,4515,1771,0,0
01/28/2020,5974,1459,0,0
01/29/2020,7711,1737,0,0
01/30/2020,9692,1981,0,0
01/31/2020,11791,2099,0,0
02/01/2020,14380,2589,0,0
02/02/2020,17205,2825,0,0
02/03/2020,20438,3233,361,361
02/04/2020,24324,3886,425,64
02/05/2020,28018,3694,491,66
02/06/2020,31161,3143,564,73
02/07/2020,34546,3385,637,73
02/08/2020,37198,2652,723,86
02/09/2020,40171,2973,812,89
02/10/2020,42638,2467,909,97
02/11/2020,44653,2015,1017,108
02/12/2020,46472,1819,1114,97
02/13/2020,48467,1995,1368,254
02/14/2020,49970,1503,1381,13
02/15/2020,51091,1121,1524,143
02/16/2020,68584,17493,1666,142
02/17/2020,70635,2051,1772,106
02/18/2020,72428,1793,1870,98
02/19/2020,74280,1852,2006,136
02/20/2020,74675,395,2121,115
02/21/2020,75569,894,2239,118
02/22/2020,76392,823,2348,109
02/23/2020,77042,650,2445,97
02/24/2020,77262,220,2595,150
02/25/2020,77780,518,2666,71
02/26/2020,78191,411,2718,52
02/27/2020,78630,439,2747,29
02/28/2020,78961,331,2791,44
02/29/2020,79394,433,2838,47
03/01/2020,79968,574,2873,35
03/02/2020,80174,206,2915,42
03/03/2020,80304,130,2946,31
03/04/2020,80422,118,2984,38
03/05/2020,80565,143,3015,31
03/06/2020,80711,146,3045,30
03/07/2020,80749,38,3073,28
03/08/2020,80779,30,3100,27
03/09/2020,80795,16,3123,23
03/10/2020,80800,5,3140,17
03/11/2020,80813,13,3162,22
03/12/2020,80826,13,3173,11
03/13/2020,80846,20,3180,7
03/14/2020,80850,4,3194,14
03/15/2020,80883,33,3204,10
03/16/2020,80901,18,3213,9
03/17/2020,80910,9,3226,13
03/18/2020,80919,9,3237,11
03/19/2020,80928,9,3245,8
03/20/2020,80967,39,3248,3
03/21/2020,81008,41,3255,7
03/22/2020,81054,46,3261,6
03/23/2020,81093,39,3270,9
03/24/2020,81171,78,3277,7
03/25/2020,81218,47,3281,4
03/26/2020,81285,67,3287,6
03/27/2020,81340,55,3292,5
03/28/2020,81394,54,3295,3
03/29/2020,81439,45,3300,5
03/30/2020,81470,31,3304,4
03/31/2020,81518,48,3305,1
04/01/2020,81554,36,3312,7
04/02/2020,81589,35,3318,6
04/03/2020,81620,31,3322,4
04/04/2020,81639,19,3326,4
04/05/2020,81669,30,3329,3
04/06/2020,81708,39,3331,2
04/07/2020,81740,32,3331,0
04/08/2020,81802,62,3333,2
04/09/2020,81865,63,3335,2
04/10/2020,81907,42,3336,1
04/11/2020,81953,46,3339,3
04/12/2020,82052,99,3339,0
04/13/2020,82160,108,3341,2
04/14/2020,82249,89,3341,0
04/15/2020,82295,46,3342,1
04/16/2020,82341,46,3342,0
04/17/2020,82367,26,3342,0
04/18/2020,82719,352,4632,1290
04/19/2020,82735,16,4632,0
04/20/2020,82747,12,4632,0
04/21/2020,82758,11,4632,0
04/22/2020,82788,30,4632,0
04/23/2020,82798,10,4632,0
04/24/2020,82804,6,4632,0
04/25/2020,82816,12,4632,0
04/26/2020,82827,11,4632,0
04/27/2020,82830,3,4633,1
04/28/2020,82836,6,4633,0
04/29/2020,82858,22,4633,0
04/30/2020,82862,4,4633,0
05/01/2020,82874,12,4633,0
05/02/2020,82875,1,4633,0
05/03/2020,82877,2,4633,0
05/04/2020,82880,3,4633,0
05/05/2020,82881,1,4633,0
05/06/2020,82883,2,4633,0
05/07/2020,82885,2,4633,0
05/08/2020,82886,1,4633,0
05/09/2020,82887,1,4633,0
05/10/2020,82901,14,4633,0
05/11/2020,82918,17,4633,0
05/12/2020,82919,1,4633,0
05/13/2020,82926,7,4633,0
05/14/2020,82929,3,4633,0
05/15/2020,82933,4,4633,0
05/16/2020,82941,8,4633,0
05/17/2020,82947,6,4634,1
05/18/2020,82954,7,4634,0
05/19/2020,82960,6,4634,0
05/20/2020,82965,5,4634,0
05/21/2020,82967,2,4634,0
05/22/2020,82971,4,4634,0
05/23/2020,82972,1,4634,0
05/24/2020,82974,2,4634,0
05/25/2020,82985,11,4634,0
05/26/2020,82992,7,4634,0
05/27/2020,82993,1,4634,0
05/28/2020,82995,2,4634,0
05/29/2020,82997,2,4634,0
05/30/2020,82999,2,4634,0
05/31/2020,83001,2,4634,0
06/01/2020,83017,16,4634,0
06/02/2020,83022,5,4634,0
06/03/2020,83023,1,4634,0
06/04/2020,83025,2,4634,0
06/05/2020,83027,2,4634,0
06/06/2020,83030,3,4634,0
06/07/2020,83036,6,4634,0
06/08/2020,83040,4,4634,0
06/09/2020,83043,3,4634,0
06/10/2020,83046,3,4634,0
06/11/2020,83057,11,4634,0
06/12/2020,83064,7,4634,0
06/13/2020,83075,11,4634,0
06/14/2020,83132,57,4634,0
06/15/2020,83181,49,4634,0
06/16/2020,83221,40,4634,0
06/17/2020,83265,44,4634,0
06/18/2020,83293,28,4634,0
06/19/2020,83325,32,4634,0
06/20/2020,83352,27,4634,0
06/21/2020,83378,26,4634,0
06/22/2020,83396,18,4634,0
06/23/2020,83418,22,4634,0
06/24/2020,83430,12,4634,0
06/25/2020,83449,19,4634,0
06/26/2020,83462,13,4634,0
06/27/2020,83483,21,4634,0
06/28/2020,83500,17,4634,0
06/29/2020,83512,12,4634,0
06/30/2020,83531,19,4634,0
07/01/2020,83534,3,4634,0
07/02/2020,83537,3,4634,0
07/03/2020,83542,5,4634,0
07/04/2020,83545,3,4634,0
07/05/2020,83553,8,4634,0
