Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
04/30/2020,1,0,0,0
05/01/2020,1,0,0,0
05/02/2020,3,2,0,0
05/03/2020,3,0,0,0
05/04/2020,4,1,1,1
05/05/2020,4,0,1,0
05/06/2020,8,4,1,0
05/07/2020,8,0,1,0
05/08/2020,8,0,1,0
05/09/2020,11,3,1,0
05/10/2020,11,0,1,0
05/11/2020,11,0,1,0
05/12/2020,11,0,1,0
05/13/2020,11,0,1,0
05/14/2020,11,0,1,0
05/15/2020,11,0,1,0
05/16/2020,11,0,1,0
05/17/2020,11,0,1,0
05/18/2020,11,0,1,0
05/19/2020,34,23,1,0
05/20/2020,34,0,1,0
05/21/2020,34,0,1,0
05/22/2020,78,44,1,0
05/23/2020,82,4,1,0
05/24/2020,87,5,1,0
05/25/2020,90,3,1,0
05/26/2020,93,3,1,0
05/27/2020,96,3,1,0
05/28/2020,99,3,1,0
05/29/2020,102,3,1,0
05/30/2020,106,4,2,1
05/31/2020,114,8,2,0
06/01/2020,123,9,2,0
06/02/2020,132,9,2,0
06/03/2020,134,2,2,0
06/04/2020,136,2,2,0
06/05/2020,138,2,2,0
06/06/2020,141,3,2,0
06/07/2020,146,5,2,0
06/08/2020,151,5,2,0
06/09/2020,156,5,2,0
06/10/2020,162,6,2,0
06/11/2020,162,0,2,0
06/12/2020,163,1,2,0
06/13/2020,176,13,2,0
06/14/2020,183,7,2,0
06/15/2020,190,7,2,0
06/16/2020,197,7,2,0
06/17/2020,203,6,3,1
06/18/2020,210,7,3,0
06/19/2020,228,18,35,32
06/20/2020,247,19,35,0
06/21/2020,253,6,5,-30
06/22/2020,247,-6,5,0
06/23/2020,265,18,7,2
06/24/2020,265,0,7,0
06/25/2020,272,7,7,0
06/26/2020,272,0,7,0
06/27/2020,272,0,7,0
06/28/2020,272,0,7,0
06/29/2020,272,0,7,0
06/30/2020,303,31,7,0
07/01/2020,303,0,7,0
07/02/2020,303,0,7,0
07/03/2020,309,6,7,0
07/04/2020,309,0,7,0
07/05/2020,311,2,7,0
07/06/2020,311,0,7,0
