Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
02/25/2020,1,0,0,0
02/26/2020,3,2,0,0
02/27/2020,3,0,0,0
02/28/2020,5,2,0,0
02/29/2020,7,2,0,0
03/01/2020,7,0,0,0
03/02/2020,8,1,0,0
03/03/2020,9,1,0,0
03/04/2020,9,0,0,0
03/05/2020,10,1,0,0
03/06/2020,11,1,0,0
03/07/2020,12,1,0,0
03/08/2020,12,0,0,0
03/09/2020,13,1,0,0
03/10/2020,15,2,0,0
03/11/2020,19,4,0,0
03/12/2020,27,8,0,0
03/13/2020,32,5,0,0
03/14/2020,39,7,0,0
03/15/2020,49,10,0,0
03/16/2020,56,7,0,0
03/17/2020,69,13,0,0
03/18/2020,89,20,1,1
03/19/2020,105,16,1,0
03/20/2020,128,23,1,0
03/21/2020,206,78,1,0
03/22/2020,254,48,1,0
03/23/2020,315,61,1,0
03/24/2020,382,67,1,0
03/25/2020,442,60,1,0
03/26/2020,495,53,2,1
03/27/2020,586,91,3,1
03/28/2020,657,71,5,2
03/29/2020,713,56,6,1
03/30/2020,790,77,6,0
03/31/2020,867,77,6,0
04/01/2020,963,96,6,0
04/02/2020,1011,48,7,1
04/03/2020,1079,68,8,1
04/04/2020,1126,47,12,4
04/05/2020,1182,56,15,3
04/06/2020,1222,40,16,1
04/07/2020,1282,60,18,2
04/08/2020,1343,61,19,1
04/09/2020,1407,64,20,1
04/10/2020,1495,88,21,1
04/11/2020,1534,39,21,0
04/12/2020,1600,66,23,2
04/13/2020,1650,50,25,2
04/14/2020,1704,54,31,6
04/15/2020,1741,37,33,2
04/16/2020,1791,50,35,2
04/17/2020,1814,23,36,1
04/18/2020,1832,18,39,3
04/19/2020,1871,39,47,8
04/20/2020,1881,10,47,0
04/21/2020,1908,27,48,1
04/22/2020,1950,42,48,0
04/23/2020,1981,31,50,2
04/24/2020,2009,28,51,1
04/25/2020,2016,7,54,3
04/26/2020,2030,14,55,1
04/27/2020,2039,9,59,4
04/28/2020,2047,8,63,4
04/29/2020,2062,15,67,4
04/30/2020,2076,14,69,2
05/01/2020,2085,9,75,6
05/02/2020,2088,3,77,2
05/03/2020,2096,8,79,2
05/04/2020,2101,5,80,1
05/05/2020,2112,11,83,3
05/06/2020,2119,7,85,2
05/07/2020,2125,6,86,1
05/08/2020,2161,36,86,0
05/09/2020,2176,15,87,1
05/10/2020,2187,11,90,3
05/11/2020,2196,9,91,1
05/12/2020,2207,11,91,0
05/13/2020,2213,6,94,3
05/14/2020,2221,8,94,0
05/15/2020,2222,1,95,1
05/16/2020,2224,2,95,0
05/17/2020,2226,2,95,0
05/18/2020,2228,2,95,0
05/19/2020,2232,4,96,1
05/20/2020,2234,2,96,0
05/21/2020,2237,3,97,1
05/22/2020,2243,6,99,2
05/23/2020,2243,0,99,0
05/24/2020,2244,1,99,0
05/25/2020,2244,0,100,1
05/26/2020,2244,0,101,1
05/27/2020,2244,0,101,0
05/28/2020,2245,1,102,1
05/29/2020,2245,0,103,1
05/30/2020,2246,1,103,0
05/31/2020,2246,0,103,0
06/01/2020,2246,0,103,0
06/02/2020,2246,0,103,0
06/03/2020,2246,0,103,0
06/04/2020,2247,1,103,0
06/05/2020,2247,0,103,0
06/06/2020,2247,0,104,1
06/07/2020,2247,0,104,0
06/08/2020,2247,0,104,0
06/09/2020,2248,1,106,2
06/10/2020,2249,1,106,0
06/11/2020,2249,0,106,0
06/12/2020,2250,1,107,1
06/13/2020,2251,1,107,0
06/14/2020,2252,1,107,0
06/15/2020,2254,2,107,0
06/16/2020,2255,1,107,0
06/17/2020,2258,3,107,0
06/18/2020,2269,11,107,0
06/19/2020,2280,11,107,0
06/20/2020,2299,19,107,0
06/21/2020,2317,18,107,0
06/22/2020,2336,19,107,0
06/23/2020,2366,30,107,0
06/24/2020,2388,22,107,0
06/25/2020,2483,95,107,0
06/26/2020,2539,56,107,0
06/27/2020,2624,85,107,0
06/28/2020,2691,67,107,0
06/29/2020,2725,34,107,0
06/30/2020,2777,52,107,0
07/01/2020,2831,54,108,1
07/02/2020,2912,81,110,2
07/03/2020,3008,96,112,2
07/04/2020,3094,86,113,1
07/05/2020,3151,57,113,0
07/06/2020,3220,69,113,0
