Updated,Confirmed,Deaths
03/09/2020,2,0
03/10/2020,2,0
03/11/2020,6,0
03/12/2020,10,0
03/13/2020,21,0
03/14/2020,26,0
03/15/2020,33,0
03/16/2020,46,0
03/17/2020,49,0
03/18/2020,58,0
03/19/2020,67,0
03/20/2020,75,0
03/21/2020,84,1
03/22/2020,95,1
03/23/2020,116,1
03/24/2020,124,3
03/25/2020,132,3
03/26/2020,146,3
03/27/2020,162,6
03/28/2020,179,7
03/29/2020,214,8
03/30/2020,230,8
03/31/2020,262,10
04/01/2020,320,12
04/02/2020,356,12
04/03/2020,396,13
04/04/2020,426,14
04/05/2020,446,14
04/06/2020,465,14
04/07/2020,494,14
04/08/2020,526,14
04/09/2020,564,15
04/10/2020,595,15
04/11/2020,616,15
04/12/2020,633,16
04/13/2020,662,17
04/14/2020,695,17
04/15/2020,715,17
04/16/2020,735,17
04/17/2020,750,17
04/18/2020,761,17
04/19/2020,767,17
04/20/2020,772,17
04/21/2020,784,17
04/22/2020,790,18
04/23/2020,795,18
04/24/2020,804,19
04/25/2020,810,19
04/26/2020,817,19
04/27/2020,827,19
04/28/2020,837,20
04/29/2020,843,20
04/30/2020,850,20
05/01/2020,857,20
05/02/2020,862,20
05/03/2020,868,20
05/04/2020,874,20
05/05/2020,878,21
05/06/2020,883,21
05/07/2020,889,21
05/08/2020,891,21
05/09/2020,892,21
05/10/2020,898,22
05/11/2020,901,22
05/12/2020,903,23
05/13/2020,905,24
05/14/2020,907,24
05/15/2020,910,24
05/16/2020,914,24
05/17/2020,916,24
05/18/2020,917,24
05/19/2020,918,24
05/20/2020,922,24
05/21/2020,923,24
05/22/2020,927,24
05/23/2020,931,24
05/24/2020,935,24
05/25/2020,937,24
05/26/2020,939,24
05/27/2020,940,24
05/28/2020,941,24
05/29/2020,942,24
05/30/2020,944,24
05/31/2020,946,24
06/01/2020,949,24
06/02/2020,952,24
06/03/2020,958,24
06/04/2020,959,24
06/05/2020,960,24
06/06/2020,963,25
06/07/2020,966,25
06/08/2020,970,25
06/09/2020,972,25
06/10/2020,974,25
06/11/2020,975,25
06/12/2020,980,25
06/13/2020,981,25
06/14/2020,983,25
06/15/2020,985,25
06/16/2020,985,25
06/17/2020,985,25
06/18/2020,985,26
06/19/2020,985,26
06/20/2020,985,26
06/21/2020,108,4
06/22/2020,108,4
06/23/2020,108,4
06/24/2020,108,4
06/25/2020,108,4
06/26/2020,108,4
06/27/2020,108,4
06/28/2020,108,4
06/29/2020,108,4
06/30/2020,108,4
07/01/2020,108,4
07/02/2020,108,4
07/03/2020,108,4
07/04/2020,108,4
07/05/2020,108,4
