Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
03/11/2020,1,0,0,0
03/12/2020,2,1,0,0
03/13/2020,3,1,0,0
03/14/2020,4,1,0,0
03/15/2020,5,1,0,0
03/16/2020,6,1,0,0
03/17/2020,7,1,0,0
03/18/2020,9,2,0,0
03/19/2020,9,0,0,0
03/20/2020,14,5,0,0
03/21/2020,14,0,0,0
03/22/2020,25,11,0,0
03/23/2020,25,0,0,0
03/24/2020,73,48,0,0
03/25/2020,80,7,0,0
03/26/2020,96,16,0,0
03/27/2020,101,5,0,0
03/28/2020,140,39,0,0
03/29/2020,165,25,1,1
03/30/2020,168,3,1,0
03/31/2020,179,11,1,0
04/01/2020,190,11,1,0
04/02/2020,194,4,1,0
04/03/2020,218,24,1,0
04/04/2020,245,27,1,0
04/05/2020,261,16,3,2
04/06/2020,323,62,3,0
04/07/2020,349,26,3,0
04/08/2020,384,35,3,0
04/09/2020,444,60,3,0
04/10/2020,480,36,3,0
04/11/2020,533,53,3,0
04/12/2020,574,41,5,2
04/13/2020,626,52,6,1
04/14/2020,638,12,6,0
04/15/2020,654,16,6,0
04/16/2020,688,34,6,0
04/17/2020,742,54,6,0
04/18/2020,801,59,8,2
04/19/2020,847,46,9,1
04/20/2020,879,32,10,1
04/21/2020,916,37,13,3
04/22/2020,952,36,14,1
04/23/2020,1004,52,14,0
04/24/2020,1077,73,14,0
04/25/2020,1111,34,14,0
04/26/2020,1150,39,14,0
04/27/2020,1164,14,14,0
04/28/2020,1183,19,14,0
04/29/2020,1238,55,14,0
04/30/2020,1275,37,14,0
05/01/2020,1333,58,15,1
05/02/2020,1362,29,15,0
05/03/2020,1398,36,17,2
05/04/2020,1432,34,17,0
05/05/2020,1464,32,17,0
05/06/2020,1516,52,18,1
05/07/2020,1571,55,20,2
05/08/2020,1602,31,20,0
05/09/2020,1667,65,21,1
05/10/2020,1700,33,21,0
05/11/2020,1730,30,21,0
05/12/2020,1857,127,21,0
05/13/2020,1912,55,24,3
05/14/2020,1971,59,24,0
05/15/2020,2017,46,24,0
05/16/2020,2061,44,25,1
05/17/2020,2109,48,27,2
05/18/2020,2119,10,28,1
05/19/2020,2153,34,28,0
05/20/2020,2231,78,29,1
05/21/2020,2301,70,29,0
05/22/2020,2341,40,29,0
05/23/2020,2366,25,30,1
05/24/2020,2376,10,30,0
05/25/2020,2423,47,30,0
05/26/2020,2477,54,30,0
05/27/2020,2556,79,31,1
05/28/2020,2641,85,32,1
05/29/2020,2750,109,32,0
05/30/2020,2799,49,33,1
05/31/2020,2833,34,33,0
06/01/2020,2951,118,33,0
06/02/2020,3024,73,33,0
06/03/2020,3110,86,33,0
06/04/2020,3262,152,35,2
06/05/2020,3431,169,36,1
06/06/2020,3557,126,36,0
06/07/2020,3739,182,36,0
06/08/2020,3881,142,38,2
06/09/2020,3995,114,38,0
06/10/2020,4181,186,41,3
06/11/2020,4404,223,41,0
06/12/2020,4684,280,45,4
06/13/2020,4848,164,45,0
06/14/2020,5084,236,45,0
06/15/2020,5439,355,45,0
06/16/2020,5679,240,46,1
06/17/2020,6063,384,46,0
06/18/2020,6444,381,49,3
06/19/2020,6874,430,49,0
06/20/2020,7276,402,52,3
06/21/2020,7492,216,54,2
06/22/2020,7677,185,56,2
06/23/2020,7904,227,58,2
06/24/2020,8164,260,58,0
06/25/2020,8334,170,60,2
06/26/2020,8739,405,64,4
06/27/2020,8944,205,66,2
06/28/2020,9101,157,66,0
06/29/2020,9214,113,66,0
06/30/2020,9499,285,68,2
07/01/2020,9702,203,68,0
07/02/2020,9992,290,68,0
07/03/2020,10244,252,70,2
07/04/2020,10462,218,72,2
07/05/2020,10772,310,74,2
07/06/2020,10996,224,75,1
