Updated,Confirmed,Deaths
02/03/2020,4,0
02/04/2020,3573,123.0
02/27/2020,3583,125.0
02/28/2020,3593,127.0
02/29/2020,3603,129.0
03/01/2020,3613,131.0
03/02/2020,3623,133.0
03/03/2020,3633,136.0
03/04/2020,3643,139.0
03/05/2020,3653,139.0
03/06/2020,3663,139.0
03/07/2020,3673,139.0
03/08/2020,3683,139.0
03/09/2020,3693,139.0
03/10/2020,3703,139.0
03/11/2020,3713,139.0
03/12/2020,3723,139.0
03/13/2020,3733,139.0
03/14/2020,3743,139.0
03/15/2020,3753,139.0
03/16/2020,3763,139.0
03/17/2020,3773,139.0
03/18/2020,3783,139.0
03/19/2020,3793,139.0
03/20/2020,3803,139.0
03/21/2020,3813,139.0
03/22/2020,3823,139.0
03/23/2020,3833,139.0
03/24/2020,3843,139.0
03/25/2020,3853,139.0
03/26/2020,3863,139.0
03/27/2020,3873,139.0
03/28/2020,3883,139.0
03/29/2020,3893,139.0
03/30/2020,3903,139.0
03/31/2020,3913,139.0
04/01/2020,3924,139.0
04/02/2020,3935,139.0
04/03/2020,3946,139.0
04/04/2020,4268,161.0
04/05/2020,4561,179.0
04/06/2020,4875,187.0
04/07/2020,5266,203.0
04/08/2020,5597,218.0
04/09/2020,5830,237.0
04/10/2020,6014,247.0
04/11/2020,6191,260.0
04/12/2020,6369,273.0
04/13/2020,6513,285.0
04/14/2020,6706,299.0
04/15/2020,6876,309.0
04/16/2020,7074,321.0
04/17/2020,7268,336.0
04/18/2020,7437,346.0
04/19/2020,7580,355.0
04/20/2020,7711,364.0
04/21/2020,7891,370.0
04/22/2020,8108,384.0
04/23/2020,8271,394.0
04/24/2020,8408,403.0
04/25/2020,8643,418.0
04/26/2020,8773,422.0
04/27/2020,8896,427.0
04/28/2020,9049,434.0
04/29/2020,9206,443.0
04/30/2020,9356,452.0
05/01/2020,9509,460.0
05/02/2020,9605,475.0
05/03/2020,9721,484.0
05/04/2020,9868,493.0
05/05/2020,10019,503.0
05/06/2020,10136,506.0
05/07/2020,10281,514.0
05/08/2020,10416,522.0
05/09/2020,10517,526.0
05/10/2020,10627,529.0
05/11/2020,10711,533.0
05/12/2020,10789,533.0
05/13/2020,10865,533.0
05/14/2020,10911,537.0
05/15/2020,10989,537.0
05/16/2020,11056,543.0
05/17/2020,11125,547.0
05/18/2020,11166,548.0
05/19/2020,11242,551.0
05/20/2020,11315,554.0
05/21/2020,11380,561.0
05/22/2020,11428,561.0
05/23/2020,11487,561.0
05/24/2020,11558,562.0
05/25/2020,11586,563.0
05/26/2020,11627,563.0
05/27/2020,11679,565.0
05/28/2020,11712,568.0
05/29/2020,11793,568.0
05/30/2020,11833,571.0
05/31/2020,11869,574.0
06/01/2020,11899,576.0
06/02/2020,11934,580.0
06/03/2020,11971,580.0
06/04/2020,12011,582.0
06/05/2020,12075,586.0
06/06/2020,12124,587.0
06/07/2020,12148,589.0
06/08/2020,12162,593.0
06/09/2020,12201,593.0
06/10/2020,12216,593.0
06/11/2020,12235,593.0
06/12/2020,12299,594.0
06/13/2020,12339,597.0
06/14/2020,12393,597.0
06/15/2020,12417,598.0
06/16/2020,12450,598.0
06/17/2020,12494,598.0
06/18/2020,12544,600.0
06/19/2020,12591,600.0
06/20/2020,12636,600.0
06/21/2020,12681,600.0
06/22/2020,12727,602.0
06/23/2020,12761,603.0
06/24/2020,12815,603.0
06/25/2020,12836,603.0
06/26/2020,12875,604.0
