Updated,Confirmed,Deaths
03/01/2020,1,0
03/02/2020,1,0
03/03/2020,1,0
03/04/2020,1,0
03/05/2020,1,0
03/06/2020,2,0
03/07/2020,3,0
03/08/2020,5,0
03/09/2020,6,0
03/10/2020,7,0
03/11/2020,8,0
03/12/2020,9,0
03/13/2020,11,0
03/14/2020,14,0
03/15/2020,17,0
03/16/2020,21,1
03/17/2020,21,1
03/18/2020,34,2
03/19/2020,34,2
03/20/2020,110,2
03/21/2020,202,3
03/22/2020,245,3
03/23/2020,312,6
03/24/2020,392,10
03/25/2020,488,10
03/26/2020,581,20
03/27/2020,718,28
03/28/2020,859,39
03/29/2020,901,42
03/30/2020,1109,51
03/31/2020,1284,57
04/01/2020,1380,60
04/02/2020,1488,68
04/03/2020,1533,72
04/04/2020,1578,77
04/05/2020,1745,82
04/06/2020,1828,86
04/07/2020,1956,98
04/08/2020,2111,108
04/09/2020,2349,118
04/10/2020,2620,126
04/11/2020,2759,135
04/12/2020,3167,177
04/13/2020,3286,183
04/14/2020,3614,189
04/15/2020,3755,196
04/16/2020,4126,200
04/17/2020,4335,217
04/18/2020,4680,226
04/19/2020,4964,235
04/20/2020,5044,245
04/21/2020,5300,260
04/22/2020,5543,265
04/23/2020,5646,265
04/24/2020,5749,267
04/25/2020,5926,273
04/26/2020,6135,278
04/27/2020,6293,282
04/28/2020,6416,286
04/29/2020,6652,293
04/30/2020,6972,301
05/01/2020,7288,313
05/02/2020,7954,333
05/03/2020,8235,346
05/04/2020,8480,354
05/05/2020,8807,362
05/06/2020,9095,373
05/07/2020,9376,380
05/08/2020,9882,385
05/09/2020,10347,388
05/10/2020,10634,393
05/11/2020,10900,402
05/12/2020,11196,409
05/13/2020,11320,422
05/14/2020,11739,424
05/15/2020,12110,428
05/16/2020,12314,428
05/17/2020,12725,434
05/18/2020,13223,441
05/19/2020,13477,446
05/20/2020,13657,448
05/21/2020,13989,456
05/22/2020,14422,458
05/23/2020,14801,458
05/24/2020,15073,460
05/25/2020,15264,468
05/26/2020,15723,474
05/27/2020,16068,485
05/28/2020,16531,488
05/29/2020,16908,498
05/30/2020,17285,502
05/31/2020,17572,502
06/01/2020,17752,515
06/02/2020,18040,516
06/03/2020,18319,520
06/04/2020,18708,525
06/05/2020,19195,536
06/06/2020,19600,538
06/07/2020,20126,539
06/08/2020,20415,544
06/09/2020,20808,550
06/10/2020,21437,561
06/11/2020,22008,568
06/12/2020,22572,577
06/13/2020,22962,592
06/14/2020,23271,605
06/15/2020,23686,615
06/16/2020,24105,633
06/17/2020,24645,635
06/18/2020,25068,647
06/19/2020,25778,655
06/20/2020,26677,662
06/21/2020,27370,669
06/22/2020,27936,675
06/23/2020,28631,691
06/24/2020,29141,698
06/25/2020,29764,712
06/26/2020,30619,718
06/27/2020,31373,726
06/28/2020,31816,733
06/29/2020,32568,747
06/30/2020,33387,754
07/01/2020,34197,765
07/02/2020,35148,775
07/03/2020,36184,786
07/04/2020,37425,794
07/05/2020,38128,804
