Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
02/29/2020,1,0,0,0
03/01/2020,6,5,0,0
03/02/2020,8,2,0,0
03/03/2020,11,3,0,0
03/04/2020,14,3,0,0
03/05/2020,14,0,0,0
03/06/2020,14,0,0,0
03/07/2020,14,0,0,0
03/08/2020,15,1,0,0
03/09/2020,15,0,0,0
03/10/2020,17,2,0,0
03/11/2020,19,2,0,0
03/12/2020,21,2,0,0
03/13/2020,23,2,1,1
03/14/2020,28,5,2,1
03/15/2020,37,9,2,0
03/16/2020,58,21,2,0
03/17/2020,111,53,2,0
03/18/2020,155,44,2,0
03/19/2020,260,105,4,2
03/20/2020,367,107,5,1
03/21/2020,532,165,7,2
03/22/2020,789,257,14,7
03/23/2020,981,192,18,4
03/24/2020,1082,101,27,9
03/25/2020,1211,129,29,2
03/26/2020,1403,192,34,5
03/27/2020,1627,224,41,7
03/28/2020,1835,208,48,7
03/29/2020,1924,89,58,10
03/30/2020,1966,42,62,4
03/31/2020,2302,336,79,17
04/01/2020,2758,456,98,19
04/02/2020,3163,405,120,22
04/03/2020,3368,205,145,25
04/04/2020,3465,97,170,25
04/05/2020,3646,181,180,10
04/06/2020,3747,101,191,11
04/07/2020,3995,248,220,29
04/08/2020,4450,455,242,22
04/09/2020,4965,515,272,30
04/10/2020,7161,2196,297,25
04/11/2020,7257,96,315,18
04/12/2020,7466,209,333,18
04/13/2020,7529,63,355,22
04/14/2020,7603,74,369,14
04/15/2020,7858,255,388,19
04/16/2020,8225,367,403,15
04/17/2020,8450,225,421,18
04/18/2020,9022,572,456,35
04/19/2020,9468,446,474,18
04/20/2020,10128,660,507,33
04/21/2020,10398,270,520,13
04/22/2020,10850,452,537,17
04/23/2020,11183,333,560,23
04/24/2020,13474,2291,560,0
04/25/2020,15766,2292,560,0
04/26/2020,18058,2292,560,0
04/27/2020,20350,2292,560,0
04/28/2020,22642,2292,560,0
04/30/2020,24934,2292,900,340
05/01/2020,26336,1402,1063,163
05/02/2020,27464,1128,1371,308
05/03/2020,29538,2074,1564,193
05/04/2020,31881,2343,1569,5
05/05/2020,31951,70,1569,0
05/06/2020,32021,70,1618,49
05/07/2020,32091,70,1654,36
05/08/2020,32161,70,1704,50
05/09/2020,32231,70,1717,13
05/10/2020,32301,70,2127,410
05/11/2020,32371,70,2145,18
05/12/2020,32441,70,2327,182
05/13/2020,32511,70,2334,7
05/14/2020,32581,70,2338,4
05/15/2020,32652,71,2594,256
05/16/2020,32723,71,2688,94
05/17/2020,33182,459,2736,48
05/18/2020,33582,400,2799,63
05/19/2020,34151,569,2839,40
05/20/2020,34854,703,2888,49
05/21/2020,35306,452,2939,51
05/22/2020,35828,522,3056,117
05/23/2020,36258,430,3096,40
05/24/2020,36756,498,3108,12
05/25/2020,37355,599,3203,95
05/26/2020,37656,301,3221,18
05/27/2020,38103,447,3275,54
05/28/2020,38471,368,3313,38
05/29/2020,38571,100,3334,21
05/30/2020,38843,272,3346,12
05/31/2020,39098,255,3358,12
06/01/2020,39994,896,3394,36
06/02/2020,40414,420,3438,44
06/03/2020,40966,552,3486,48
06/04/2020,41575,609,3534,48
06/05/2020,42106,531,3592,58
06/06/2020,42728,622,3608,16
06/07/2020,43120,392,3621,13
06/08/2020,43378,258,3642,21
06/09/2020,43917,539,3690,48
06/10/2020,44440,523,3720,30
06/11/2020,45082,642,3768,48
06/12/2020,45778,696,3828,60
06/13/2020,46356,578,3874,46
06/14/2020,46751,395,3896,22
06/15/2020,47322,571,3929,33
06/16/2020,47943,621,3970,41
06/17/2020,48490,547,4007,37
06/18/2020,49097,607,4087,80
06/19/2020,49731,634,4156,69
06/20/2020,50183,452,4199,43
06/21/2020,50640,457,4223,24
06/22/2020,50915,275,4246,23
06/23/2020,51643,728,4274,28
06/24/2020,52334,691,4309,35
06/25/2020,53156,822,4343,34
06/26/2020,53856,700,4406,63
06/27/2020,54574,718,4424,18
06/28/2020,55255,681,4429,5
06/29/2020,55665,410,4502,73
06/30/2020,56342,677,4527,25
07/01/2020,58257,1915,4576,49
07/02/2020,59486,1229,4639,63
07/03/2020,60657,1171,4700,61
07/04/2020,61535,878,4769,69
07/05/2020,61958,423,4781,12
07/06/2020,62380,422,4821,40
