Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
01/29/2020,1,0,0,0
01/30/2020,1,0,0,0
01/31/2020,1,0,0,0
02/01/2020,1,0,0,0
02/02/2020,1,0,0,0
02/03/2020,1,0,0,0
02/04/2020,1,0,0,0
02/05/2020,1,0,0,0
02/06/2020,1,0,0,0
02/07/2020,1,0,0,0
02/08/2020,1,0,0,0
02/09/2020,1,0,0,0
02/10/2020,1,0,0,0
02/11/2020,1,0,0,0
02/12/2020,1,0,0,0
02/13/2020,1,0,0,0
02/14/2020,1,0,0,0
02/15/2020,1,0,0,0
02/16/2020,1,0,0,0
02/17/2020,1,0,0,0
02/18/2020,1,0,0,0
02/19/2020,1,0,0,0
02/20/2020,1,0,0,0
02/21/2020,1,0,0,0
02/22/2020,1,0,0,0
02/23/2020,1,0,0,0
02/24/2020,1,0,0,0
02/25/2020,2,1,0,0
02/26/2020,2,0,0,0
02/27/2020,3,1,0,0
02/28/2020,5,2,0,0
02/29/2020,6,1,0,0
03/01/2020,7,1,0,0
03/02/2020,7,0,0,0
03/03/2020,11,4,0,0
03/04/2020,16,5,0,0
03/05/2020,17,1,0,0
03/06/2020,22,5,0,0
03/07/2020,29,7,0,0
03/08/2020,38,9,0,0
03/09/2020,54,16,0,0
03/10/2020,108,54,0,0
03/11/2020,181,73,0,0
03/12/2020,238,57,0,0
03/13/2020,266,28,0,0
03/14/2020,292,26,0,0
03/15/2020,339,47,0,0
03/16/2020,384,45,0,0
03/17/2020,425,41,0,0
03/18/2020,511,86,0,0
03/19/2020,603,92,0,0
03/20/2020,685,82,0,0
03/21/2020,767,82,1,1
03/22/2020,845,78,1,0
03/23/2020,927,82,1,0
03/24/2020,1027,100,1,0
03/25/2020,1125,98,3,2
03/26/2020,1228,103,4,1
03/27/2020,1317,89,7,3
03/28/2020,1392,75,9,2
03/29/2020,1450,58,11,2
03/30/2020,1566,116,13,2
03/31/2020,1683,117,17,4
04/01/2020,1828,145,17,0
04/02/2020,1982,154,19,2
04/03/2020,2180,198,20,1
04/04/2020,2254,74,25,5
04/05/2020,2360,106,28,3
04/06/2020,2567,207,31,3
04/07/2020,2764,197,34,3
04/08/2020,2891,127,40,6
04/09/2020,3037,146,42,2
04/10/2020,3101,64,48,6
04/11/2020,3176,75,49,1
04/12/2020,3254,78,56,7
04/13/2020,3369,115,59,3
04/14/2020,3539,170,64,5
04/15/2020,3665,126,72,8
04/16/2020,3785,120,75,3
04/17/2020,3908,123,82,7
04/18/2020,3963,55,90,8
04/19/2020,4026,63,94,4
04/20/2020,4172,146,98,4
04/21/2020,4284,112,141,43
04/22/2020,4406,122,149,8
04/23/2020,4513,107,172,23
04/24/2020,4609,96,177,5
04/25/2020,4686,77,186,9
04/26/2020,4759,73,190,4
04/27/2020,4887,128,193,3
04/28/2020,4992,105,199,6
04/29/2020,5086,94,206,7
04/30/2020,5161,75,211,5
05/01/2020,5205,44,218,7
05/02/2020,5253,48,220,2
05/03/2020,5404,151,230,10
05/04/2020,5531,127,240,10
05/05/2020,5650,119,246,6
05/06/2020,5749,99,252,6
05/07/2020,5861,112,255,3
05/08/2020,5944,83,260,5
05/09/2020,5986,42,265,5
05/10/2020,6005,19,267,2
05/11/2020,6047,42,271,4
05/12/2020,6054,7,284,13
05/13/2020,6145,91,287,3
05/14/2020,6317,172,287,0
05/15/2020,6374,57,293,6
05/16/2020,6397,23,297,4
05/17/2020,6420,23,298,1
05/18/2020,6467,47,300,2
05/19/2020,6512,45,301,1
05/20/2020,6555,43,304,3
05/21/2020,6579,24,306,2
05/22/2020,6612,33,306,0
05/23/2020,6628,16,306,0
05/24/2020,6659,31,307,1
05/25/2020,6713,54,308,1
05/26/2020,6753,40,312,4
05/27/2020,6769,16,313,1
05/28/2020,6812,43,313,0
05/29/2020,6856,44,314,1
05/30/2020,6869,13,316,2
05/31/2020,6880,11,317,1
06/01/2020,6898,18,318,1
06/02/2020,6921,23,320,2
06/03/2020,6950,29,321,1
06/04/2020,6969,19,322,1
06/05/2020,6988,19,322,0
06/06/2020,7006,18,322,0
06/07/2020,7026,20,323,1
06/08/2020,7044,18,323,0
06/09/2020,7066,22,324,1
06/10/2020,7078,12,324,0
06/11/2020,7089,11,325,1
06/12/2020,7104,15,325,0
06/13/2020,7108,4,325,0
06/14/2020,7111,3,326,1
06/15/2020,7123,12,326,0
06/16/2020,7131,8,326,0
06/17/2020,7134,3,326,0
06/18/2020,7143,9,326,0
06/19/2020,7144,1,326,0
06/20/2020,7145,1,326,0
06/21/2020,7158,13,326,0
06/22/2020,7165,7,327,1
06/23/2020,7173,8,327,0
06/24/2020,7193,20,327,0
06/25/2020,7207,14,327,0
06/26/2020,7210,3,328,1
06/27/2020,7211,1,328,0
06/28/2020,7219,8,328,0
06/29/2020,7233,14,328,0
06/30/2020,7242,9,328,0
07/01/2020,7243,1,328,0
07/02/2020,7250,7,328,0
07/03/2020,7256,6,329,1
07/04/2020,7257,1,329,0
07/05/2020,7253,-4,329,0
