Updated,Confirmed,Deaths
03/13/2020,1,0
03/14/2020,1,0
03/15/2020,1,0
03/16/2020,1,0
03/17/2020,1,0
03/18/2020,3,0
03/19/2020,3,0
03/20/2020,3,0
03/21/2020,4,0
03/22/2020,5,1
03/23/2020,5,1
03/24/2020,6,1
03/25/2020,6,1
03/26/2020,7,1
03/27/2020,7,1
03/28/2020,7,1
03/29/2020,7,1
03/30/2020,7,1
03/31/2020,16,1
04/01/2020,16,1
04/02/2020,18,1
04/03/2020,18,1
04/04/2020,21,1
04/05/2020,21,1
04/06/2020,24,1
04/07/2020,30,1
04/08/2020,34,1
04/09/2020,44,1
04/10/2020,46,1
04/11/2020,46,1
04/12/2020,49,1
04/13/2020,57,1
04/14/2020,80,1
04/15/2020,85,1
04/16/2020,90,1
04/17/2020,95,1
04/18/2020,109,1
04/20/2020,120,1
04/21/2020,156,1
04/22/2020,166,1
04/23/2020,167,2
04/24/2020,172,3
04/25/2020,176,3
04/26/2020,193,3
04/27/2020,211,3
04/28/2020,238,3
04/29/2020,276,3
04/30/2020,295,3
05/01/2020,315,3
05/02/2020,335,5
05/03/2020,351,5
05/04/2020,367,6
05/05/2020,397,6
05/06/2020,439,8
05/07/2020,504,8
05/08/2020,620,8
05/09/2020,661,8
05/10/2020,731,8
05/11/2020,802,9
05/12/2020,863,9
05/13/2020,1004,9
05/14/2020,1104,10
05/15/2020,1209,10
05/16/2020,1320,11
05/17/2020,1376,11
05/18/2020,1432,11
05/19/2020,1502,12
05/20/2020,1567,12
05/21/2020,1647,12
05/22/2020,1728,12
05/23/2020,1934,12
05/24/2020,2034,12
05/25/2020,2135,14
05/26/2020,2238,14
05/27/2020,2319,14
05/28/2020,2431,14
05/29/2020,2613,15
05/30/2020,2655,17
05/31/2020,2704,17
06/01/2020,2753,17
06/02/2020,2803,20
06/03/2020,2879,20
06/04/2020,2955,21
06/05/2020,3101,21
06/06/2020,3149,21
06/07/2020,3197,21
06/08/2020,3245,21
06/09/2020,3294,21
06/10/2020,3334,21
06/11/2020,3375,22
06/12/2020,3463,22
06/13/2020,3605,22
06/14/2020,3747,22
06/15/2020,3890,22
06/16/2020,4033,27
06/17/2020,4114,29
06/18/2020,4229,30
06/19/2020,4340,32
06/20/2020,4428,34
06/21/2020,4568,34
06/22/2020,4708,34
06/23/2020,4849,39
06/24/2020,4956,39
06/25/2020,5087,40
06/26/2020,5209,40
06/27/2020,5270,40
06/28/2020,5332,40
06/29/2020,5394,42
06/30/2020,5433,42
07/01/2020,5473,42
07/02/2020,5513,42
07/03/2020,5566,42
07/04/2020,5620,44
07/05/2020,5620,44
