Updated,Confirmed,Deaths
02/26/2020,1,0
02/27/2020,1,0
02/28/2020,1,0
02/29/2020,3,0
03/01/2020,3,0
03/02/2020,3,0
03/03/2020,3,0
03/04/2020,3,0
03/05/2020,4,0
03/06/2020,9,0
03/07/2020,12,0
03/08/2020,13,0
03/09/2020,15,0
03/10/2020,23,0
03/11/2020,24,0
03/12/2020,25,0
03/13/2020,26,0
03/14/2020,30,0
03/15/2020,33,0
03/16/2020,33,0
03/17/2020,34,0
03/18/2020,38,0
03/19/2020,40,0
03/20/2020,44,0
03/21/2020,49,0
03/22/2020,54,0
03/23/2020,61,0
03/24/2020,70,0
03/25/2020,75,0
03/26/2020,79,0
03/27/2020,83,0
03/28/2020,90,0
03/29/2020,91,0
03/30/2020,103,0
03/31/2020,110,0
04/01/2020,117,0
04/02/2020,134,0
04/03/2020,155,0
04/04/2020,162,1
04/05/2020,174,2
04/06/2020,188,2
04/07/2020,196,3
04/08/2020,211,3
04/09/2020,218,3
04/10/2020,234,3
04/11/2020,242,3
04/12/2020,257,3
04/13/2020,272,3
04/14/2020,296,3
04/15/2020,306,3
04/16/2020,348,3
04/17/2020,370,3
04/18/2020,388,4
04/19/2020,394,4
04/20/2020,402,4
04/21/2020,408,4
04/22/2020,416,5
04/23/2020,425,5
04/24/2020,444,5
04/25/2020,456,5
04/26/2020,485,6
04/27/2020,497,6
04/28/2020,511,6
04/29/2020,517,6
04/30/2020,539,6
05/01/2020,566,7
05/02/2020,582,8
05/03/2020,589,9
05/04/2020,593,9
05/05/2020,604,9
05/06/2020,610,9
05/07/2020,615,9
05/08/2020,623,10
05/09/2020,626,10
05/10/2020,635,10
05/11/2020,638,11
05/12/2020,642,11
05/13/2020,647,11
05/14/2020,667,12
05/15/2020,671,12
05/16/2020,681,12
05/17/2020,695,12
05/18/2020,701,12
05/19/2020,707,12
05/20/2020,713,12
05/21/2020,721,12
05/22/2020,723,12
05/23/2020,728,12
05/24/2020,730,12
05/25/2020,731,12
05/26/2020,732,12
05/27/2020,735,12
05/28/2020,738,12
05/29/2020,746,12
05/30/2020,757,12
05/31/2020,783,12
06/01/2020,794,12
06/02/2020,796,13
06/03/2020,800,13
06/04/2020,801,13
06/05/2020,805,13
06/06/2020,808,13
06/07/2020,809,13
06/08/2020,812,13
06/09/2020,818,13
06/10/2020,822,13
06/11/2020,828,13
06/12/2020,843,13
06/13/2020,851,14
06/14/2020,864,14
06/15/2020,879,14
06/16/2020,883,14
06/17/2020,888,14
06/18/2020,893,14
06/19/2020,895,14
06/20/2020,898,14
06/21/2020,906,14
06/22/2020,908,14
06/23/2020,911,14
06/24/2020,914,14
06/25/2020,917,14
06/26/2020,919,14
06/27/2020,921,14
06/28/2020,924,14
06/29/2020,926,15
06/30/2020,928,15
07/01/2020,931,15
07/02/2020,939,15
07/03/2020,943,15
07/04/2020,948,15
07/05/2020,951,15
07/06/2020,953,15
