Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
01/28/2020,1,0,0,0
01/29/2020,4,3,0,0
01/30/2020,4,0,0,0
01/31/2020,5,1,0,0
02/01/2020,7,2,0,0
02/02/2020,8,1,0,0
02/03/2020,10,2,0,0
02/04/2020,12,2,0,0
02/05/2020,12,0,0,0
02/06/2020,12,0,0,0
02/07/2020,13,1,0,0
02/08/2020,14,1,0,0
02/09/2020,14,0,0,0
02/10/2020,14,0,0,0
02/11/2020,14,0,0,0
02/12/2020,16,2,0,0
02/13/2020,16,0,0,0
02/14/2020,16,0,0,0
02/15/2020,16,0,0,0
02/16/2020,16,0,0,0
02/17/2020,16,0,0,0
02/18/2020,16,0,0,0
02/19/2020,16,0,0,0
02/20/2020,16,0,0,0
02/21/2020,16,0,0,0
02/22/2020,16,0,0,0
02/23/2020,16,0,0,0
02/24/2020,16,0,0,0
02/25/2020,18,2,0,0
02/26/2020,21,3,0,0
02/27/2020,26,5,0,0
02/28/2020,53,27,0,0
02/29/2020,66,13,0,0
03/01/2020,117,51,0,0
03/02/2020,150,33,0,0
03/03/2020,188,38,0,0
03/04/2020,240,52,0,0
03/05/2020,349,109,0,0
03/06/2020,534,185,0,0
03/07/2020,684,150,0,0
03/08/2020,847,163,0,0
03/09/2020,1112,265,2,2
03/10/2020,1460,348,2,0
03/11/2020,1884,424,3,1
03/12/2020,2369,485,5,2
03/13/2020,3062,693,8,3
03/14/2020,3795,733,8,0
03/15/2020,4838,1043,12,4
03/16/2020,6012,1174,12,0
03/17/2020,7156,1144,12,0
03/18/2020,8198,1042,12,0
03/19/2020,10999,2801,20,8
03/20/2020,13957,2958,31,11
03/21/2020,16662,2705,47,16
03/22/2020,18610,1948,55,8
03/23/2020,22672,4062,86,31
03/24/2020,27436,4764,114,28
03/25/2020,31554,4118,149,35
03/26/2020,36508,4954,198,49
03/27/2020,42288,5780,253,55
03/28/2020,48582,6294,325,72
03/29/2020,52547,3965,389,64
03/30/2020,57298,4751,455,66
03/31/2020,61913,4615,583,128
04/01/2020,67366,5453,732,149
04/02/2020,73522,6156,872,140
04/03/2020,79696,6174,1017,145
04/04/2020,85778,6082,1158,141
04/05/2020,91714,5936,1342,184
04/06/2020,95391,3677,1434,92
04/07/2020,99225,3834,1607,173
04/08/2020,103228,4003,1861,254
04/09/2020,108202,4974,2107,246
04/10/2020,113525,5323,2373,266
04/11/2020,117658,4133,2544,171
04/12/2020,120479,2821,2673,129
04/13/2020,123016,2537,2799,126
04/14/2020,125098,2082,2969,170
04/15/2020,127584,2486,3254,285
04/16/2020,130450,2866,3569,315
04/17/2020,133830,3380,3868,299
04/18/2020,137439,3609,4110,242
04/19/2020,139897,2458,4294,184
04/20/2020,141672,1775,4404,110
04/21/2020,143457,1785,4598,194
04/22/2020,145694,2237,4879,281
04/23/2020,148046,2352,5094,215
04/24/2020,150383,2337,5321,227
04/25/2020,152438,2055,5500,179
04/26/2020,154175,1737,5640,140
04/27/2020,155193,1018,5750,110
04/28/2020,156337,1144,5913,163
04/29/2020,157641,1304,6115,202
04/30/2020,159119,1478,6288,173
05/01/2020,160758,1639,6481,193
05/02/2020,161703,945,6575,94
05/03/2020,162496,793,6649,74
05/04/2020,163175,679,6692,43
05/05/2020,163860,685,6831,139
05/06/2020,164807,947,6996,165
05/07/2020,166091,1284,7119,123
05/08/2020,167300,1209,7266,147
05/09/2020,168551,1251,7369,103
05/10/2020,169218,667,7395,26
05/11/2020,169575,357,7417,22
05/12/2020,170508,933,7533,116
05/13/2020,171306,798,7634,101
05/14/2020,172239,933,7723,89
05/15/2020,173152,913,7824,101
05/16/2020,173772,620,7881,57
05/17/2020,174355,583,7914,33
05/18/2020,174697,342,7935,21
05/19/2020,175210,513,8007,72
05/20/2020,176007,797,8090,83
05/21/2020,176752,745,8147,57
05/22/2020,177212,460,8174,27
05/23/2020,177850,638,8216,42
05/24/2020,178281,431,8247,31
05/25/2020,178570,289,8257,10
05/26/2020,179002,432,8302,45
05/27/2020,179364,362,8349,47
05/28/2020,179717,353,8411,62
05/29/2020,180458,741,8450,39
05/30/2020,181196,738,8489,39
05/31/2020,181482,286,8500,11
06/01/2020,181815,333,8511,11
06/02/2020,182028,213,8522,11
06/03/2020,182370,342,8551,29
06/04/2020,182764,394,8581,30
06/05/2020,183271,507,8613,32
06/06/2020,183678,407,8646,33
06/07/2020,183979,301,8668,22
06/08/2020,184193,214,8674,6
06/09/2020,184543,350,8711,37
06/10/2020,184861,318,8729,18
06/11/2020,185416,555,8755,26
06/12/2020,185674,258,8763,8
06/13/2020,186022,348,8781,18
06/14/2020,186269,247,8787,6
06/15/2020,186461,192,8791,4
06/16/2020,186839,378,8800,9
06/17/2020,187184,345,8830,30
06/18/2020,187764,580,8856,26
06/19/2020,188534,770,8872,16
06/20/2020,189135,601,8883,11
06/21/2020,189822,687,8884,1
06/22/2020,190359,537,8885,1
06/23/2020,190862,503,8895,10
06/24/2020,191449,587,8914,19
06/25/2020,192079,630,8927,13
06/26/2020,192556,477,8948,21
06/27/2020,193243,687,8954,6
06/28/2020,193499,256,8957,3
06/29/2020,193761,262,8961,4
06/30/2020,194259,498,8973,12
07/01/2020,194725,466,8985,12
07/02/2020,195228,503,8994,9
07/03/2020,195674,446,9003,9
07/04/2020,196096,422,9010,7
07/05/2020,196335,239,9012,2
07/06/2020,196554,219,9016,4
