Updated,Confirmed,Deaths
03/12/2020,2,0
03/13/2020,2,0.0
03/14/2020,4,0.0
03/15/2020,6,0.0
03/16/2020,6,0.0
03/17/2020,7,0.0
03/18/2020,9,0.0
03/19/2020,11,0.0
03/20/2020,16,0.0
03/21/2020,21,0.0
03/22/2020,24,1.0
03/23/2020,24,1.0
03/24/2020,52,2.0
03/25/2020,68,2.0
03/26/2020,132,4.0
03/27/2020,137,4.0
03/28/2020,141,5.0
03/29/2020,152,5.0
03/30/2020,156,5.0
03/31/2020,161,5.0
04/01/2020,195,5.0
04/02/2020,204,5.0
04/03/2020,205,5.0
04/04/2020,209,5.0
04/05/2020,214,5.0
04/06/2020,250,5.0
04/07/2020,287,5.0
04/08/2020,313,6.0
04/09/2020,345,6.0
04/10/2020,378,6.0
04/11/2020,472,6.0
04/12/2020,566,8.0
04/14/2020,636,8.0
04/15/2020,641,8.0
04/16/2020,737,8.0
04/18/2020,834,9.0
04/19/2020,1042,9.0
04/20/2020,1079,9.0
04/21/2020,1116,9.0
04/22/2020,1154,9.0
04/23/2020,1216,9.0
04/24/2020,1279,10.0
04/25/2020,1414,10.0
04/26/2020,1550,11.0
04/27/2020,1610,11.0
04/28/2020,1671,16.0
04/29/2020,1873,16.0
04/30/2020,2076,17.0
05/01/2020,2122,17.0
05/02/2020,2169,18.0
05/03/2020,2444,18.0
05/04/2020,2719,18.0
05/05/2020,2843,18.0
05/06/2020,2967,18.0
05/07/2020,3091,18.0
05/08/2020,4012,18.0
05/09/2020,4263,22.0
05/10/2020,4481,22.0
05/11/2020,4700,22.0
05/12/2020,5127,22.0
05/13/2020,5408,24.0
05/14/2020,5530,24.0
05/15/2020,5638,24.0
05/16/2020,5735,29.0
05/17/2020,5855,29.0
05/18/2020,5975,29.0
05/19/2020,6096,31.0
05/20/2020,6269,31.0
05/21/2020,6377,31.0
05/22/2020,6486,31.0
05/23/2020,6617,31.0
05/24/2020,6683,32.0
05/25/2020,6808,32.0
05/26/2020,7117,32.0
05/27/2020,7303,34.0
05/28/2020,7459,34.0
05/29/2020,7616,34.0
05/30/2020,7768,35.0
05/31/2020,7881,36.0
06/01/2020,8070,36.0
06/02/2020,8297,38.0
06/03/2020,8548,38.0
06/04/2020,8885,38.0
06/05/2020,9168,42.0
06/06/2020,9462,44.0
06/07/2020,9638,44.0
06/08/2020,9910,48.0
06/09/2020,10201,48.0
06/10/2020,10279,48.0
06/11/2020,10358,48.0
06/12/2020,10856,48.0
06/13/2020,11118,48.0
06/14/2020,11422,51.0
06/15/2020,11964,54.0
06/16/2020,12277,54.0
06/17/2020,12590,66.0
06/18/2020,12929,66.0
06/19/2020,13203,70.0
06/20/2020,13717,85.0
06/21/2020,14007,85.0
06/22/2020,14154,85.0
06/23/2020,14568,95.0
06/24/2020,15013,95.0
06/25/2020,15473,95.0
