Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
02/26/2020,1,0,0,0
02/27/2020,3,2,0,0
02/28/2020,4,1,0,0
02/29/2020,7,3,0,0
03/01/2020,7,0,0,0
03/02/2020,7,0,0,0
03/03/2020,7,0,0,0
03/04/2020,9,2,0,0
03/05/2020,31,22,0,0
03/06/2020,45,14,0,0
03/07/2020,66,21,0,0
03/08/2020,73,7,0,0
03/09/2020,84,11,0,0
03/10/2020,89,5,0,0
03/11/2020,99,10,0,0
03/12/2020,117,18,1,1
03/13/2020,190,73,1,0
03/14/2020,228,38,3,2
03/15/2020,331,103,4,1
03/16/2020,352,21,4,0
03/17/2020,387,35,5,1
03/18/2020,418,31,5,0
03/19/2020,464,46,6,1
03/20/2020,495,31,10,4
03/21/2020,530,35,13,3
03/22/2020,624,94,15,2
03/23/2020,695,71,17,2
03/24/2020,743,48,20,3
03/25/2020,821,78,22,2
03/26/2020,892,71,26,4
03/27/2020,966,74,28,2
03/28/2020,1061,95,32,4
03/29/2020,1156,95,38,6
03/30/2020,1212,56,43,5
03/31/2020,1314,102,49,6
04/01/2020,1415,101,50,1
04/02/2020,1544,129,53,3
04/03/2020,1613,69,59,6
04/04/2020,1673,60,68,9
04/05/2020,1735,62,73,5
04/06/2020,1755,20,79,6
04/07/2020,1832,77,81,2
04/08/2020,1884,52,83,2
04/09/2020,1955,71,86,3
04/10/2020,2009,54,90,4
04/11/2020,2081,72,93,3
04/12/2020,2114,33,98,5
04/13/2020,2145,31,99,1
04/14/2020,2170,25,101,2
04/15/2020,2192,22,102,1
04/16/2020,2207,15,105,3
04/17/2020,2224,17,108,3
04/18/2020,2235,11,110,2
04/19/2020,2240,5,113,3
04/20/2020,2245,5,116,3
04/21/2020,2401,156,121,5
04/22/2020,2408,7,121,0
04/23/2020,2463,55,125,4
04/24/2020,2490,27,130,5
04/25/2020,2506,16,130,0
04/26/2020,2517,11,134,4
04/27/2020,2534,17,136,2
04/28/2020,2566,32,138,2
04/29/2020,2576,10,139,1
04/30/2020,2591,15,140,1
05/01/2020,2612,21,140,0
05/02/2020,2620,8,143,3
05/03/2020,2626,6,144,1
05/04/2020,2632,6,146,2
05/05/2020,2642,10,146,0
05/06/2020,2663,21,147,1
05/07/2020,2678,15,148,1
05/08/2020,2691,13,150,2
05/09/2020,2710,19,151,1
05/10/2020,2716,6,151,0
05/11/2020,2726,10,151,0
05/12/2020,2744,18,152,1
05/13/2020,2760,16,155,3
05/14/2020,2770,10,156,1
05/15/2020,2810,40,160,4
05/16/2020,2819,9,162,2
05/17/2020,2834,15,163,1
05/18/2020,2836,2,165,2
05/19/2020,2840,4,165,0
05/20/2020,2850,10,166,1
05/21/2020,2853,3,168,2
05/22/2020,2874,21,169,1
05/23/2020,2877,3,171,2
05/24/2020,2879,2,171,0
05/25/2020,2883,4,172,1
05/26/2020,2890,7,173,1
05/27/2020,2903,13,173,0
05/28/2020,2906,3,175,2
05/29/2020,2909,3,175,0
05/30/2020,2915,6,175,0
05/31/2020,2917,2,175,0
06/01/2020,2918,1,179,4
06/02/2020,2937,19,179,0
06/03/2020,2943,6,179,0
06/04/2020,2952,9,180,1
06/05/2020,2967,15,180,0
06/06/2020,2980,13,181,1
06/07/2020,2997,17,182,1
06/08/2020,3049,52,182,0
06/09/2020,3058,9,183,1
06/10/2020,3073,15,183,0
06/11/2020,3088,15,183,0
06/12/2020,3108,20,183,0
06/13/2020,3112,4,183,0
06/14/2020,3124,12,183,0
06/15/2020,3136,12,183,0
06/16/2020,3148,12,184,1
06/17/2020,3187,39,184,0
06/18/2020,3227,40,188,4
06/19/2020,3237,10,189,1
06/20/2020,3256,19,190,1
06/21/2020,3266,10,190,0
06/22/2020,3287,21,190,0
06/23/2020,3302,15,190,0
06/24/2020,3311,9,190,0
06/25/2020,3321,10,191,1
06/26/2020,3343,22,191,0
06/27/2020,3358,15,191,0
06/28/2020,3374,16,191,0
06/29/2020,3390,16,191,0
06/30/2020,3411,21,191,0
07/01/2020,3432,21,192,1
07/02/2020,3459,27,192,0
07/03/2020,3486,27,192,0
07/04/2020,3511,25,192,0
07/05/2020,3519,8,192,0
