Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
03/14/2020,1,0,0,0
03/15/2020,3,2,0,0
03/16/2020,6,3,0,0
03/17/2020,18,12,0,0
03/18/2020,18,0,0,0
03/22/2020,62,44,0,0
03/23/2020,73,11,1,1
03/24/2020,76,3,1,0
03/25/2020,83,7,1,0
03/26/2020,90,7,1,0
03/27/2020,98,8,1,0
03/30/2020,106,8,4,3
03/31/2020,114,8,5,1
04/01/2020,119,5,5,0
04/02/2020,125,6,6,1
04/03/2020,130,5,7,1
04/04/2020,134,4,7,0
04/05/2020,134,0,7,0
04/06/2020,135,1,7,0
04/07/2020,139,4,7,0
04/08/2020,141,2,8,1
04/09/2020,142,1,8,0
04/10/2020,143,1,8,0
04/11/2020,144,1,8,0
04/13/2020,145,1,8,0
04/15/2020,145,0,10,2
04/16/2020,145,0,10,0
04/18/2020,146,1,10,0
04/20/2020,147,1,10,0
04/21/2020,148,1,10,0
04/22/2020,145,-3,10,0
04/24/2020,145,0,10,0
04/26/2020,145,0,10,0
04/28/2020,145,0,10,0
04/29/2020,145,0,10,0
04/30/2020,145,0,10,0
05/01/2020,145,0,10,0
05/02/2020,145,0,10,0
05/03/2020,145,0,10,0
05/04/2020,145,0,10,0
05/05/2020,145,0,10,0
05/06/2020,145,0,10,0
05/07/2020,145,0,10,0
05/08/2020,145,0,10,0
05/09/2020,145,0,10,0
05/10/2020,145,0,10,0
05/11/2020,145,0,10,0
05/12/2020,145,0,10,0
05/13/2020,145,0,10,0
05/14/2020,145,0,10,0
05/15/2020,145,0,10,0
05/16/2020,145,0,10,0
05/17/2020,145,0,10,0
05/18/2020,145,0,10,0
05/19/2020,145,0,10,0
05/20/2020,145,0,10,0
05/21/2020,145,0,10,0
05/22/2020,145,0,10,0
05/23/2020,145,0,10,0
05/24/2020,145,0,10,0
05/25/2020,145,0,10,0
05/26/2020,145,0,10,0
05/27/2020,145,0,10,0
05/28/2020,145,0,10,0
05/29/2020,145,0,10,0
05/30/2020,145,0,10,0
05/31/2020,145,0,10,0
06/01/2020,145,0,10,0
06/02/2020,145,0,10,0
06/03/2020,145,0,10,0
06/04/2020,145,0,10,0
06/05/2020,145,0,10,0
06/06/2020,145,0,10,0
06/07/2020,145,0,10,0
06/08/2020,145,0,10,0
06/09/2020,145,0,10,0
06/10/2020,145,0,10,0
06/11/2020,145,0,10,0
06/12/2020,145,0,10,0
06/13/2020,145,0,10,0
06/14/2020,145,0,10,0
06/15/2020,145,0,10,0
06/16/2020,145,0,10,0
06/17/2020,145,0,10,0
06/18/2020,145,0,10,0
06/19/2020,145,0,10,0
06/20/2020,145,0,10,0
06/21/2020,145,0,10,0
06/22/2020,145,0,10,0
06/23/2020,145,0,10,0
06/24/2020,145,0,10,0
06/25/2020,145,0,10,0
06/26/2020,145,0,10,0
06/27/2020,145,0,10,0
06/28/2020,145,0,10,0
06/29/2020,145,0,10,0
06/30/2020,145,0,10,0
