Updated,Confirmed,Deaths
01/21/2020,0,0
01/24/2020,0,0
01/25/2020,0,0
01/26/2020,0,0
01/30/2020,0,0
01/31/2020,0,0
02/01/2020,0,0
02/02/2020,0,0
02/05/2020,0,0
02/20/2020,0,0
02/26/2020,0,0
02/28/2020,0,0
02/29/2020,0,0
03/01/2020,0,0
03/02/2020,0,0
03/03/2020,0,0
03/04/2020,0,0
03/05/2020,0,0
03/06/2020,0,0
03/07/2020,0,0
03/08/2020,0,0
03/09/2020,0,0
03/10/2020,0,0
03/11/2020,0,0
03/12/2020,0,0
03/13/2020,0,0
03/14/2020,0,0
03/15/2020,3,0.0
03/16/2020,3,0.0
03/17/2020,5,0.0
03/18/2020,8,0.0
03/19/2020,12,0.0
03/20/2020,14,0.0
03/21/2020,15,0.0
03/22/2020,27,1.0
03/23/2020,29,1.0
03/24/2020,32,1.0
03/25/2020,37,1.0
03/26/2020,45,1.0
03/27/2020,51,1.0
03/28/2020,55,1.0
03/29/2020,56,1.0
03/30/2020,58,1.0
03/31/2020,69,2.0
04/01/2020,77,3.0
04/02/2020,82,3.0
04/03/2020,84,3.0
04/04/2020,93,4.0
04/05/2020,112,4.0
04/06/2020,113,4.0
04/07/2020,121,4.0
04/08/2020,125,4.0
04/09/2020,128,4.0
04/10/2020,130,4.0
04/11/2020,133,5.0
04/12/2020,133,5.0
04/13/2020,134,5.0
04/14/2020,135,5.0
04/15/2020,135,5.0
04/16/2020,135,5.0
04/17/2020,135,5.0
04/18/2020,136,5.0
04/19/2020,136,5.0
04/20/2020,136,5.0
04/21/2020,136,5.0
04/22/2020,137,5.0
04/23/2020,138,5.0
04/24/2020,140,5.0
04/25/2020,141,5.0
04/26/2020,141,5.0
04/27/2020,142,5.0
04/28/2020,144,5.0
04/29/2020,145,5.0
04/30/2020,145,5.0
05/01/2020,146,5.0
05/02/2020,147,5.0
05/03/2020,148,5.0
05/04/2020,149,5.0
05/05/2020,149,5.0
05/06/2020,150,5.0
05/07/2020,151,5.0
05/08/2020,151,5.0
05/09/2020,151,5.0
05/10/2020,151,5.0
05/11/2020,151,5.0
05/12/2020,152,5.0
05/13/2020,152,5.0
05/14/2020,153,5.0
05/15/2020,154,5.0
05/16/2020,155,5.0
05/17/2020,157,5.0
05/18/2020,159,5.0
05/19/2020,161,5.0
05/20/2020,163,5.0
05/21/2020,165,5.0
05/22/2020,165,5.0
05/23/2020,165,5.0
05/24/2020,166,5.0
05/25/2020,166,5.0
05/26/2020,167,5.0
05/27/2020,170,5.0
05/28/2020,171,5.0
05/29/2020,171,5.0
05/30/2020,172,5.0
05/31/2020,173,5.0
06/01/2020,175,5.0
06/02/2020,176,5.0
06/03/2020,177,5.0
06/04/2020,179,5.0
06/05/2020,179,5.0
06/06/2020,179,5.0
06/07/2020,179,5.0
06/08/2020,179,5.0
06/09/2020,180,5.0
06/10/2020,181,5.0
06/11/2020,183,5.0
06/12/2020,183,5.0
06/13/2020,183,5.0
06/14/2020,184,5.0
06/15/2020,185,5.0
06/16/2020,186,5.0
06/17/2020,188,5.0
06/18/2020,192,5.0
06/19/2020,200,5.0
06/20/2020,222,5.0
06/21/2020,223,5.0
06/22/2020,224,5.0
06/23/2020,225,5.0
06/24/2020,226,5.0
06/25/2020,231,5.0
06/26/2020,247,5.0
