Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
03/13/2020,1,0,0,0
03/16/2020,1,0,1,1
03/17/2020,8,7,1,0
03/18/2020,8,0,1,0
03/19/2020,9,1,1,0
03/20/2020,12,3,1,0
03/21/2020,17,5,1,0
03/22/2020,19,2,1,0
03/23/2020,20,1,1,0
03/24/2020,21,1,1,0
03/25/2020,24,3,1,0
03/26/2020,24,0,1,0
03/27/2020,25,1,1,0
03/28/2020,32,7,1,0
03/29/2020,34,2,1,0
03/30/2020,36,2,1,0
03/31/2020,38,2,1,0
04/01/2020,39,1,1,0
04/02/2020,46,7,1,0
04/03/2020,50,4,1,0
04/04/2020,57,7,2,1
04/05/2020,61,4,2,0
04/06/2020,70,9,3,1
04/07/2020,77,7,3,0
04/08/2020,87,10,3,0
04/09/2020,95,8,3,0
04/10/2020,126,31,3,0
04/11/2020,137,11,3,0
04/12/2020,153,16,3,0
04/13/2020,156,3,5,2
04/14/2020,167,11,5,0
04/15/2020,180,13,5,0
04/16/2020,196,16,5,0
04/17/2020,214,18,7,2
04/18/2020,235,21,7,0
04/19/2020,257,22,7,0
04/20/2020,289,32,7,0
04/21/2020,302,13,7,0
04/22/2020,316,14,7,0
04/23/2020,342,26,10,3
04/24/2020,384,42,11,1
04/25/2020,430,46,11,0
04/26/2020,473,43,13,2
04/27/2020,500,27,15,2
04/28/2020,530,30,15,0
04/29/2020,557,27,16,1
04/30/2020,585,28,16,0
05/01/2020,599,14,16,0
05/02/2020,644,45,16,0
05/03/2020,688,44,17,1
05/04/2020,703,15,17,0
05/05/2020,730,27,19,2
05/06/2020,763,33,19,0
05/07/2020,798,35,21,2
05/08/2020,832,34,23,2
05/09/2020,900,68,24,1
05/10/2020,967,67,24,0
05/11/2020,1052,85,26,2
05/12/2020,1114,62,26,0
05/13/2020,1199,85,27,1
05/14/2020,1342,143,29,2
05/15/2020,1518,176,29,0
05/16/2020,1643,125,30,1
05/17/2020,1763,120,33,3
05/18/2020,1912,149,35,2
05/19/2020,2001,89,38,3
05/20/2020,2133,132,43,5
05/21/2020,2265,132,45,2
05/22/2020,2512,247,48,3
05/23/2020,2743,231,51,3
05/24/2020,3054,311,55,4
05/25/2020,3424,370,58,3
05/26/2020,3760,336,59,1
05/27/2020,3954,194,63,4
05/28/2020,4145,191,68,5
05/29/2020,4348,203,80,12
05/30/2020,4607,259,90,10
05/31/2020,4739,132,102,12
06/01/2020,5087,348,108,6
06/02/2020,5336,249,116,8
06/03/2020,5586,250,123,7
06/04/2020,5760,174,143,20
06/05/2020,6154,394,158,15
06/06/2020,6792,638,230,72
06/07/2020,7055,263,252,22
06/08/2020,7520,465,262,10
06/09/2020,7866,346,289,27
06/10/2020,8221,355,316,27
06/11/2020,8561,340,334,18
06/12/2020,8982,421,351,17
06/13/2020,9491,509,367,16
06/14/2020,9845,354,384,17
06/15/2020,10272,427,399,15
06/16/2020,10706,434,418,19
06/17/2020,11251,545,432,14
06/18/2020,11868,617,449,17
06/19/2020,12509,641,483,34
06/20/2020,12755,246,514,31
06/21/2020,13145,390,531,17
06/22/2020,13769,624,547,16
06/23/2020,14540,771,582,35
06/24/2020,14819,279,601,19
06/25/2020,15619,800,623,22
06/26/2020,15828,209,672,49
06/27/2020,16397,569,706,34
06/28/2020,16930,533,727,21
06/29/2020,17409,479,746,19
06/30/2020,18096,687,773,27
07/01/2020,19011,915,817,44
07/02/2020,20072,1061,843,26
07/03/2020,21293,1221,880,37
07/04/2020,22501,1208,920,40
07/05/2020,23248,747,947,27
07/06/2020,23972,724,981,34
