Updated,Confirmed,Deaths
03/09/2020,1,0.0
03/10/2020,1,0.0
03/11/2020,1,0.0
03/12/2020,1,0.0
03/13/2020,1,0.0
03/14/2020,1,0.0
03/15/2020,1,0.0
03/16/2020,1,0.0
03/17/2020,1,0.0
03/18/2020,1,0.0
03/19/2020,1,0.0
03/20/2020,2,0.0
03/21/2020,17,0.0
03/22/2020,20,0.0
03/23/2020,20,0.0
03/24/2020,23,0.0
03/25/2020,30,0.0
03/26/2020,34,0.0
03/27/2020,36,0.0
03/28/2020,39,0.0
03/29/2020,45,0.0
03/30/2020,60,0.0
03/31/2020,78,1.0
04/01/2020,91,1.0
04/02/2020,97,1.0
04/03/2020,114,2.0
04/04/2020,136,2.0
04/05/2020,154,3.0
04/06/2020,165,4.0
04/07/2020,166,4.0
04/08/2020,181,5.0
04/09/2020,191,5.0
04/10/2020,200,6.0
04/11/2020,209,6.0
04/12/2020,218,6.0
04/13/2020,219,6.0
04/14/2020,223,7.0
04/15/2020,228,8.0
04/16/2020,234,9.0
04/17/2020,236,9.0
04/18/2020,239,9.0
04/19/2020,239,9.0
04/20/2020,240,10.0
04/21/2020,241,10.0
04/22/2020,243,10.0
04/23/2020,245,10.0
04/24/2020,245,11.0
04/25/2020,246,12.0
04/26/2020,247,13.0
04/27/2020,248,13.0
04/28/2020,249,13.0
04/29/2020,251,13.0
04/30/2020,251,13.0
05/01/2020,252,13.0
05/02/2020,252,13.0
05/03/2020,252,13.0
05/04/2020,252,13.0
05/05/2020,252,13.0
05/06/2020,252,13.0
05/07/2020,252,13.0
05/08/2020,252,13.0
05/09/2020,252,13.0
05/10/2020,252,13.0
05/11/2020,252,13.0
05/12/2020,252,13.0
05/13/2020,252,13.0
05/14/2020,252,13.0
05/15/2020,252,13.0
05/16/2020,252,13.0
05/17/2020,252,13.0
05/18/2020,252,13.0
05/19/2020,252,13.0
05/20/2020,252,13.0
05/21/2020,252,13.0
05/22/2020,252,13.0
05/23/2020,252,13.0
05/24/2020,252,13.0
05/25/2020,252,13.0
05/26/2020,252,13.0
05/27/2020,252,13.0
05/28/2020,252,13.0
05/29/2020,252,13.0
05/30/2020,252,13.0
05/31/2020,252,13.0
06/01/2020,252,13.0
06/02/2020,252,13.0
06/03/2020,252,13.0
06/04/2020,252,13.0
06/05/2020,252,13.0
06/06/2020,252,13.0
06/07/2020,252,13.0
06/08/2020,252,13.0
06/09/2020,252,13.0
06/10/2020,252,13.0
06/11/2020,252,13.0
06/12/2020,252,13.0
06/13/2020,252,13.0
06/14/2020,252,13.0
06/15/2020,252,13.0
06/16/2020,252,13.0
06/17/2020,252,13.0
06/18/2020,252,13.0
06/19/2020,252,13.0
06/20/2020,252,13.0
06/21/2020,252,13.0
06/22/2020,252,13.0
06/23/2020,252,13.0
06/24/2020,252,13.0
06/25/2020,252,13.0
