Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
03/13/2020,1,0,0,0
03/14/2020,1,0,0,0
03/15/2020,1,0,0,0
03/16/2020,1,0,0,0
03/17/2020,1,0,0,0
03/18/2020,1,0,0,0
03/19/2020,1,0,0,0
03/20/2020,1,0,0,0
03/21/2020,1,0,0,0
03/22/2020,2,1,0,0
03/23/2020,4,2,0,0
03/24/2020,4,0,0,0
03/25/2020,4,0,0,0
03/26/2020,4,0,0,0
03/27/2020,8,4,0,0
03/28/2020,8,0,0,0
03/29/2020,16,8,0,0
03/30/2020,22,6,0,0
03/31/2020,22,0,0,0
04/01/2020,30,8,0,0
04/02/2020,52,22,0,0
04/03/2020,73,21,0,0
04/04/2020,111,38,0,0
04/05/2020,121,10,0,0
04/06/2020,128,7,0,0
04/07/2020,144,16,0,0
04/08/2020,164,20,0,0
04/09/2020,179,15,0,0
04/10/2020,194,15,0,0
04/11/2020,250,56,0,0
04/13/2020,319,69,0,0
04/14/2020,363,44,0,0
04/15/2020,404,41,1,1
04/16/2020,438,34,1,0
04/17/2020,477,39,3,2
04/18/2020,518,41,3,0
04/19/2020,579,61,5,2
04/20/2020,622,43,5,0
04/21/2020,688,66,6,1
04/22/2020,775,87,6,0
04/23/2020,862,87,6,0
04/24/2020,954,92,6,0
04/25/2020,996,42,7,1
04/26/2020,1079,83,7,0
04/27/2020,1163,84,7,0
04/28/2020,1240,77,7,0
04/29/2020,1351,111,7,0
04/30/2020,1495,144,7,0
05/01/2020,1537,42,7,0
05/02/2020,1586,49,7,0
05/03/2020,1648,62,7,0
05/04/2020,1710,62,9,2
05/05/2020,1811,101,10,1
05/06/2020,1856,45,10,0
05/07/2020,1927,71,11,1
05/08/2020,2009,82,11,0
05/09/2020,2042,33,11,0
05/10/2020,2146,104,11,0
05/11/2020,2222,76,11,0
05/12/2020,2298,76,11,0
05/13/2020,2374,76,14,3
05/14/2020,2473,99,14,0
05/15/2020,2565,92,14,0
05/16/2020,2658,93,16,2
05/17/2020,2727,69,16,0
05/18/2020,2796,69,16,0
05/19/2020,2863,67,18,2
05/20/2020,2965,102,18,0
05/21/2020,3067,102,18,0
05/22/2020,3121,54,19,1
05/23/2020,3176,55,20,1
05/24/2020,3275,99,20,0
05/25/2020,3344,69,20,0
05/26/2020,3413,69,20,0
05/27/2020,3483,70,20,0
05/28/2020,3553,70,22,2
05/29/2020,3656,103,22,0
05/30/2020,3706,50,23,1
05/31/2020,3775,69,23,0
06/01/2020,3844,69,23,0
06/02/2020,3886,42,23,0
06/03/2020,3938,52,23,0
06/04/2020,3991,53,23,0
06/05/2020,4060,69,23,0
06/06/2020,4117,57,23,0
06/07/2020,4165,48,23,0
06/08/2020,4216,51,23,0
06/09/2020,4258,42,23,0
06/10/2020,4315,57,23,0
06/11/2020,4372,57,23,0
06/12/2020,4426,54,24,1
06/13/2020,4484,58,25,1
06/14/2020,4513,29,25,0
06/15/2020,4542,29,25,0
06/16/2020,4572,30,26,1
06/17/2020,4639,67,26,0
06/18/2020,4668,29,26,0
06/19/2020,4841,173,26,0
06/20/2020,4904,63,27,1
06/21/2020,4960,56,27,0
06/22/2020,4988,28,28,1
06/23/2020,5040,52,28,0
06/24/2020,5174,134,29,1
06/25/2020,5217,43,29,0
06/26/2020,5260,43,29,0
06/27/2020,5275,15,29,0
06/28/2020,5291,16,29,0
06/29/2020,5351,60,31,2
06/30/2020,5371,20,31,0
07/01/2020,5391,20,33,2
07/02/2020,5404,13,33,0
07/03/2020,5521,117,33,0
07/04/2020,5521,0,33,0
07/05/2020,5521,0,33,0
