Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
03/20/2020,2,0,0,0
03/21/2020,2,0,0,0
03/22/2020,2,0,0,0
03/23/2020,5,3,0,0
03/24/2020,7,2,0,0
03/25/2020,8,1,0,0
03/26/2020,8,0,0,0
03/27/2020,8,0,0,0
03/28/2020,8,0,0,0
03/29/2020,8,0,0,0
03/30/2020,8,0,0,0
03/31/2020,15,7,0,0
04/01/2020,15,0,0,0
04/02/2020,15,0,0,0
04/03/2020,15,0,0,0
04/04/2020,20,5,0,0
04/05/2020,21,1,1,1
04/06/2020,24,3,1,0
04/07/2020,25,1,1,0
04/08/2020,25,0,1,0
04/09/2020,30,5,2,1
04/10/2020,31,1,2,0
04/11/2020,31,0,2,0
04/12/2020,33,2,3,1
04/13/2020,40,7,3,0
04/14/2020,40,0,3,0
04/15/2020,41,1,3,0
04/16/2020,42,1,3,0
04/17/2020,43,1,3,0
04/18/2020,45,2,3,0
04/19/2020,47,2,3,0
04/20/2020,57,10,3,0
04/21/2020,59,2,3,0
04/22/2020,62,3,4,1
04/23/2020,72,10,5,1
04/24/2020,72,0,5,0
04/25/2020,73,1,5,0
04/26/2020,74,1,6,1
04/27/2020,75,1,6,0
04/28/2020,76,1,6,0
04/29/2020,78,2,6,0
04/30/2020,81,3,8,2
05/01/2020,83,2,8,0
05/02/2020,85,2,8,0
05/03/2020,92,7,8,0
05/04/2020,100,8,11,3
05/05/2020,101,1,12,1
05/06/2020,104,3,12,0
05/07/2020,108,4,12,0
05/08/2020,146,38,12,0
05/09/2020,151,5,12,0
05/10/2020,182,31,15,3
05/11/2020,195,13,15,0
05/12/2020,209,14,16,1
05/13/2020,219,10,18,2
05/14/2020,234,15,18,0
05/15/2020,273,39,20,2
05/16/2020,310,37,20,0
05/17/2020,456,146,20,0
05/18/2020,533,77,21,1
05/19/2020,564,31,21,0
05/20/2020,596,32,22,1
05/21/2020,663,67,22,0
05/22/2020,734,71,25,3
05/23/2020,812,78,25,0
05/24/2020,865,53,26,1
05/25/2020,958,93,27,1
05/26/2020,1063,105,31,4
05/27/2020,1174,111,33,2
05/28/2020,1320,146,34,1
05/29/2020,1443,123,35,1
05/30/2020,1584,141,35,0
05/31/2020,1865,281,41,6
06/01/2020,2124,259,44,3
06/02/2020,2226,102,45,1
06/03/2020,2740,514,50,5
06/04/2020,2924,184,50,0
06/05/2020,3072,148,50,0
06/06/2020,3334,262,51,1
06/07/2020,3538,204,54,3
06/08/2020,3579,41,54,0
06/09/2020,3620,41,54,0
06/10/2020,3662,42,56,2
06/11/2020,3796,134,58,2
06/12/2020,3941,145,64,6
06/13/2020,4053,112,64,0
06/14/2020,4165,112,70,6
06/15/2020,4309,144,73,3
06/16/2020,4441,132,76,3
06/17/2020,4547,106,80,4
06/18/2020,4731,184,80,0
06/19/2020,4916,185,84,4
06/20/2020,4996,80,84,0
06/21/2020,5077,81,88,4
06/22/2020,5211,134,88,0
06/23/2020,5267,56,88,0
06/24/2020,5324,57,89,1
06/25/2020,5429,105,92,3
06/26/2020,5543,114,96,4
06/27/2020,5660,117,96,0
06/28/2020,5777,117,100,4
06/29/2020,5847,70,104,4
06/30/2020,5933,86,105,1
07/01/2020,5975,42,105,0
07/02/2020,6038,63,105,0
07/03/2020,6101,63,110,5
07/04/2020,6230,129,110,0
07/05/2020,6294,64,113,3
