Updated,Confirmed,Deaths
03/04/2020,2,0
03/05/2020,3,0
03/06/2020,4,0
03/07/2020,7,0
03/08/2020,9,0
03/09/2020,12,0
03/10/2020,12,0
03/11/2020,13,0
03/12/2020,16,0
03/13/2020,19,0
03/14/2020,30,0
03/15/2020,32,1
03/16/2020,39,1
03/17/2020,50,1
03/18/2020,58,1
03/19/2020,73,1
03/20/2020,85,4
03/21/2020,103,4
03/22/2020,131,6
03/23/2020,167,8
03/24/2020,187,9
03/25/2020,226,10
03/26/2020,261,10
03/27/2020,300,10
03/28/2020,343,11
03/29/2020,408,13
03/30/2020,447,15
03/31/2020,492,16
04/01/2020,525,20
04/02/2020,585,21
04/03/2020,623,26
04/04/2020,678,32
04/05/2020,733,34
04/06/2020,744,38
04/07/2020,817,47
04/08/2020,895,58
04/09/2020,980,66
04/10/2020,1190,77
04/11/2020,1310,85
04/12/2020,1410,99
04/13/2020,1458,109
04/14/2020,1512,122
04/15/2020,1579,134
04/16/2020,1652,142
04/17/2020,1763,156
04/18/2020,1834,172
04/19/2020,1916,189
04/20/2020,1984,199
04/21/2020,2098,213
04/22/2020,2168,225
04/23/2020,2284,239
04/24/2020,2383,250
04/25/2020,2443,262
04/26/2020,2500,272
04/27/2020,2583,280
04/28/2020,2649,291
04/29/2020,2727,300
04/30/2020,2775,312
05/01/2020,2863,323
05/02/2020,2942,335
05/03/2020,2998,340
05/04/2020,3035,351
05/05/2020,3065,363
05/06/2020,3111,373
05/07/2020,3150,383
05/08/2020,3178,392
05/09/2020,3213,405
05/10/2020,3263,413
05/11/2020,3284,421
05/12/2020,3313,425
05/13/2020,3341,430
05/14/2020,3380,436
05/15/2020,3417,442
05/16/2020,3473,448
05/17/2020,3509,451
05/18/2020,3535,462
05/19/2020,3556,467
05/20/2020,3598,470
05/21/2020,3641,473
05/22/2020,3678,476
05/23/2020,3713,482
05/24/2020,3741,486
05/25/2020,3756,491
05/26/2020,3771,499
05/27/2020,3793,505
05/28/2020,3816,509
05/29/2020,3841,517
05/30/2020,3867,524
05/31/2020,3876,526
06/01/2020,3892,527
06/02/2020,3921,532
06/03/2020,3931,534
06/04/2020,3954,539
06/05/2020,3970,542
06/06/2020,3990,545
06/07/2020,4008,546
06/08/2020,4014,548
06/09/2020,4017,550
06/10/2020,4027,551
06/11/2020,4039,553
06/12/2020,4053,555
06/13/2020,4064,559
06/14/2020,4069,562
06/15/2020,4076,563
06/16/2020,4077,565
06/17/2020,4078,567
06/18/2020,4079,568
06/19/2020,4081,568
06/20/2020,4086,570
06/21/2020,4094,570
06/22/2020,4102,572
06/23/2020,4107,573
06/24/2020,4114,576
06/25/2020,4123,577
06/26/2020,4127,578
06/27/2020,4138,578
06/28/2020,4142,581
06/29/2020,4145,585
06/30/2020,4155,585
07/01/2020,4157,586
07/02/2020,4166,587
07/03/2020,4172,588
07/04/2020,4174,589
07/05/2020,4183,589
07/06/2020,4189,589
