Updated,Confirmed,Deaths
02/28/2020,1,0.0
02/29/2020,1,0.0
03/01/2020,3,0.0
03/02/2020,9,0.0
03/03/2020,16,0.0
03/04/2020,26,0.0
03/05/2020,37,0.0
03/06/2020,45,0.0
03/07/2020,50,0.0
03/08/2020,58,0.0
03/09/2020,65,0.0
03/10/2020,81,0.0
03/11/2020,90,0.0
03/12/2020,117,0.0
03/13/2020,138,0.0
03/14/2020,161,0.0
03/15/2020,180,0.0
03/16/2020,199,0.0
03/17/2020,247,1.0
03/18/2020,330,1.0
03/19/2020,409,1.0
03/20/2020,473,1.0
03/21/2020,568,1.0
03/22/2020,588,1.0
03/23/2020,648,2.0
03/24/2020,737,2.0
03/25/2020,802,2.0
03/26/2020,890,2.0
03/27/2020,963,2.0
03/28/2020,1020,2.0
03/29/2020,1086,2.0
03/30/2020,1135,2.0
03/31/2020,1220,2.0
04/01/2020,1319,4.0
04/02/2020,1364,4.0
04/03/2020,1417,4.0
04/04/2020,1486,4.0
04/05/2020,1562,6.0
04/06/2020,1586,6.0
04/07/2020,1616,6.0
04/08/2020,1648,6.0
04/09/2020,1675,7.0
04/10/2020,1689,8.0
04/11/2020,1701,8.0
04/12/2020,1711,8.0
04/13/2020,1720,8.0
04/14/2020,1727,8.0
04/15/2020,1739,8.0
04/16/2020,1754,9.0
04/17/2020,1760,9.0
04/18/2020,1771,9.0
04/19/2020,1773,10.0
04/20/2020,1778,10.0
04/21/2020,1785,10.0
04/22/2020,1789,10.0
04/23/2020,1789,10.0
04/24/2020,1790,10.0
04/25/2020,1792,10.0
04/26/2020,1793,10.0
04/27/2020,1795,10.0
04/28/2020,1797,10.0
04/29/2020,1797,10.0
04/30/2020,1798,10.0
05/01/2020,1798,10.0
05/02/2020,1799,10.0
05/03/2020,1799,10.0
05/04/2020,1799,10.0
05/05/2020,1800,10.0
05/06/2020,1801,10.0
05/07/2020,1801,10.0
05/08/2020,1801,10.0
05/09/2020,1801,10.0
05/10/2020,1801,10.0
05/11/2020,1801,10.0
05/12/2020,1802,10.0
05/13/2020,1802,10.0
05/14/2020,1802,10.0
05/15/2020,1802,10.0
05/16/2020,1802,10.0
05/17/2020,1802,10.0
05/18/2020,1802,10.0
05/19/2020,1803,10.0
05/20/2020,1803,10.0
05/21/2020,1803,10.0
05/22/2020,1804,10.0
05/23/2020,1804,10.0
05/24/2020,1804,10.0
05/25/2020,1804,10.0
05/26/2020,1805,10.0
05/27/2020,1805,10.0
05/28/2020,1805,10.0
05/29/2020,1806,10.0
05/30/2020,1806,10.0
05/31/2020,1806,10.0
06/01/2020,1806,10.0
06/02/2020,1806,10.0
06/03/2020,1806,10.0
06/04/2020,1806,10.0
06/05/2020,1807,10.0
06/06/2020,1807,10.0
06/07/2020,1807,10.0
06/08/2020,1807,10.0
06/09/2020,1807,10.0
06/10/2020,1807,10.0
06/11/2020,1807,10.0
06/12/2020,1808,10.0
06/13/2020,1810,10.0
06/14/2020,1811,10.0
06/15/2020,1812,10.0
06/16/2020,1815,10.0
06/17/2020,1816,10.0
06/18/2020,1819,10.0
06/19/2020,1822,10.0
06/20/2020,1823,10.0
06/21/2020,1823,10.0
06/22/2020,1824,10.0
06/23/2020,1827,10.0
06/24/2020,1830,10.0
06/25/2020,1832,10.0
