Updated,Confirmed,Deaths
02/19/2020,2,2
02/20/2020,5,2
02/21/2020,18,4
02/22/2020,29,6
02/23/2020,43,8
02/24/2020,64,12
02/25/2020,95,16
02/26/2020,139,19
02/27/2020,245,26
02/28/2020,388,34
02/29/2020,593,43
03/01/2020,978,54
03/02/2020,1501,66
03/03/2020,2336,77
03/04/2020,2922,92
03/05/2020,3513,107
03/06/2020,4747,124
03/07/2020,5823,145
03/08/2020,6566,194
03/09/2020,7161,237
03/10/2020,8042,291
03/11/2020,9000,354
03/12/2020,10075,429
03/13/2020,11364,514
03/14/2020,12729,611
03/15/2020,13938,724
03/16/2020,14991,853
03/17/2020,16169,988
03/18/2020,17361,1135
03/19/2020,18407,1284
03/20/2020,19644,1433
03/21/2020,20610,1556
03/22/2020,21638,1685
03/23/2020,23049,1812
03/24/2020,24811,1934
03/25/2020,27077,2077
03/26/2020,29406,2234
03/27/2020,32332,2378
03/28/2020,35408,2517
03/29/2020,38309,2640
03/30/2020,41495,2757
03/31/2020,44606,2898
04/01/2020,47593,3036
04/02/2020,50468,3160
04/03/2020,53183,3294
04/04/2020,55743,3452
04/05/2020,58226,3603
04/06/2020,60500,3739
04/07/2020,62589,3872
04/08/2020,64586,3993
04/09/2020,66220,4110
04/10/2020,68192,4232
04/11/2020,70029,4357
04/12/2020,71686,4474
04/13/2020,73303,4585
04/14/2020,74877,4683
04/15/2020,76389,4777
04/16/2020,77995,4869
04/17/2020,79494,4958
04/18/2020,80868,5031
04/19/2020,82211,5118
04/20/2020,83505,5209
04/21/2020,84802,5297
04/22/2020,85996,5391
04/23/2020,87026,5481
04/24/2020,88194,5574
04/25/2020,89328,5650
04/26/2020,90481,5710
04/27/2020,91472,5806
04/28/2020,92584,5877
04/29/2020,93657,5957
04/30/2020,94640,6028
05/01/2020,95646,6091
05/02/2020,96448,6156
05/03/2020,97424,6203
05/04/2020,98647,6277
05/05/2020,99970,6340
05/06/2020,101650,6418
05/07/2020,103135,6486
05/08/2020,104691,6541
05/09/2020,106220,6589
05/10/2020,107603,6640
05/11/2020,109286,6685
05/12/2020,110767,6733
05/13/2020,112725,6783
05/14/2020,114533,6854
05/15/2020,116635,6902
05/16/2020,118392,6937
05/17/2020,120198,6988
05/18/2020,122492,7057
05/19/2020,124603,7119
05/20/2020,126949,7183
05/21/2020,129341,7249
05/22/2020,131652,7300
05/23/2020,133521,7359
05/24/2020,135701,7417
05/25/2020,137724,7451
05/26/2020,139511,7508
05/27/2020,141591,7564
05/28/2020,143849,7627
05/29/2020,146668,7677
05/30/2020,148950,7734
05/31/2020,151466,7797
06/01/2020,154445,7878
06/02/2020,157562,7942
06/03/2020,160696,8012
06/04/2020,164270,8071
06/05/2020,167156,8134
06/06/2020,169425,8209
06/07/2020,171789,8281
06/08/2020,173832,8351
06/09/2020,175927,8425
06/10/2020,177938,8506
06/11/2020,180156,8584
06/12/2020,182525,8659
06/13/2020,184955,8730
06/14/2020,187427,8837
06/15/2020,189876,8950
06/16/2020,192439,9065
06/17/2020,195051,9185
06/18/2020,197647,9272
06/19/2020,200262,9392
06/20/2020,202584,9507
06/21/2020,204952,9623
06/22/2020,207525,9742
06/23/2020,209970,9863
06/24/2020,212501,9996
06/25/2020,215096,10130
06/26/2020,217724,10239
06/27/2020,220180,10364
06/28/2020,222669,10508
06/29/2020,225205,10670
06/30/2020,227662,10817
07/01/2020,230211,10958
07/02/2020,232863,11106
07/03/2020,235429,11260
07/04/2020,237878,11408
07/05/2020,240438,11571
07/06/2020,243051,11731
