Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
02/22/2020,1,0,0,0
02/24/2020,1,0,0,0
02/25/2020,1,0,0,0
02/26/2020,5,4,0,0
02/27/2020,6,1,0,0
02/28/2020,7,1,0,0
02/29/2020,8,1,0,0
03/01/2020,8,0,0,0
03/02/2020,19,11,0,0
03/03/2020,25,6,1,1
03/04/2020,32,7,2,1
03/05/2020,36,4,2,0
03/06/2020,36,0,2,0
03/07/2020,44,8,4,2
03/08/2020,54,10,4,0
03/09/2020,67,13,7,3
03/10/2020,71,4,9,2
03/11/2020,75,4,10,1
03/12/2020,79,4,10,0
03/13/2020,94,15,10,0
03/14/2020,110,16,10,0
03/15/2020,124,14,10,0
03/16/2020,133,9,10,0
03/17/2020,154,21,11,1
03/18/2020,164,10,12,1
03/19/2020,192,28,13,1
03/20/2020,208,16,17,4
03/21/2020,214,6,17,0
03/22/2020,233,19,20,3
03/23/2020,266,33,23,3
03/24/2020,316,50,27,4
03/25/2020,346,30,29,2
03/26/2020,382,36,36,7
03/27/2020,458,76,40,4
03/28/2020,506,48,42,2
03/29/2020,547,41,42,0
03/30/2020,630,83,46,4
03/31/2020,695,65,50,4
04/01/2020,728,33,52,2
04/02/2020,772,44,54,2
04/03/2020,820,48,54,0
04/04/2020,878,58,56,2
04/05/2020,961,83,61,5
04/06/2020,1031,70,64,3
04/07/2020,1122,91,65,1
04/08/2020,1202,80,69,4
04/09/2020,1232,30,69,0
04/10/2020,1279,47,70,1
04/11/2020,1318,39,72,2
04/12/2020,1352,34,76,4
04/13/2020,1378,26,78,2
04/14/2020,1400,22,78,0
04/15/2020,1415,15,79,1
04/16/2020,1434,19,80,1
04/17/2020,1482,48,81,1
04/18/2020,1513,31,82,1
04/19/2020,1539,26,82,0
04/20/2020,1574,35,82,0
04/21/2020,1602,28,83,1
04/22/2020,1631,29,83,0
04/23/2020,1677,46,83,0
04/24/2020,1708,31,86,3
04/25/2020,1763,55,86,0
04/26/2020,1820,57,87,1
04/27/2020,1847,27,88,1
04/28/2020,1928,81,90,2
04/29/2020,1997,69,90,0
04/30/2020,2066,69,90,0
05/01/2020,2136,70,90,0
05/02/2020,2206,70,90,0
05/03/2020,2276,70,90,0
05/04/2020,2346,70,98,8
05/05/2020,2431,85,102,4
05/06/2020,2480,49,102,0
05/07/2020,2543,63,102,0
05/08/2020,2603,60,104,2
05/09/2020,2679,76,107,3
05/10/2020,2767,88,109,2
05/11/2020,2818,51,110,1
05/12/2020,2913,95,112,2
05/13/2020,3032,119,115,3
05/14/2020,3143,111,115,0
05/15/2020,3193,50,117,2
05/16/2020,3260,67,121,4
05/17/2020,3404,144,123,2
05/18/2020,3554,150,127,4
05/19/2020,3611,57,131,4
05/20/2020,3724,113,134,3
05/21/2020,3877,153,140,6
05/22/2020,3964,87,147,7
05/23/2020,4272,308,152,5
05/24/2020,4469,197,160,8
05/25/2020,4632,163,163,3
05/26/2020,4848,216,169,6
05/27/2020,5135,287,175,6
05/28/2020,5457,322,179,4
05/29/2020,5873,416,185,6
05/30/2020,6179,306,195,10
05/31/2020,6439,260,205,10
06/01/2020,6868,429,215,10
06/02/2020,7387,519,235,20
06/03/2020,8168,781,256,21
06/04/2020,8840,672,271,15
06/05/2020,9846,1006,285,14
06/06/2020,11098,1252,318,33
06/07/2020,12366,1268,346,28
06/08/2020,13481,1115,370,24
06/09/2020,14268,787,392,22
06/10/2020,15414,1146,426,34
06/11/2020,16675,1261,457,31
06/12/2020,17770,1095,496,39
06/13/2020,18950,1180,549,53
06/14/2020,20209,1259,607,58
06/15/2020,21315,1106,652,45
06/16/2020,22700,1385,712,60
06/17/2020,24254,1554,774,62
06/18/2020,25717,1463,856,82
06/19/2020,27352,1635,925,69
06/20/2020,29222,1870,1013,88
06/21/2020,30868,1646,1100,87
06/22/2020,32676,1808,1167,67
06/23/2020,34502,1826,1251,84
06/24/2020,36702,2200,1330,79
06/25/2020,39139,2437,1437,107
06/26/2020,41193,2054,1559,122
06/27/2020,43262,2069,1660,101
06/28/2020,45402,2140,1756,96
06/29/2020,47151,1749,1839,83
06/30/2020,49109,1958,1943,104
07/01/2020,51524,2415,2050,107
07/02/2020,53708,2184,2160,110
07/03/2020,56020,2312,2262,102
07/04/2020,58354,2334,2368,106
07/05/2020,60479,2125,2473,105
07/06/2020,62275,1796,2567,94
