Updated,Confirmed,Deaths
02/29/2020,1,0.0
03/01/2020,1,0.0
03/02/2020,1,0.0
03/03/2020,2,0.0
03/04/2020,6,0.0
03/05/2020,13,0.0
03/06/2020,18,0.0
03/07/2020,19,0.0
03/08/2020,21,0.0
03/09/2020,24,0.0
03/10/2020,34,0.0
03/11/2020,43,1.0
03/12/2020,70,1.0
03/13/2020,90,1.0
03/14/2020,129,2.0
03/15/2020,169,2.0
03/16/2020,223,2.0
03/17/2020,292,2.0
03/18/2020,366,2.0
03/19/2020,557,3.0
03/20/2020,683,3.0
03/21/2020,785,3.0
03/22/2020,906,4.0
03/23/2020,1125,6.0
03/24/2020,1329,7.0
03/25/2020,1564,9.0
03/26/2020,1819,19.0
03/27/2020,2121,22.0
03/28/2020,2415,36.0
03/29/2020,2615,46.0
03/30/2020,2910,54.0
03/31/2020,3235,71.0
04/01/2020,3447,85.0
04/02/2020,3849,98.0
04/03/2020,4273,120.0
04/04/2020,4604,137.0
04/05/2020,5111,158.0
04/06/2020,5859,174.0
04/07/2020,6224,210.0
04/08/2020,6688,235.0
04/09/2020,7393,263.0
04/10/2020,8089,288.0
04/11/2020,8928,320.0
04/12/2020,9655,334.0
04/13/2020,10647,365.0
04/14/2020,11479,406.0
04/15/2020,12547,444.0
04/16/2020,13271,486.0
04/17/2020,13980,530.0
04/18/2020,14758,571.0
04/19/2020,15251,610.0
04/20/2020,15652,687.0
04/21/2020,16040,730.0
04/22/2020,16671,769.0
04/23/2020,17607,794.0
04/24/2020,18184,1014.0
04/25/2020,18561,1063.0
04/26/2020,19262,1087.0
04/27/2020,19648,1102.0
04/28/2020,19877,1159.0
04/29/2020,20253,1190.0
04/30/2020,20612,1232.0
05/01/2020,20833,1265.0
05/02/2020,21176,1286.0
05/03/2020,21506,1303.0
05/04/2020,21772,1319.0
05/05/2020,21983,1339.0
05/06/2020,22248,1375.0
05/07/2020,22385,1403.0
05/08/2020,22541,1429.0
05/09/2020,22760,1446.0
05/10/2020,22996,1458.0
05/11/2020,23135,1467.0
05/12/2020,23242,1488.0
05/13/2020,23401,1497.0
05/14/2020,23827,1506.0
05/15/2020,23956,1518.0
05/16/2020,24048,1533.0
05/17/2020,24112,1543.0
05/18/2020,24200,1547.0
05/19/2020,24251,1561.0
05/20/2020,24315,1571.0
05/21/2020,24391,1583.0
05/22/2020,24506,1592.0
05/23/2020,24582,1604.0
05/24/2020,24639,1606.0
05/25/2020,24698,1606.0
05/26/2020,24735,1615.0
05/27/2020,24803,1631.0
05/28/2020,24841,1639.0
05/29/2020,24876,1645.0
05/30/2020,24929,1648.0
05/31/2020,24990,1649.0
06/01/2020,25062,1650.0
06/02/2020,25066,1658.0
06/03/2020,25111,1659.0
06/04/2020,25142,1664.0
06/05/2020,25163,1670.0
06/06/2020,25183,1678.0
06/07/2020,25201,1679.0
06/08/2020,25207,1683.0
06/09/2020,25215,1691.0
06/10/2020,25231,1695.0
06/11/2020,25238,1703.0
06/12/2020,25250,1705.0
06/13/2020,25295,1705.0
06/14/2020,25303,1706.0
06/15/2020,25321,1706.0
06/16/2020,25334,1709.0
06/17/2020,25341,1710.0
06/18/2020,25355,1714.0
06/19/2020,25368,1714.0
06/20/2020,25374,1715.0
06/21/2020,25379,1715.0
06/22/2020,25383,1717.0
06/23/2020,25391,1720.0
06/24/2020,25396,1726.0
06/25/2020,25405,1727.0
06/26/2020,25414,1730.0
