Updated,Confirmed,Deaths
02/21/2020,2,0.0
02/22/2020,2,0.0
02/23/2020,2,0.0
02/24/2020,2,0.0
02/25/2020,18,0.0
02/26/2020,18,0.0
02/27/2020,19,0.0
02/28/2020,22,0.0
02/29/2020,22,0.0
03/01/2020,23,0.0
03/02/2020,28,0.0
03/03/2020,31,0.0
03/04/2020,31,0.0
03/05/2020,33,0.0
03/06/2020,37,0.0
03/07/2020,41,0.0
03/08/2020,50,0.0
03/09/2020,54,0.0
03/10/2020,87,0.0
03/11/2020,107,0.0
03/12/2020,127,0.0
03/13/2020,162,0.0
03/14/2020,191,0.0
03/15/2020,229,0.0
03/16/2020,301,0.0
03/17/2020,394,0.0
03/18/2020,512,0.0
03/19/2020,648,0.0
03/20/2020,817,1.0
03/21/2020,1023,1.0
03/22/2020,1272,1.0
03/23/2020,1620,1.0
03/24/2020,2042,3.0
03/25/2020,2465,5.0
03/26/2020,2993,8.0
03/27/2020,3427,12.0
03/28/2020,3907,12.0
03/29/2020,4439,12.0
03/30/2020,4985,15.0
03/31/2020,5714,20.0
04/01/2020,6409,21.0
04/02/2020,7128,29.0
04/03/2020,7727,36.0
04/04/2020,8156,42.0
04/05/2020,8735,46.0
04/06/2020,9187,51.0
04/07/2020,9566,59.0
04/08/2020,9904,71.0
04/09/2020,10249,79.0
04/10/2020,10611,92.0
04/11/2020,10957,96.0
04/12/2020,11515,103.0
04/13/2020,11959,110.0
04/14/2020,12366,117.0
04/15/2020,12679,126.0
04/16/2020,12981,140.0
04/17/2020,13283,148.0
04/18/2020,13594,158.0
04/19/2020,13884,171.0
04/20/2020,14187,173.0
04/21/2020,14480,181.0
04/22/2020,14710,187.0
04/23/2020,14993,191.0
04/24/2020,15226,193.0
04/25/2020,15385,198.0
04/26/2020,15433,199.0
04/27/2020,15555,204.0
04/28/2020,15728,210.0
04/29/2020,15834,215.0
04/30/2020,15946,222.0
05/01/2020,16101,225.0
05/02/2020,16185,229.0
05/03/2020,16208,232.0
05/04/2020,16246,235.0
05/05/2020,16289,238.0
05/06/2020,16310,239.0
05/07/2020,16381,240.0
05/08/2020,16436,245.0
05/09/2020,16454,247.0
05/10/2020,16477,252.0
05/11/2020,16506,258.0
05/12/2020,16529,260.0
05/13/2020,16548,264.0
05/14/2020,16579,265.0
05/15/2020,16589,266.0
05/16/2020,16608,268.0
05/17/2020,16617,272.0
05/18/2020,16643,276.0
05/19/2020,16659,278.0
05/20/2020,16665,279.0
05/21/2020,16683,279.0
05/22/2020,16698,279.0
05/23/2020,16712,279.0
05/24/2020,16717,279.0
05/25/2020,16734,281.0
05/26/2020,16757,281.0
05/27/2020,16793,281.0
05/28/2020,16872,284.0
05/29/2020,16987,284.0
05/30/2020,17012,284.0
05/31/2020,17071,285.0
06/01/2020,17169,285.0
06/02/2020,17285,290.0
06/03/2020,17377,291.0
06/04/2020,17495,291.0
06/05/2020,17592,292.0
06/06/2020,17752,295.0
06/07/2020,17863,298.0
06/08/2020,18032,298.0
06/09/2020,18180,299.0
06/10/2020,18355,299.0
06/11/2020,18569,300.0
06/12/2020,18795,300.0
06/13/2020,18972,300.0
06/14/2020,19055,300.0
06/15/2020,19237,302.0
06/16/2020,19495,302.0
06/17/2020,19783,303.0
06/18/2020,19998,303.0
06/19/2020,20339,304.0
06/20/2020,20633,305.0
06/21/2020,20778,306.0
06/22/2020,21008,307.0
06/23/2020,21512,308.0
06/24/2020,22044,308.0
06/25/2020,22400,309.0
06/26/2020,22800,314.0
