Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
01/30/2020,2,0,0,0
01/31/2020,2,0,0,0
02/01/2020,2,0,0,0
02/02/2020,2,0,0,0
02/03/2020,2,0,0,0
02/04/2020,2,0,0,0
02/05/2020,2,0,0,0
02/06/2020,3,1,0,0
02/07/2020,3,0,0,0
02/08/2020,3,0,0,0
02/09/2020,3,0,0,0
02/10/2020,3,0,0,0
02/11/2020,3,0,0,0
02/12/2020,3,0,0,0
02/13/2020,3,0,0,0
02/14/2020,3,0,0,0
02/15/2020,3,0,0,0
02/16/2020,3,0,0,0
02/17/2020,3,0,0,0
02/18/2020,3,0,0,0
02/19/2020,3,0,0,0
02/20/2020,3,0,0,0
02/21/2020,20,17,1,1
02/22/2020,79,59,2,1
02/23/2020,150,71,3,1
02/24/2020,229,79,6,3
02/25/2020,322,93,10,4
02/26/2020,445,123,12,2
02/27/2020,650,205,17,5
02/28/2020,888,238,21,4
02/29/2020,1128,240,29,8
03/01/2020,1694,566,34,5
03/02/2020,2036,342,52,18
03/03/2020,2502,466,79,27
03/04/2020,3089,587,107,28
03/05/2020,3858,769,148,41
03/06/2020,4636,778,197,49
03/07/2020,5883,1247,233,36
03/08/2020,7375,1492,366,133
03/09/2020,9172,1797,463,97
03/10/2020,10149,977,631,168
03/11/2020,12462,2313,827,196
03/12/2020,15113,2651,1016,189
03/13/2020,17660,2547,1266,250
03/14/2020,21157,3497,1441,175
03/15/2020,24747,3590,1809,368
03/16/2020,27980,3233,2158,349
03/17/2020,31506,3526,2503,345
03/18/2020,35713,4207,2978,475
03/19/2020,41035,5322,3405,427
03/20/2020,47021,5986,4032,627
03/21/2020,53578,6557,4825,793
03/22/2020,59138,5560,5475,650
03/23/2020,63927,4789,6077,602
03/24/2020,69176,5249,6820,743
03/25/2020,74386,5210,7503,683
03/26/2020,80539,6153,8215,712
03/27/2020,86498,5959,9134,919
03/28/2020,92472,5974,10023,889
03/29/2020,97689,5217,10779,756
03/30/2020,101739,4050,11591,812
03/31/2020,105792,4053,12428,837
04/01/2020,110574,4782,13155,727
04/02/2020,115242,4668,13915,760
04/03/2020,119827,4585,14681,766
04/04/2020,124632,4805,15362,681
04/05/2020,128948,4316,15887,525
04/06/2020,132547,3599,16523,636
04/07/2020,135586,3039,17127,604
04/08/2020,139422,3836,17669,542
04/09/2020,143626,4204,18279,610
04/10/2020,147577,3951,18849,570
04/11/2020,152271,4694,19468,619
04/12/2020,156363,4092,19899,431
04/13/2020,159516,3153,20465,566
04/14/2020,162488,2972,21067,602
04/15/2020,165155,2667,21645,578
04/16/2020,168941,3786,22170,525
04/17/2020,172434,3493,22745,575
04/18/2020,175925,3491,23227,482
04/19/2020,178972,3047,23660,433
04/20/2020,181228,2256,24114,454
04/21/2020,183957,2729,24648,534
04/22/2020,187327,3370,25085,437
04/23/2020,189973,2646,25549,464
04/24/2020,192994,3021,25969,420
04/25/2020,195351,2357,26384,415
04/26/2020,197675,2324,26644,260
04/27/2020,199414,1739,26977,333
04/28/2020,201505,2091,27359,382
04/29/2020,203591,2086,27682,323
04/30/2020,205463,1872,27967,285
05/01/2020,207428,1965,28236,269
05/02/2020,209328,1900,28710,474
05/03/2020,210717,1389,28884,174
05/04/2020,211938,1221,29079,195
05/05/2020,213013,1075,29315,236
05/06/2020,214457,1444,29684,369
05/07/2020,215858,1401,29958,274
05/08/2020,217185,1327,30201,243
05/09/2020,218268,1083,30395,194
05/10/2020,219070,802,30560,165
05/11/2020,219814,744,30739,179
05/12/2020,221216,1402,30911,172
05/13/2020,222104,888,31106,195
05/14/2020,223096,992,31368,262
05/15/2020,223885,789,31610,242
05/16/2020,224760,875,31763,153
05/17/2020,225435,675,31908,145
05/18/2020,225886,451,32007,99
05/19/2020,226699,813,32169,162
05/20/2020,227364,665,32330,161
05/21/2020,228006,642,32486,156
05/22/2020,228658,652,32616,130
05/23/2020,229327,669,32735,119
05/24/2020,229858,531,32785,50
05/25/2020,230158,300,32877,92
05/26/2020,230555,397,32955,78
05/27/2020,231139,584,33072,117
05/28/2020,231732,593,33142,70
05/29/2020,232248,516,33229,87
05/30/2020,232664,416,33340,111
05/31/2020,232997,333,33415,75
06/01/2020,233197,200,33475,60
06/02/2020,233515,318,33530,55
06/03/2020,233836,321,33601,71
06/04/2020,234013,177,33689,88
06/05/2020,234531,518,33774,85
06/06/2020,234801,270,33846,72
06/07/2020,234998,197,33899,53
06/08/2020,235278,280,33964,65
06/09/2020,235561,283,34043,79
06/10/2020,235763,202,34114,71
06/11/2020,236142,379,34167,53
06/12/2020,236305,163,34223,56
06/13/2020,236651,346,34301,78
06/14/2020,236989,338,34345,44
06/15/2020,237290,301,34371,26
06/16/2020,237500,210,34405,34
06/17/2020,237828,328,34448,43
06/18/2020,238159,331,34514,66
06/19/2020,238217,58,34561,47
06/20/2020,238275,58,34610,49
06/21/2020,238499,224,34643,33
06/22/2020,238720,221,34657,14
06/23/2020,238833,113,34675,18
06/24/2020,239410,577,34676,1
06/25/2020,239706,296,34678,2
06/26/2020,239961,255,34708,30
06/27/2020,240136,175,34716,8
06/28/2020,240310,174,34738,22
06/29/2020,240436,126,34744,6
06/30/2020,240578,142,34767,23
07/01/2020,240760,182,34788,21
07/02/2020,240961,201,34818,30
07/03/2020,241184,223,34833,15
07/04/2020,241419,235,34854,21
07/05/2020,241611,192,34861,7
07/06/2020,241819,208,34869,8
