Updated,Confirmed,Deaths
03/02/2020,1,0
03/03/2020,1,0
03/04/2020,1,0
03/05/2020,1,0
03/06/2020,1,0
03/07/2020,1,0
03/08/2020,1,0
03/09/2020,1,0
03/10/2020,1,0
03/11/2020,1,0
03/12/2020,1,0
03/13/2020,1,0
03/14/2020,1,0
03/15/2020,12,0
03/16/2020,29,0
03/17/2020,40,0
03/18/2020,56,0
03/19/2020,69,0
03/20/2020,84,0
03/21/2020,99,0
03/22/2020,112,0
03/23/2020,127,0
03/24/2020,153,0
03/25/2020,172,0
03/26/2020,212,0
03/27/2020,235,0
03/28/2020,246,1
03/29/2020,259,3
03/30/2020,268,5
03/31/2020,274,5
04/01/2020,278,5
04/02/2020,299,5
04/03/2020,310,5
04/04/2020,323,5
04/05/2020,345,5
04/06/2020,349,6
04/07/2020,353,6
04/08/2020,358,6
04/09/2020,372,7
04/10/2020,376,7
04/11/2020,381,7
04/12/2020,389,7
04/13/2020,391,7
04/14/2020,397,7
04/15/2020,401,7
04/16/2020,402,7
04/17/2020,407,7
04/18/2020,413,7
04/19/2020,417,7
04/20/2020,425,7
04/21/2020,428,7
04/22/2020,435,7
04/23/2020,437,7
04/24/2020,441,7
04/25/2020,444,7
04/26/2020,447,7
04/27/2020,449,7
04/28/2020,450,8
04/29/2020,451,8
04/30/2020,453,8
05/01/2020,459,8
05/02/2020,460,9
05/03/2020,461,9
05/04/2020,465,9
05/05/2020,471,9
05/06/2020,473,9
05/07/2020,494,9
05/08/2020,508,9
05/09/2020,522,9
05/10/2020,542,9
05/11/2020,562,9
05/12/2020,576,9
05/13/2020,582,9
05/14/2020,586,9
05/15/2020,596,9
05/16/2020,607,9
05/17/2020,613,9
05/18/2020,629,9
05/19/2020,649,9
05/20/2020,672,9
05/21/2020,684,9
05/22/2020,700,9
05/23/2020,704,9
05/24/2020,708,9
05/25/2020,711,9
05/26/2020,718,9
05/27/2020,720,9
05/28/2020,728,9
05/29/2020,730,9
05/30/2020,734,9
05/31/2020,740,9
06/01/2020,746,9
06/02/2020,755,9
06/03/2020,764,9
06/04/2020,774,9
06/05/2020,784,9
06/06/2020,795,9
06/07/2020,808,9
06/08/2020,826,9
06/09/2020,845,9
06/10/2020,868,9
06/11/2020,891,9
06/12/2020,915,9
06/13/2020,934,9
06/14/2020,953,9
06/15/2020,962,9
06/16/2020,971,9
06/17/2020,981,9
06/18/2020,987,9
06/19/2020,1001,9
06/20/2020,1008,9
06/21/2020,1015,9
06/22/2020,1031,9
06/23/2020,1047,9
06/24/2020,1059,9
06/25/2020,1071,9
06/26/2020,1087,9
06/27/2020,1104,9
06/28/2020,1116,9
06/29/2020,1128,9
06/30/2020,1130,9
07/01/2020,1133,9
07/02/2020,1137,9
07/03/2020,1142,9
07/04/2020,1147,10
07/05/2020,1164,10
