Updated,Confirmed,Deaths
03/13/2020,4,0.0
03/14/2020,6,0.0
03/15/2020,9,0.0
03/16/2020,10,0.0
03/17/2020,33,0.0
03/18/2020,36,0.0
03/19/2020,44,0.0
03/20/2020,52,0.0
03/21/2020,54,0.0
03/22/2020,60,0.0
03/23/2020,62,0.0
03/24/2020,72,0.0
03/25/2020,80,0.0
03/26/2020,113,1.0
03/27/2020,150,1.0
03/28/2020,228,1.0
03/29/2020,284,1.0
03/30/2020,308,1.0
03/31/2020,340,2.0
04/01/2020,386,3.0
04/02/2020,435,3.0
04/03/2020,464,3.0
04/04/2020,531,5.0
04/05/2020,584,6.0
04/06/2020,662,6.0
04/07/2020,697,6.0
04/08/2020,727,7.0
04/09/2020,781,8.0
04/10/2020,812,10.0
04/11/2020,865,10.0
04/12/2020,951,10.0
04/13/2020,1091,12.0
04/14/2020,1232,14.0
04/15/2020,1295,16.0
04/16/2020,1402,17.0
04/17/2020,1546,17.0
04/18/2020,1630,17.0
04/19/2020,1711,19.0
04/20/2020,1852,19.0
04/21/2020,1995,19.0
04/22/2020,2135,19.0
04/23/2020,2289,20.0
04/24/2020,2416,25.0
04/25/2020,2601,25.0
04/26/2020,2717,25.0
04/27/2020,2860,25.0
04/28/2020,3027,25.0
04/29/2020,3138,25.0
04/30/2020,3402,25.0
05/01/2020,3597,25.0
05/02/2020,3857,25.0
05/03/2020,3920,27.0
05/04/2020,4049,29.0
05/05/2020,4205,29.0
05/06/2020,4422,30.0
05/07/2020,4578,30.0
05/08/2020,4834,31.0
05/09/2020,4975,31.0
05/10/2020,5090,31.0
05/11/2020,5207,32.0
05/12/2020,5279,32.0
05/13/2020,5417,32.0
05/14/2020,5571,32.0
05/15/2020,5689,34.0
05/16/2020,5850,34.0
05/17/2020,6157,34.0
05/18/2020,6440,35.0
05/19/2020,6751,35.0
05/20/2020,6969,35.0
05/21/2020,7234,35.0
05/22/2020,7597,35.0
05/23/2020,7919,35.0
05/24/2020,8322,35.0
05/25/2020,8531,35.0
05/26/2020,8969,37.0
05/27/2020,9304,37.0
05/28/2020,9576,37.0
05/29/2020,9932,37.0
05/30/2020,10382,37.0
05/31/2020,10858,38.0
06/01/2020,11308,41.0
06/02/2020,11571,41.0
06/03/2020,11796,44.0
06/04/2020,12067,52.0
06/05/2020,12312,52.0
06/06/2020,12511,53.0
06/07/2020,12694,53.0
06/08/2020,12859,56.0
06/09/2020,13074,61.0
06/10/2020,13319,67.0
06/11/2020,13588,67.0
06/12/2020,13872,68.0
06/13/2020,14238,73.0
06/14/2020,14496,76.0
06/15/2020,14809,81.0
06/16/2020,15192,88.0
06/17/2020,15542,97.0
06/18/2020,15877,100.0
06/19/2020,16351,113.0
06/20/2020,16788,113.0
06/21/2020,17225,120.0
06/22/2020,17732,127.0
06/23/2020,18231,134.0
06/24/2020,18765,136.0
06/25/2020,19285,140.0
