Updated,Confirmed,Deaths
03/13/2020,1,0.0
03/14/2020,1,0.0
03/15/2020,1,0.0
03/16/2020,3,0.0
03/17/2020,3,0.0
03/18/2020,7,0.0
03/19/2020,7,0.0
03/20/2020,7,0.0
03/21/2020,7,0.0
03/22/2020,15,0.0
03/23/2020,16,0.0
03/24/2020,25,0.0
03/25/2020,28,0.0
03/26/2020,31,1.0
03/27/2020,31,1.0
03/28/2020,38,1.0
03/29/2020,42,1.0
03/30/2020,50,1.0
03/31/2020,59,1.0
04/01/2020,81,1.0
04/02/2020,110,3.0
04/03/2020,122,3.0
04/04/2020,126,3.0
04/05/2020,142,6.0
04/06/2020,158,6.0
04/07/2020,172,6.0
04/08/2020,179,6.0
04/09/2020,184,7.0
04/10/2020,189,7.0
04/11/2020,191,7.0
04/12/2020,197,8.0
04/13/2020,208,9.0
04/14/2020,225,9.0
04/15/2020,229,10.0
04/16/2020,234,11.0
04/17/2020,246,11.0
04/18/2020,262,13.0
04/19/2020,270,14.0
04/20/2020,281,14.0
04/21/2020,296,14.0
04/22/2020,303,14.0
04/23/2020,320,14.0
04/24/2020,336,14.0
04/25/2020,343,14.0
04/26/2020,355,14.0
04/27/2020,363,14.0
04/28/2020,374,14.0
04/29/2020,384,15.0
04/30/2020,396,17.0
05/01/2020,411,21.0
05/02/2020,438,22.0
05/03/2020,465,24.0
05/04/2020,490,24.0
05/05/2020,535,24.0
05/06/2020,581,26.0
05/07/2020,607,29.0
05/08/2020,621,29.0
05/09/2020,649,30.0
05/10/2020,672,32.0
05/11/2020,700,34.0
05/12/2020,715,36.0
05/13/2020,737,40.0
05/14/2020,758,42.0
05/15/2020,781,45.0
05/16/2020,830,50.0
05/17/2020,887,50.0
05/18/2020,912,50.0
05/19/2020,963,50.0
05/20/2020,1029,50.0
05/21/2020,1109,50.0
05/22/2020,1161,50.0
05/23/2020,1192,50.0
05/24/2020,1214,51.0
05/25/2020,1286,51.0
05/26/2020,1348,52.0
05/27/2020,1471,55.0
05/28/2020,1618,58.0
05/29/2020,1745,62.0
05/30/2020,1888,63.0
05/31/2020,1962,64.0
06/01/2020,2021,69.0
06/02/2020,2093,71.0
06/03/2020,2216,74.0
06/04/2020,2340,78.0
06/05/2020,2474,79.0
06/06/2020,2600,79.0
06/07/2020,2767,84.0
06/08/2020,2862,85.0
06/09/2020,2989,88.0
06/10/2020,3094,89.0
06/11/2020,3215,92.0
06/12/2020,3305,96.0
06/13/2020,3457,100.0
06/14/2020,3594,103.0
06/15/2020,3727,104.0
06/16/2020,3860,105.0
06/17/2020,4044,107.0
06/18/2020,4257,117.0
06/19/2020,4374,119.0
06/20/2020,4478,121.0
06/21/2020,4739,123.0
06/22/2020,4797,125.0
06/23/2020,4952,128.0
06/24/2020,5206,130.0
06/25/2020,5384,132.0
