Updated,Confirmed,Deaths
03/06/2020,2,0
03/13/2020,2,0.0
03/14/2020,5,0.0
03/15/2020,9,0.0
03/16/2020,15,0.0
03/17/2020,19,0.0
03/18/2020,20,0.0
03/19/2020,21,0.0
03/20/2020,24,0.0
03/21/2020,30,0.0
03/22/2020,33,1.0
03/23/2020,61,1.0
03/24/2020,63,1.0
03/25/2020,71,1.0
03/26/2020,86,1.0
03/27/2020,88,1.0
03/28/2020,91,1.0
03/29/2020,94,1.0
03/30/2020,106,1.0
03/31/2020,112,1.0
04/01/2020,125,1.0
04/02/2020,126,1.0
04/03/2020,132,1.0
04/04/2020,140,1.0
04/05/2020,145,1.0
04/06/2020,165,3.0
04/07/2020,184,5.0
04/08/2020,224,6.0
04/09/2020,227,7.0
04/10/2020,250,7.0
04/11/2020,283,7.0
04/12/2020,362,7.0
04/13/2020,377,8.0
04/14/2020,387,8.0
04/15/2020,423,9.0
04/16/2020,449,11.0
04/17/2020,480,12.0
04/18/2020,510,12.0
04/19/2020,561,12.0
04/20/2020,598,15.0
04/21/2020,604,18.0
04/22/2020,630,18.0
04/23/2020,669,19.0
04/24/2020,703,19.0
04/25/2020,731,20.0
04/26/2020,763,21.0
04/27/2020,780,25.0
04/28/2020,790,25.0
04/29/2020,799,25.0
04/30/2020,806,25.0
05/01/2020,813,25.0
05/02/2020,823,25.0
05/03/2020,851,25.0
05/04/2020,855,26.0
05/05/2020,856,26.0
05/06/2020,860,26.0
05/07/2020,861,27.0
05/08/2020,862,28.0
05/09/2020,870,28.0
05/10/2020,884,28.0
05/11/2020,895,28.0
05/12/2020,919,29.0
05/13/2020,927,29.0
05/14/2020,945,29.0
05/15/2020,955,29.0
05/16/2020,978,29.0
05/17/2020,985,29.0
05/18/2020,988,29.0
05/19/2020,989,29.0
05/20/2020,1003,29.0
05/21/2020,1004,29.0
05/22/2020,1025,29.0
05/23/2020,1032,29.0
05/24/2020,1035,29.0
05/25/2020,1038,30.0
05/26/2020,1047,30.0
05/27/2020,1048,30.0
05/28/2020,1052,30.0
05/29/2020,1064,30.0
05/30/2020,1070,30.0
05/31/2020,1083,30.0
06/01/2020,1110,30.0
06/02/2020,1123,30.0
06/03/2020,1142,30.0
06/04/2020,1147,30.0
06/05/2020,1158,30.0
06/06/2020,1194,31.0
06/07/2020,1234,31.0
06/08/2020,1263,31.0
06/09/2020,1269,31.0
06/10/2020,1298,31.0
06/11/2020,1326,31.0
06/12/2020,1384,31.0
06/13/2020,1437,32.0
06/14/2020,1486,33.0
06/15/2020,1615,33.0
06/16/2020,1756,34.0
06/17/2020,1833,34.0
06/18/2020,1916,34.0
06/19/2020,1998,34.0
06/20/2020,2073,35.0
06/21/2020,2169,36.0
06/22/2020,2216,38.0
06/23/2020,2268,39.0
06/24/2020,2363,40.0
06/25/2020,2432,42.0
06/26/2020,2494,44.0
