Updated,Confirmed,Deaths
02/24/2020,5,0
02/25/2020,11,0
02/26/2020,26,0
02/27/2020,43,0
02/28/2020,45,0
02/29/2020,45,0
03/01/2020,46,0
03/02/2020,56,0
03/03/2020,56,0
03/04/2020,57,0
03/05/2020,58,0
03/06/2020,59,0
03/07/2020,61,0
03/08/2020,64,0
03/09/2020,65,0
03/10/2020,69,0
03/11/2020,72,0
03/12/2020,80,0
03/13/2020,100,0
03/14/2020,104,0
03/15/2020,112,0
03/16/2020,123,0
03/17/2020,130,0
03/18/2020,142,0
03/19/2020,148,0
03/20/2020,159,0
03/21/2020,176,0
03/22/2020,188,0
03/23/2020,189,0
03/24/2020,191,0
03/25/2020,195,0
03/26/2020,208,0
03/27/2020,225,0
03/28/2020,235,0
03/29/2020,255,0
03/30/2020,266,0
03/31/2020,289,0
04/01/2020,317,0
04/02/2020,342,0
04/03/2020,417,0
04/04/2020,455,1
04/05/2020,556,1
04/06/2020,665,1
04/07/2020,743,1
04/08/2020,855,1
04/09/2020,910,1
04/10/2020,993,1
04/11/2020,1154,1
04/12/2020,1234,1
04/13/2020,1300,2
04/14/2020,1355,3
04/15/2020,1405,3
04/16/2020,1524,3
04/17/2020,1658,5
04/18/2020,1751,6
04/19/2020,1915,7
04/20/2020,1995,9
04/21/2020,2080,11
04/22/2020,2248,13
04/23/2020,2399,14
04/24/2020,2614,15
04/25/2020,2892,19
04/26/2020,3075,20
04/27/2020,3288,22
04/28/2020,3440,23
04/29/2020,3740,24
04/30/2020,4024,26
05/01/2020,4377,30
05/02/2020,4619,33
05/03/2020,4983,38
05/04/2020,5278,40
05/05/2020,5804,40
05/06/2020,6289,42
05/07/2020,6567,44
05/08/2020,7208,47
05/09/2020,7623,49
05/10/2020,8688,58
05/11/2020,9286,65
05/12/2020,10277,75
05/13/2020,11028,82
05/14/2020,11975,88
05/15/2020,12860,96
05/16/2020,13802,107
05/17/2020,14850,112
05/18/2020,15691,118
05/19/2020,16764,121
05/20/2020,17568,124
05/21/2020,18609,129
05/22/2020,19564,138
05/23/2020,20464,148
05/24/2020,21302,156
05/25/2020,21967,165
05/26/2020,22575,172
05/27/2020,23267,175
05/28/2020,24112,185
05/29/2020,25184,194
05/30/2020,26192,205
05/31/2020,27043,212
06/01/2020,27762,220
06/02/2020,28649,226
06/03/2020,29359,230
06/04/2020,29921,236
06/05/2020,30644,244
06/06/2020,31131,254
06/07/2020,31848,264
06/08/2020,32510,269
06/09/2020,33140,273
06/10/2020,33823,275
06/11/2020,34432,279
06/12/2020,34952,285
06/13/2020,35466,289
06/14/2020,35920,296
06/15/2020,36431,298
06/16/2020,36958,303
06/17/2020,37533,306
06/18/2020,38074,308
06/19/2020,38678,313
06/20/2020,39145,319
06/21/2020,39650,326
06/22/2020,40291,330
06/23/2020,41033,334
06/24/2020,41879,337
06/25/2020,42788,339
06/26/2020,43703,341
06/27/2020,44391,344
06/28/2020,44942,348
06/29/2020,45524,350
06/30/2020,46195,354
07/01/2020,46940,358
07/02/2020,47859,359
07/03/2020,48672,360
07/04/2020,49303,365
07/05/2020,49941,368
07/06/2020,50644,373
