Updated,Confirmed,Deaths
03/18/2020,3,0.0
03/19/2020,3,0.0
03/20/2020,6,0.0
03/21/2020,12,0.0
03/22/2020,14,0.0
03/23/2020,16,0.0
03/24/2020,42,0.0
03/25/2020,44,0.0
03/26/2020,44,0.0
03/27/2020,58,0.0
03/28/2020,71,0.0
03/29/2020,84,0.0
03/30/2020,94,0.0
03/31/2020,107,0.0
04/01/2020,111,0.0
04/02/2020,116,1.0
04/03/2020,130,1.0
04/04/2020,144,2.0
04/05/2020,147,2.0
04/06/2020,216,4.0
04/07/2020,228,4.0
04/08/2020,270,4.0
04/09/2020,280,4.0
04/10/2020,298,5.0
04/11/2020,339,5.0
04/12/2020,377,5.0
04/13/2020,419,5.0
04/14/2020,430,5.0
04/15/2020,449,5.0
04/16/2020,466,5.0
04/17/2020,489,5.0
04/18/2020,506,5.0
04/19/2020,554,5.0
04/20/2020,568,7.0
04/21/2020,590,7.0
04/22/2020,612,7.0
04/23/2020,631,8.0
04/24/2020,656,8.0
04/25/2020,665,8.0
04/26/2020,682,8.0
04/27/2020,695,8.0
04/28/2020,708,8.0
04/29/2020,729,8.0
04/30/2020,746,8.0
05/01/2020,756,8.0
05/02/2020,769,8.0
05/03/2020,795,10.0
05/04/2020,830,10.0
05/05/2020,843,11.0
05/06/2020,871,12.0
05/07/2020,895,12.0
05/08/2020,906,12.0
05/09/2020,931,12.0
05/10/2020,1002,12.0
05/11/2020,1016,12.0
05/12/2020,1037,12.0
05/13/2020,1044,12.0
05/14/2020,1082,12.0
05/15/2020,1111,14.0
05/16/2020,1117,14.0
05/17/2020,1138,14.0
05/18/2020,1216,14.0
05/19/2020,1243,14.0
05/20/2020,1270,14.0
05/21/2020,1313,14.0
05/22/2020,1350,14.0
05/23/2020,1365,14.0
05/24/2020,1403,14.0
05/25/2020,1433,16.0
05/26/2020,1468,16.0
05/27/2020,1520,16.0
05/28/2020,1594,16.0
05/29/2020,1662,16.0
05/30/2020,1722,16.0
05/31/2020,1748,16.0
06/01/2020,1817,16.0
06/02/2020,1845,17.0
06/03/2020,1871,20.0
06/04/2020,1899,20.0
06/05/2020,1936,22.0
06/06/2020,1974,22.0
06/07/2020,2007,22.0
06/08/2020,2032,23.0
06/09/2020,2055,24.0
06/10/2020,2093,26.0
06/11/2020,2129,26.0
06/12/2020,2166,26.0
06/13/2020,2207,27.0
06/14/2020,2285,27.0
06/15/2020,2372,27.0
06/16/2020,2472,28.0
06/17/2020,2562,30.0
06/18/2020,2657,31.0
06/19/2020,2789,32.0
06/20/2020,2981,35.0
06/21/2020,3151,37.0
06/22/2020,3356,40.0
06/23/2020,3519,41.0
06/24/2020,3726,42.0
06/25/2020,3954,43.0
06/26/2020,4204,43.0
