Updated,Confirmed,Deaths
03/02/2020,1,0
03/03/2020,1,0
03/04/2020,1,0
03/05/2020,1,0
03/06/2020,1,0
03/07/2020,2,0
03/08/2020,6,0
03/09/2020,8,0
03/10/2020,10,0
03/11/2020,16,0
03/12/2020,17,0
03/13/2020,26,0
03/14/2020,30,0
03/15/2020,34,0
03/16/2020,49,0
03/17/2020,71,0
03/18/2020,86,0
03/19/2020,111,0
03/20/2020,124,0
03/21/2020,139,0
03/22/2020,180,0
03/23/2020,197,0
03/24/2020,221,0
03/25/2020,244,0
03/26/2020,280,0
03/27/2020,305,0
03/28/2020,347,0
03/29/2020,376,0
03/30/2020,398,0
03/31/2020,446,0
04/01/2020,458,0
04/02/2020,493,0
04/03/2020,509,1
04/04/2020,533,1
04/05/2020,542,1
04/06/2020,548,2
04/07/2020,577,2
04/08/2020,589,2
04/09/2020,612,2
04/10/2020,630,3
04/11/2020,651,5
04/12/2020,655,5
04/13/2020,657,5
04/14/2020,666,5
04/15/2020,675,5
04/16/2020,682,5
04/17/2020,712,5
04/18/2020,727,5
04/19/2020,739,5
04/20/2020,748,9
04/21/2020,761,11
04/22/2020,778,11
04/23/2020,784,12
04/24/2020,804,12
04/25/2020,812,12
04/26/2020,818,13
04/27/2020,836,13
04/28/2020,849,15
04/29/2020,858,15
04/30/2020,870,16
05/01/2020,871,16
05/02/2020,879,16
05/03/2020,896,16
05/04/2020,898,17
05/05/2020,900,17
05/06/2020,909,18
05/07/2020,928,18
05/08/2020,930,18
05/09/2020,939,18
05/10/2020,946,18
05/11/2020,950,18
05/12/2020,951,19
05/13/2020,962,19
05/14/2020,970,19
05/15/2020,997,19
05/16/2020,1008,19
05/17/2020,1009,19
05/18/2020,1012,21
05/19/2020,1016,21
05/20/2020,1025,22
05/21/2020,1030,22
05/22/2020,1046,22
05/23/2020,1047,22
05/24/2020,1049,22
05/25/2020,1053,22
05/26/2020,1057,23
05/27/2020,1061,24
05/28/2020,1064,24
05/29/2020,1065,24
05/30/2020,1066,24
05/31/2020,1068,24
06/01/2020,1071,24
06/02/2020,1079,24
06/03/2020,1082,25
06/04/2020,1085,25
06/05/2020,1086,25
06/06/2020,1088,25
06/07/2020,1088,26
06/08/2020,1089,26
06/09/2020,1092,26
06/10/2020,1094,26
06/11/2020,1096,27
06/12/2020,1097,28
06/13/2020,1097,28
06/14/2020,1097,28
06/15/2020,1098,28
06/16/2020,1104,30
06/17/2020,1108,30
06/18/2020,1110,30
06/19/2020,1111,30
06/20/2020,1111,30
06/21/2020,1111,30
06/22/2020,1111,30
06/23/2020,1111,30
06/24/2020,1111,30
06/25/2020,1111,30
06/26/2020,1112,30
06/27/2020,1114,30
06/28/2020,1116,30
06/29/2020,1117,30
06/30/2020,1118,30
07/01/2020,1121,30
07/02/2020,1121,30
07/03/2020,1122,30
07/04/2020,1123,30
07/05/2020,1124,30
