Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
02/26/2020,1,0,0,0
02/27/2020,1,0,0,0
02/28/2020,1,0,0,0
02/29/2020,1,0,0,0
03/01/2020,1,0,0,0
03/02/2020,1,0,0,0
03/03/2020,1,0,0,0
03/04/2020,1,0,0,0
03/05/2020,1,0,0,0
03/06/2020,3,2,0,0
03/07/2020,3,0,0,0
03/08/2020,4,1,0,0
03/09/2020,7,3,0,0
03/10/2020,7,0,0,0
03/11/2020,9,2,0,0
03/12/2020,9,0,0,0
03/13/2020,13,4,0,0
03/14/2020,19,6,0,0
03/15/2020,19,0,0,0
03/16/2020,24,5,0,0
03/17/2020,36,12,0,0
03/18/2020,48,12,0,0
03/19/2020,67,19,0,0
03/20/2020,85,18,0,0
03/21/2020,94,9,0,0
03/22/2020,114,20,1,1
03/23/2020,136,22,2,1
03/24/2020,148,12,2,0
03/25/2020,177,29,3,1
03/26/2020,201,24,3,0
03/27/2020,219,18,3,0
03/28/2020,241,22,4,1
03/29/2020,259,18,6,2
03/30/2020,285,26,7,1
03/31/2020,329,44,9,2
04/01/2020,354,25,10,1
04/02/2020,384,30,11,1
04/03/2020,430,46,12,1
04/04/2020,483,53,17,5
04/05/2020,555,72,18,1
04/06/2020,570,15,21,3
04/07/2020,599,29,26,5
04/08/2020,617,18,29,3
04/09/2020,663,46,30,1
04/10/2020,711,48,32,2
04/11/2020,760,49,34,2
04/12/2020,828,68,34,0
04/13/2020,856,28,38,4
04/14/2020,908,52,44,6
04/15/2020,974,66,45,1
04/16/2020,1081,107,46,1
04/17/2020,1117,36,49,3
04/18/2020,1170,53,49,0
04/19/2020,1207,37,51,2
04/20/2020,1225,18,54,3
04/21/2020,1231,6,55,1
04/22/2020,1259,28,56,1
04/23/2020,1300,41,56,0
04/24/2020,1326,26,57,1
04/25/2020,1367,41,59,2
04/26/2020,1386,19,61,2
04/27/2020,1399,13,65,4
04/28/2020,1421,22,71,6
04/29/2020,1442,21,73,2
04/30/2020,1465,23,77,4
05/01/2020,1494,29,81,4
05/02/2020,1506,12,82,1
05/03/2020,1511,5,84,2
05/04/2020,1518,7,85,1
05/05/2020,1526,8,86,1
05/06/2020,1539,13,88,2
05/07/2020,1572,33,89,1
05/08/2020,1586,14,90,1
05/09/2020,1622,36,91,1
05/10/2020,1642,20,91,0
05/11/2020,1664,22,91,0
05/12/2020,1674,10,92,1
05/13/2020,1694,20,95,3
05/14/2020,1723,29,95,0
05/15/2020,1740,17,97,2
05/16/2020,1762,22,98,1
05/17/2020,1792,30,101,3
05/18/2020,1817,25,104,3
05/19/2020,1839,22,106,2
05/20/2020,1858,19,110,4
05/21/2020,1898,40,111,1
05/22/2020,1921,23,112,1
05/23/2020,1941,20,113,1
05/24/2020,1978,37,113,0
05/25/2020,1999,21,113,0
05/26/2020,2014,15,116,3
05/27/2020,2039,25,119,3
05/28/2020,2077,38,121,2
05/29/2020,2129,52,126,5
05/30/2020,2164,35,131,5
05/31/2020,2226,62,133,2
06/01/2020,2315,89,140,7
06/02/2020,2391,76,141,1
06/03/2020,2492,101,145,4
06/04/2020,2611,119,147,2
06/05/2020,2790,179,149,2
06/06/2020,2915,125,151,2
06/07/2020,3025,110,153,2
06/08/2020,3152,127,156,3
06/09/2020,3239,87,157,1
06/10/2020,3364,125,164,7
06/11/2020,3538,174,169,5
06/12/2020,3701,163,171,2
06/13/2020,3895,194,179,8
06/14/2020,4057,162,188,9
06/15/2020,4157,100,193,5
06/16/2020,4289,132,201,8
06/17/2020,4482,193,210,9
06/18/2020,4664,182,216,6
06/19/2020,4820,156,222,6
06/20/2020,5005,185,233,11
06/21/2020,5106,101,238,5
06/22/2020,5196,90,247,9
06/23/2020,5311,115,251,4
06/24/2020,5445,134,259,8
06/25/2020,5595,150,265,6
06/26/2020,5758,163,268,3
06/27/2020,5906,148,277,9
06/28/2020,6080,174,286,9
06/29/2020,6209,129,298,12
06/30/2020,6334,125,302,4
07/01/2020,6454,120,306,4
07/02/2020,6625,171,321,15
07/03/2020,6787,162,328,7
07/04/2020,6932,145,334,6
07/05/2020,7046,114,341,7
07/06/2020,7124,78,346,5
