Updated,Confirmed,Deaths
04/02/2020,3,0
04/03/2020,4,0
04/04/2020,4,0
04/05/2020,5,0
04/06/2020,8,0
04/07/2020,8,1
04/08/2020,8,1
04/09/2020,9,1
04/10/2020,12,1
04/11/2020,12,2
04/12/2020,15,2
04/13/2020,16,2
04/14/2020,19,2
04/15/2020,19,2
04/16/2020,19,2
04/17/2020,19,2
04/18/2020,19,2
04/19/2020,20,2
04/20/2020,21,2
04/21/2020,22,2
04/22/2020,23,2
04/23/2020,33,3
04/24/2020,33,4
04/25/2020,33,4
04/26/2020,34,4
04/27/2020,36,4
04/28/2020,36,4
04/29/2020,36,4
04/30/2020,37,4
05/01/2020,37,4
05/02/2020,38,4
05/03/2020,39,4
05/04/2020,41,4
05/05/2020,41,4
05/06/2020,43,4
05/07/2020,43,4
05/08/2020,43,4
05/09/2020,56,4
05/10/2020,56,4
05/11/2020,57,4
05/12/2020,58,4
05/13/2020,63,4
05/14/2020,63,4
05/15/2020,64,4
05/16/2020,65,4
05/17/2020,70,4
05/18/2020,70,4
05/19/2020,70,4
05/20/2020,71,4
05/21/2020,72,4
05/22/2020,82,4
05/23/2020,82,4
05/24/2020,83,4
05/25/2020,101,4
05/26/2020,135,4
05/27/2020,169,4
05/28/2020,203,4
05/29/2020,273,4
05/30/2020,279,4
05/31/2020,284,4
06/01/2020,336,4
06/02/2020,358,4
06/03/2020,369,4
06/04/2020,393,4
06/05/2020,409,4
06/06/2020,423,4
06/07/2020,438,4
06/08/2020,440,4
06/09/2020,443,4
06/10/2020,455,4
06/11/2020,481,4
06/12/2020,505,4
06/13/2020,529,5
06/14/2020,547,6
06/15/2020,555,6
06/16/2020,564,6
06/17/2020,572,6
06/18/2020,592,8
06/19/2020,620,8
06/20/2020,730,11
06/21/2020,749,11
06/22/2020,803,11
06/23/2020,848,11
06/24/2020,941,11
06/25/2020,960,12
06/26/2020,1005,13
06/27/2020,1075,13
06/28/2020,1146,13
06/29/2020,1224,13
06/30/2020,1265,16
07/01/2020,1342,16
07/02/2020,1402,16
07/03/2020,1498,16
07/04/2020,1613,17
07/05/2020,1742,19
