Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
03/25/2020,1,0,0,0
03/26/2020,3,2,0,0
03/27/2020,10,7,0,0
03/28/2020,18,8,1,1
03/29/2020,18,0,1,0
03/30/2020,25,7,2,1
03/31/2020,28,3,2,0
04/01/2020,31,3,3,1
04/02/2020,36,5,3,0
04/03/2020,39,3,3,0
04/04/2020,41,2,3,0
04/05/2020,45,4,5,2
04/06/2020,47,2,5,0
04/07/2020,56,9,5,0
04/08/2020,59,3,7,2
04/09/2020,74,15,7,0
04/10/2020,87,13,7,0
04/11/2020,96,9,7,0
04/12/2020,105,9,9,2
04/13/2020,123,18,10,1
04/14/2020,144,21,13,3
04/15/2020,148,4,13,0
04/16/2020,171,23,13,0
04/17/2020,180,9,13,0
04/18/2020,190,10,13,0
04/19/2020,224,34,14,1
04/20/2020,246,22,14,0
04/21/2020,258,12,14,0
04/22/2020,293,35,17,3
04/23/2020,309,16,21,4
04/24/2020,325,16,21,0
04/25/2020,370,45,21,0
04/26/2020,389,19,23,2
04/27/2020,408,19,23,0
04/28/2020,424,16,24,1
04/29/2020,482,58,25,1
04/30/2020,490,8,26,1
05/01/2020,508,18,26,0
05/02/2020,544,36,26,0
05/03/2020,563,19,27,1
05/04/2020,580,17,29,2
05/05/2020,612,32,32,3
05/06/2020,631,19,32,0
05/07/2020,650,19,32,0
05/08/2020,668,18,35,3
05/09/2020,692,24,37,2
05/10/2020,704,12,38,1
05/11/2020,712,8,39,1
05/12/2020,730,18,40,1
05/13/2020,758,28,44,4
05/14/2020,779,21,46,2
05/15/2020,806,27,46,0
05/16/2020,835,29,48,2
05/17/2020,860,25,52,4
05/18/2020,874,14,52,0
05/19/2020,901,27,53,1
05/20/2020,931,30,55,2
05/21/2020,947,16,60,5
05/22/2020,969,22,62,2
05/23/2020,1015,46,63,1
05/24/2020,1030,15,65,2
05/25/2020,1059,29,67,2
05/26/2020,1077,18,70,3
05/27/2020,1116,39,70,0
05/28/2020,1194,78,72,2
05/29/2020,1226,32,73,1
05/30/2020,1250,24,77,4
05/31/2020,1265,15,78,1
06/01/2020,1315,50,78,0
06/02/2020,1351,36,78,0
06/03/2020,1386,35,79,1
06/04/2020,1461,75,85,6
06/05/2020,1485,24,87,2
06/06/2020,1523,38,90,3
06/07/2020,1533,10,90,0
06/08/2020,1547,14,92,2
06/09/2020,1586,39,94,2
06/10/2020,1667,81,96,2
06/11/2020,1722,55,97,1
06/12/2020,1752,30,101,4
06/13/2020,1776,24,104,3
06/14/2020,1804,28,104,0
06/15/2020,1832,28,104,0
06/16/2020,1860,28,104,0
06/17/2020,1885,25,104,0
06/18/2020,1890,5,107,3
06/19/2020,1923,33,108,1
06/20/2020,1928,5,108,0
06/21/2020,1933,5,109,1
06/22/2020,1961,28,111,2
06/23/2020,1978,17,111,0
06/24/2020,2005,27,112,1
06/25/2020,2039,34,113,1
06/26/2020,2060,21,113,0
06/27/2020,2103,43,113,0
06/28/2020,2147,44,114,1
06/29/2020,2160,13,114,0
06/30/2020,2173,13,115,1
07/01/2020,2202,29,116,1
07/02/2020,2243,41,116,0
07/03/2020,2285,42,117,1
07/04/2020,2303,18,118,1
07/05/2020,2303,0,118,0
