Updated,Confirmed,Deaths
03/15/2020,1,0.0
03/16/2020,1,0.0
03/17/2020,1,0.0
03/18/2020,1,0.0
03/22/2020,24,0.0
03/23/2020,30,0.0
03/24/2020,35,0.0
03/25/2020,35,0.0
03/26/2020,35,0.0
03/27/2020,35,0.0
03/30/2020,82,0.0
03/31/2020,94,0.0
04/01/2020,101,1.0
04/02/2020,116,2.0
04/03/2020,128,2.0
04/04/2020,134,2.0
04/05/2020,147,2.0
04/06/2020,159,2.0
04/07/2020,171,2.0
04/08/2020,178,2.0
04/09/2020,186,2.0
04/10/2020,191,2.0
04/11/2020,196,3.0
04/12/2020,201,3.0
04/13/2020,207,3.0
04/14/2020,217,3.0
04/15/2020,221,3.0
04/16/2020,233,3.0
04/17/2020,245,4.0
04/18/2020,254,4.0
04/19/2020,264,4.0
04/20/2020,274,4.0
04/21/2020,284,4.0
04/22/2020,221,3.0
04/23/2020,35,2.0
04/24/2020,221,3.0
04/26/2020,221,3.0
04/27/2020,35,2.0
04/28/2020,221,3.0
04/29/2020,221,3.0
04/30/2020,221,3.0
05/01/2020,221,3.0
05/02/2020,221,3.0
05/03/2020,221,3.0
05/04/2020,221,3.0
05/05/2020,221,3.0
05/06/2020,221,3.0
05/07/2020,221,3.0
05/08/2020,221,3.0
05/09/2020,221,3.0
05/10/2020,221,3.0
05/11/2020,221,3.0
05/12/2020,221,3.0
05/13/2020,221,3.0
05/14/2020,221,3.0
05/15/2020,221,3.0
05/16/2020,221,3.0
05/17/2020,221,3.0
05/18/2020,221,3.0
05/19/2020,221,3.0
05/20/2020,221,3.0
05/21/2020,221,3.0
05/22/2020,221,3.0
05/23/2020,221,3.0
05/24/2020,221,3.0
05/25/2020,221,3.0
05/26/2020,221,3.0
05/27/2020,221,3.0
05/28/2020,221,3.0
05/29/2020,221,3.0
05/30/2020,221,3.0
05/31/2020,221,3.0
06/01/2020,221,3.0
06/02/2020,221,3.0
06/03/2020,221,3.0
06/04/2020,221,3.0
06/05/2020,221,3.0
06/06/2020,221,3.0
06/07/2020,221,3.0
06/08/2020,221,3.0
06/09/2020,221,3.0
06/10/2020,221,3.0
06/11/2020,221,3.0
06/12/2020,221,3.0
06/13/2020,221,3.0
06/14/2020,221,3.0
06/15/2020,221,3.0
06/16/2020,221,3.0
06/17/2020,221,3.0
06/18/2020,221,3.0
06/19/2020,221,3.0
06/20/2020,221,3.0
06/21/2020,221,3.0
06/22/2020,221,3.0
06/23/2020,221,3.0
06/24/2020,221,3.0
06/25/2020,221,3.0
