Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
02/28/2020,3,0,0,0
02/29/2020,4,1,0,0
03/01/2020,5,1,0,0
03/02/2020,5,0,0,0
03/03/2020,5,0,0,0
03/04/2020,5,0,0,0
03/05/2020,5,0,0,0
03/06/2020,6,1,0,0
03/07/2020,7,1,0,0
03/08/2020,7,0,0,0
03/09/2020,7,0,0,0
03/10/2020,7,0,0,0
03/11/2020,11,4,0,0
03/12/2020,15,4,0,0
03/13/2020,26,11,0,0
03/14/2020,41,15,0,0
03/15/2020,53,12,0,0
03/16/2020,82,29,0,0
03/17/2020,93,11,0,0
03/18/2020,118,25,0,0
03/19/2020,164,46,1,1
03/20/2020,203,39,2,1
03/21/2020,251,48,2,0
03/22/2020,316,65,2,0
03/23/2020,367,51,4,2
03/24/2020,405,38,5,1
03/25/2020,475,70,6,1
03/26/2020,585,110,8,2
03/27/2020,717,132,12,4
03/28/2020,848,131,16,4
03/29/2020,993,145,20,4
03/30/2020,1094,101,28,8
03/31/2020,1215,121,29,1
04/01/2020,1378,163,37,8
04/02/2020,1510,132,50,13
04/03/2020,1688,178,60,10
04/04/2020,1890,202,79,19
04/05/2020,2143,253,94,15
04/06/2020,2439,296,125,31
04/07/2020,2785,346,141,16
04/08/2020,3181,396,174,33
04/09/2020,3441,260,194,20
04/10/2020,3844,403,233,39
04/11/2020,4219,375,273,40
04/12/2020,4661,442,296,23
04/13/2020,5014,353,332,36
04/14/2020,5399,385,406,74
04/15/2020,5847,448,449,43
04/16/2020,6297,450,486,37
04/17/2020,6875,578,546,60
04/18/2020,7497,622,650,104
04/19/2020,8261,764,686,36
04/20/2020,8772,511,712,26
04/21/2020,9501,729,857,145
04/22/2020,10544,1043,970,113
04/23/2020,11633,1089,1069,99
04/24/2020,12872,1239,1221,152
04/25/2020,13842,970,1305,84
04/26/2020,14677,835,1351,46
04/27/2020,15529,852,1434,83
04/28/2020,16752,1223,1569,135
04/29/2020,17799,1047,1732,163
04/30/2020,19224,1425,1859,127
05/01/2020,20739,1515,1972,113
05/02/2020,22088,1349,2061,89
05/03/2020,23471,1383,2154,93
05/04/2020,24905,1434,2271,117
05/05/2020,26025,1120,2507,236
05/06/2020,27634,1609,2704,197
05/07/2020,29616,1982,2961,257
05/08/2020,31522,1906,3160,199
05/09/2020,33460,1938,3353,193
05/10/2020,35022,1562,3465,112
05/11/2020,36327,1305,3573,108
05/12/2020,38324,1997,3926,353
05/13/2020,40186,1862,4220,294
05/14/2020,42595,2409,4477,257
05/15/2020,45032,2437,4767,290
05/16/2020,47144,2112,5045,278
05/17/2020,49219,2075,5177,132
05/18/2020,51633,2414,5332,155
05/19/2020,54346,2713,5666,334
05/20/2020,56594,2248,6090,424
05/21/2020,59567,2973,6510,420
05/22/2020,62527,2960,6989,479
05/23/2020,65856,3329,7179,190
05/24/2020,68620,2764,7394,215
05/25/2020,71105,2485,7633,239
05/26/2020,74560,3455,8134,501
05/27/2020,78023,3463,8597,463
05/28/2020,81400,3377,9044,447
05/29/2020,84627,3227,9415,371
05/30/2020,87512,2885,9779,364
05/31/2020,90664,3152,9930,151
06/01/2020,93435,2771,10167,237
06/02/2020,97326,3891,10637,470
06/03/2020,101238,3912,11729,1092
06/04/2020,105680,4442,12545,816
06/05/2020,110026,4346,13170,625
06/06/2020,113619,3593,13511,341
06/07/2020,117103,3484,13699,188
06/08/2020,120102,2999,14053,354
06/09/2020,124301,4199,14649,596
06/10/2020,129184,4883,15357,708
06/11/2020,133974,4790,15944,587
06/12/2020,139196,5222,16448,504
06/13/2020,142690,3494,16872,424
06/14/2020,146837,4147,17141,269
06/15/2020,150264,3427,17580,439
06/16/2020,154863,4599,18310,730
06/17/2020,159793,4930,19080,770
06/18/2020,165455,5662,19747,667
06/19/2020,170485,5030,20394,647
06/20/2020,175202,4717,20781,387
06/21/2020,180545,5343,21825,1044
06/22/2020,185122,4577,22584,759
06/23/2020,191410,6288,23377,793
06/24/2020,196847,5437,24324,947
06/25/2020,202951,6104,25060,736
06/26/2020,208392,5441,25779,719
06/27/2020,212802,4410,26381,602
06/28/2020,216852,4050,26648,267
06/29/2020,220657,3805,27121,473
06/30/2020,226089,5432,27769,648
07/01/2020,231770,5681,28510,741
07/02/2020,238511,6741,29189,679
07/03/2020,245251,6740,29843,654
07/04/2020,252165,6914,30366,523
07/05/2020,256848,4683,30639,273
07/06/2020,261750,4902,31119,480
