Updated,Confirmed,Deaths
03/17/2020,2,0
03/18/2020,8,0
03/19/2020,13,0
03/20/2020,14,0
03/21/2020,16,0
03/22/2020,22,1
03/23/2020,27,1
03/24/2020,47,1
03/25/2020,53,1
03/26/2020,69,1
03/27/2020,82,1
03/28/2020,84,1
03/29/2020,85,2
03/30/2020,91,2
03/31/2020,109,2
04/01/2020,123,2
04/02/2020,140,2
04/03/2020,174,2
04/04/2020,201,2
04/05/2020,214,2
04/06/2020,233,2
04/07/2020,241,2
04/08/2020,248,2
04/09/2020,252,2
04/10/2020,255,2
04/11/2020,263,2
04/12/2020,272,3
04/13/2020,274,3
04/14/2020,283,4
04/15/2020,288,4
04/16/2020,303,4
04/17/2020,305,5
04/18/2020,307,5
04/19/2020,308,5
04/20/2020,312,5
04/21/2020,313,5
04/22/2020,315,5
04/23/2020,316,5
04/24/2020,319,6
04/25/2020,320,6
04/26/2020,321,7
04/27/2020,321,7
04/28/2020,321,7
04/29/2020,322,7
04/30/2020,322,7
05/01/2020,322,7
05/02/2020,322,8
05/03/2020,322,8
05/04/2020,323,8
05/05/2020,323,8
05/06/2020,324,8
05/07/2020,324,8
05/08/2020,324,8
05/09/2020,324,8
05/10/2020,324,9
05/11/2020,324,9
05/12/2020,324,9
05/13/2020,324,9
05/14/2020,324,9
05/15/2020,324,9
05/16/2020,324,9
05/17/2020,324,9
05/18/2020,324,9
05/19/2020,324,9
05/20/2020,324,9
05/21/2020,324,9
05/22/2020,324,9
05/23/2020,324,9
05/24/2020,324,9
05/25/2020,324,9
05/26/2020,324,9
05/27/2020,324,9
05/28/2020,324,9
05/29/2020,324,9
05/30/2020,324,9
05/31/2020,324,9
06/01/2020,324,9
06/02/2020,324,9
06/03/2020,324,9
06/04/2020,324,9
06/05/2020,324,9
06/06/2020,324,9
06/07/2020,324,9
06/08/2020,324,9
06/09/2020,324,9
06/10/2020,324,9
06/11/2020,324,9
06/12/2020,324,9
06/13/2020,324,9
06/14/2020,324,9
06/15/2020,325,9
06/16/2020,326,9
06/17/2020,334,9
06/18/2020,337,9
06/19/2020,355,9
06/20/2020,359,9
06/21/2020,362,9
06/22/2020,367,9
06/23/2020,378,9
06/24/2020,389,9
06/25/2020,414,9
06/26/2020,439,9
06/27/2020,460,9
06/28/2020,481,11
06/29/2020,526,12
06/30/2020,554,12
07/01/2020,576,12
07/02/2020,605,12
07/03/2020,634,12
07/04/2020,663,13
07/05/2020,663,13
