Updated,Confirmed,Deaths
03/02/2020,1,0.0
03/03/2020,1,0.0
03/04/2020,1,0.0
03/05/2020,2,0.0
03/06/2020,2,0.0
03/07/2020,2,0.0
03/08/2020,2,0.0
03/09/2020,2,0.0
03/10/2020,3,1.0
03/11/2020,6,1.0
03/12/2020,6,1.0
03/13/2020,8,1.0
03/14/2020,18,1.0
03/15/2020,28,1.0
03/16/2020,37,1.0
03/17/2020,44,2.0
03/18/2020,54,2.0
03/19/2020,63,2.0
03/20/2020,79,3.0
03/21/2020,96,3.0
03/22/2020,115,4.0
03/23/2020,143,4.0
03/24/2020,170,5.0
03/25/2020,225,6.0
03/26/2020,275,10.0
03/27/2020,345,23.0
03/28/2020,402,25.0
03/29/2020,479,26.0
03/30/2020,556,33.0
03/31/2020,617,36.0
04/01/2020,654,39.0
04/02/2020,708,44.0
04/03/2020,791,48.0
04/04/2020,919,59.0
04/05/2020,1021,70.0
04/06/2020,1120,80.0
04/07/2020,1184,90.0
04/08/2020,1275,93.0
04/09/2020,1374,97.0
04/10/2020,1448,107.0
04/11/2020,1545,111.0
04/12/2020,1661,118.0
04/13/2020,1763,126.0
04/14/2020,1888,126.0
04/15/2020,2024,127.0
04/16/2020,2283,130.0
04/17/2020,2564,135.0
04/18/2020,2685,137.0
04/19/2020,2855,141.0
04/20/2020,3046,143.0
04/21/2020,3209,145.0
04/22/2020,3446,149.0
04/23/2020,3568,155.0
04/24/2020,3758,158.0
04/25/2020,3897,159.0
04/26/2020,4065,161.0
04/27/2020,4120,162.0
04/28/2020,4252,165.0
04/29/2020,4321,168.0
04/30/2020,4423,170.0
05/01/2020,4569,171.0
05/02/2020,4729,173.0
05/03/2020,4903,174.0
05/04/2020,5053,179.0
05/05/2020,5219,181.0
05/06/2020,5408,183.0
05/07/2020,5548,183.0
05/08/2020,5711,186.0
05/09/2020,5910,186.0
05/10/2020,6063,188.0
05/11/2020,6281,188.0
05/12/2020,6418,188.0
05/13/2020,6516,188.0
05/14/2020,6607,190.0
05/15/2020,6652,190.0
05/16/2020,6741,192.0
05/17/2020,6870,192.0
05/18/2020,6952,192.0
05/19/2020,7023,193.0
05/20/2020,7133,194.0
05/21/2020,7211,196.0
05/22/2020,7332,197.0
05/23/2020,7406,198.0
05/24/2020,7433,199.0
05/25/2020,7532,200.0
05/26/2020,7577,202.0
05/27/2020,7601,202.0
05/28/2020,7643,202.0
05/29/2020,7714,202.0
05/30/2020,7780,204.0
05/31/2020,7807,205.0
06/01/2020,7833,205.0
06/02/2020,7866,206.0
06/03/2020,7922,206.0
06/04/2020,8003,208.0
06/05/2020,8071,208.0
06/06/2020,8151,208.0
06/07/2020,8224,208.0
06/08/2020,8302,208.0
06/09/2020,8437,210.0
06/10/2020,8508,211.0
06/11/2020,8537,211.0
06/12/2020,8610,212.0
06/13/2020,8692,212.0
06/14/2020,8793,212.0
06/15/2020,8885,212.0
06/16/2020,8931,212.0
06/17/2020,8997,213.0
06/18/2020,9074,213.0
06/19/2020,9613,213.0
06/20/2020,9839,213.0
06/21/2020,9977,214.0
06/22/2020,10172,214.0
06/23/2020,10344,214.0
06/24/2020,10907,214.0
06/25/2020,11338,217.0
