Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
01/25/2020,1,0,0,0
01/26/2020,1,0,0,0
01/27/2020,1,0,0,0
01/28/2020,1,0,0,0
01/29/2020,1,0,0,0
01/30/2020,1,0,0,0
01/31/2020,1,0,0,0
02/01/2020,1,0,0,0
02/02/2020,1,0,0,0
02/03/2020,1,0,0,0
02/04/2020,1,0,0,0
02/05/2020,1,0,0,0
02/06/2020,1,0,0,0
02/07/2020,1,0,0,0
02/08/2020,1,0,0,0
02/09/2020,1,0,0,0
02/10/2020,1,0,0,0
02/11/2020,1,0,0,0
02/12/2020,1,0,0,0
02/13/2020,1,0,0,0
02/14/2020,1,0,0,0
02/15/2020,1,0,0,0
02/16/2020,1,0,0,0
02/17/2020,1,0,0,0
02/18/2020,1,0,0,0
02/19/2020,1,0,0,0
02/20/2020,1,0,0,0
02/21/2020,1,0,0,0
02/22/2020,1,0,0,0
02/23/2020,1,0,0,0
02/24/2020,1,0,0,0
02/25/2020,1,0,0,0
02/26/2020,1,0,0,0
02/27/2020,1,0,0,0
02/28/2020,1,0,0,0
02/29/2020,1,0,0,0
03/01/2020,1,0,0,0
03/02/2020,1,0,0,0
03/03/2020,1,0,0,0
03/04/2020,1,0,0,0
03/05/2020,1,0,0,0
03/06/2020,1,0,0,0
03/07/2020,1,0,0,0
03/08/2020,1,0,0,0
03/09/2020,1,0,0,0
03/10/2020,1,0,0,0
03/11/2020,1,0,0,0
03/12/2020,1,0,0,0
03/13/2020,1,0,0,0
03/14/2020,1,0,0,0
03/15/2020,1,0,0,0
03/16/2020,1,0,0,0
03/17/2020,1,0,0,0
03/18/2020,1,0,0,0
03/19/2020,1,0,0,0
03/20/2020,1,0,0,0
03/21/2020,1,0,0,0
03/22/2020,1,0,0,0
03/23/2020,2,1,0,0
03/24/2020,2,0,0,0
03/25/2020,3,1,0,0
03/26/2020,3,0,0,0
03/27/2020,4,1,0,0
03/28/2020,5,1,0,0
03/29/2020,5,0,0,0
03/30/2020,5,0,0,0
03/31/2020,5,0,0,0
04/01/2020,5,0,0,0
04/02/2020,6,1,0,0
04/03/2020,6,0,0,0
04/04/2020,9,3,0,0
04/05/2020,9,0,0,0
04/06/2020,9,0,0,0
04/07/2020,9,0,0,0
04/08/2020,9,0,0,0
04/09/2020,9,0,0,0
04/10/2020,9,0,0,0
04/11/2020,9,0,0,0
04/12/2020,12,3,0,0
04/13/2020,14,2,0,0
04/14/2020,16,2,0,0
04/16/2020,16,0,0,0
04/17/2020,30,14,0,0
04/18/2020,31,1,0,0
04/19/2020,34,3,0,0
04/20/2020,38,4,0,0
04/21/2020,42,4,0,0
04/22/2020,45,3,0,0
04/23/2020,48,3,0,0
04/24/2020,48,0,0,0
04/25/2020,48,0,0,0
04/26/2020,52,4,0,0
04/27/2020,53,1,0,0
04/28/2020,54,1,0,0
04/29/2020,57,3,0,0
04/30/2020,58,1,0,0
05/01/2020,59,1,0,0
05/02/2020,67,8,0,0
05/03/2020,75,8,0,0
05/04/2020,78,3,0,0
05/05/2020,82,4,0,0
05/06/2020,99,17,0,0
05/07/2020,101,2,0,0
05/08/2020,102,1,0,0
05/09/2020,109,7,0,0
05/10/2020,110,1,0,0
05/11/2020,134,24,0,0
05/12/2020,217,83,0,0
05/13/2020,243,26,0,0
05/14/2020,249,6,0,0
05/15/2020,258,9,0,0
05/16/2020,281,23,1,1
05/17/2020,295,14,2,1
05/18/2020,375,80,2,0
05/19/2020,407,32,2,0
05/20/2020,427,20,2,0
05/21/2020,457,30,3,1
05/22/2020,516,59,3,0
05/23/2020,584,68,3,0
05/24/2020,603,19,3,0
05/25/2020,682,79,4,1
05/26/2020,772,90,4,0
05/27/2020,886,114,4,0
05/28/2020,1042,156,5,1
05/29/2020,1212,170,6,1
05/30/2020,1401,189,6,0
05/31/2020,1572,171,8,2
06/01/2020,1811,239,8,0
06/02/2020,2099,288,8,0
06/03/2020,2300,201,9,1
06/04/2020,2634,334,10,1
06/05/2020,2912,278,11,1
06/06/2020,3235,323,13,2
06/07/2020,3448,213,13,0
06/08/2020,3762,314,14,1
06/09/2020,4085,323,15,1
06/10/2020,4364,279,15,0
06/11/2020,4614,250,15,0
06/12/2020,5062,448,16,1
06/13/2020,5335,273,18,2
06/14/2020,5760,425,19,1
06/15/2020,6211,451,19,0
06/16/2020,6591,380,19,0
06/17/2020,6884,293,19,0
06/18/2020,7177,293,20,1
06/19/2020,7848,671,22,2
06/20/2020,8274,426,22,0
06/21/2020,9026,752,23,1
06/22/2020,9561,535,23,0
06/23/2020,10099,538,24,1
06/24/2020,10728,629,24,0
06/25/2020,11162,434,26,2
06/26/2020,11755,593,27,1
06/27/2020,12263,508,27,0
06/28/2020,12772,509,28,1
06/29/2020,13248,476,29,1
06/30/2020,13647,399,29,0
07/01/2020,14046,399,30,1
07/02/2020,14652,606,30,0
07/03/2020,15259,607,32,2
07/04/2020,15491,232,34,2
07/05/2020,15784,293,34,0
