Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
02/27/2020,1,0,0,0
02/28/2020,2,1,0,0
02/29/2020,6,4,0,0
03/01/2020,9,3,0,0
03/02/2020,19,10,0,0
03/03/2020,24,5,0,0
03/04/2020,38,14,0,0
03/05/2020,82,44,0,0
03/06/2020,128,46,1,1
03/07/2020,188,60,1,0
03/08/2020,264,76,3,2
03/09/2020,321,57,4,1
03/10/2020,382,61,4,0
03/11/2020,503,121,5,1
03/12/2020,614,111,5,0
03/13/2020,804,190,10,5
03/14/2020,959,155,12,2
03/15/2020,1135,176,20,8
03/16/2020,1413,278,24,4
03/17/2020,1705,292,43,19
03/18/2020,2051,346,58,15
03/19/2020,2460,409,76,18
03/20/2020,2994,534,106,30
03/21/2020,3631,637,136,30
03/22/2020,4204,573,179,43
03/23/2020,4749,545,213,34
03/24/2020,5560,811,276,63
03/25/2020,6412,852,356,80
03/26/2020,7431,1019,434,78
03/27/2020,8603,1172,546,112
03/28/2020,9762,1159,639,93
03/29/2020,10866,1104,771,132
03/30/2020,11750,884,864,93
03/31/2020,12595,845,1039,175
04/01/2020,13614,1019,1173,134
04/02/2020,14697,1083,1339,166
04/03/2020,15723,1026,1487,148
04/04/2020,16627,904,1651,164
04/05/2020,17851,1224,1766,115
04/06/2020,18803,952,1867,101
04/07/2020,19580,777,2101,234
04/08/2020,20549,969,2248,147
04/09/2020,21762,1213,2396,148
04/10/2020,23097,1335,2511,115
04/11/2020,24413,1316,2643,132
04/12/2020,25587,1174,2737,94
04/13/2020,26551,964,2823,86
04/14/2020,27419,868,2945,122
04/15/2020,28153,734,3134,189
04/16/2020,29214,1061,3315,181
04/17/2020,30449,1235,3459,144
04/18/2020,31589,1140,3601,142
04/19/2020,32655,1066,3684,83
04/20/2020,33405,750,3751,67
04/21/2020,34134,729,3916,165
04/22/2020,34842,708,4054,138
04/23/2020,35729,887,4177,123
04/24/2020,36535,806,4289,112
04/25/2020,37190,655,4409,120
04/26/2020,37845,655,4475,66
04/27/2020,38245,400,4518,43
04/28/2020,38416,171,4566,48
04/29/2020,38802,386,4711,145
04/30/2020,39316,514,4795,84
05/01/2020,39791,475,4893,98
05/02/2020,40236,445,4987,94
05/03/2020,40571,335,5056,69
05/04/2020,40770,199,5082,26
05/05/2020,41087,317,5168,86
05/06/2020,41319,232,5204,36
05/07/2020,41774,455,5288,84
05/08/2020,42093,319,5359,71
05/09/2020,42382,289,5422,63
05/10/2020,42627,245,5440,18
05/11/2020,42788,161,5456,16
05/12/2020,42984,196,5510,54
05/13/2020,43211,227,5562,52
05/14/2020,43481,270,5590,28
05/15/2020,43681,200,5643,53
05/16/2020,43870,189,5670,27
05/17/2020,43995,125,5680,10
05/18/2020,44141,146,5694,14
05/19/2020,44249,108,5715,21
05/20/2020,44447,198,5748,33
05/21/2020,44700,253,5775,27
05/22/2020,44888,188,5788,13
05/23/2020,45064,176,5811,23
05/24/2020,45236,172,5822,11
05/25/2020,45445,209,5830,8
05/26/2020,45578,133,5856,26
05/27/2020,45768,190,5871,15
05/28/2020,45950,182,5903,32
05/29/2020,46126,176,5931,28
05/30/2020,46257,131,5951,20
05/31/2020,46442,185,5956,5
06/01/2020,46545,103,5962,6
06/02/2020,46647,102,5967,5
06/03/2020,46733,86,5977,10
06/04/2020,46942,209,5990,13
06/05/2020,47152,210,6005,15
06/06/2020,47335,183,6011,6
06/07/2020,47574,239,6013,2
06/08/2020,47739,165,6016,3
06/09/2020,47903,164,6031,15
06/10/2020,48087,184,6042,11
06/11/2020,48251,164,6044,2
06/12/2020,48461,210,6053,9
06/13/2020,48640,179,6057,4
06/14/2020,48783,143,6059,2
06/15/2020,48948,165,6065,6
06/16/2020,49087,139,6070,5
06/17/2020,49204,117,6074,4
06/18/2020,49319,115,6078,4
06/19/2020,49426,107,6081,3
06/20/2020,49502,76,6089,8
06/21/2020,49593,91,6090,1
06/22/2020,49658,65,6090,0
06/23/2020,49722,64,6095,5
06/24/2020,49804,82,6097,2
06/25/2020,49914,110,6100,3
06/26/2020,50005,91,6103,3
06/27/2020,50074,69,6105,2
06/28/2020,50147,73,6105,0
06/29/2020,50223,76,6107,2
06/30/2020,50273,50,6113,6
07/01/2020,50330,57,6119,6
07/02/2020,50332,2,6113,-6
07/03/2020,50335,3,6113,0
07/04/2020,50335,0,6113,0
07/05/2020,50335,0,6113,0
