Updated,Confirmed,Deaths
03/18/2020,1,0
03/19/2020,1,0
03/20/2020,2,0
03/21/2020,2,0
03/22/2020,2,0
03/23/2020,2,0
03/24/2020,2,0
03/25/2020,2,0
03/26/2020,2,0
03/27/2020,4,0
03/28/2020,4,1
03/29/2020,4,1
03/30/2020,5,1
03/31/2020,5,1
04/01/2020,5,1
04/02/2020,5,1
04/03/2020,5,1
04/04/2020,5,1
04/05/2020,6,1
04/06/2020,6,1
04/07/2020,6,1
04/08/2020,6,1
04/09/2020,7,1
04/10/2020,7,1
04/11/2020,9,1
04/12/2020,9,1
04/14/2020,11,1
04/15/2020,11,1
04/16/2020,11,1
04/17/2020,11,1
04/18/2020,11,1
04/19/2020,11,2
04/20/2020,11,2
04/21/2020,11,2
04/22/2020,11,2
04/23/2020,11,3
04/24/2020,11,3
04/25/2020,12,3
04/26/2020,13,3
04/27/2020,13,3
04/28/2020,14,4
04/29/2020,14,4
04/30/2020,14,4
05/01/2020,14,4
05/02/2020,14,4
05/03/2020,15,5
05/04/2020,15,5
05/05/2020,16,5
05/06/2020,16,5
05/07/2020,16,5
05/08/2020,16,5
05/09/2020,16,5
05/10/2020,16,5
05/11/2020,16,5
05/12/2020,25,8
05/13/2020,25,8
05/14/2020,25,8
05/15/2020,25,8
05/16/2020,25,8
05/17/2020,25,8
05/18/2020,25,8
05/19/2020,25,8
05/20/2020,25,8
05/21/2020,25,8
05/22/2020,25,8
05/23/2020,25,8
05/24/2020,25,8
05/25/2020,25,8
05/27/2020,3425,58
05/28/2020,3425,58
05/29/2020,3425,58
05/31/2020,759,35
06/01/2020,759,35
06/02/2020,1118,46
06/03/2020,1118,46
06/04/2020,1118,46
06/05/2020,1118,46
06/06/2020,1118,46
06/07/2020,1118,46
06/08/2020,1118,46
06/09/2020,1464,55
06/10/2020,1464,55
06/11/2020,1464,55
06/12/2020,1464,55
06/13/2020,1464,55
06/14/2020,1464,55
06/15/2020,1464,55
06/16/2020,1661,64
06/17/2020,1823,64
06/18/2020,1823,64
06/19/2020,1823,64
06/20/2020,1823,64
06/21/2020,1823,64
06/22/2020,1118,46
06/23/2020,2170,74
06/24/2020,2170,74
06/25/2020,2170,74
06/26/2020,2170,74
06/27/2020,2170,74
06/28/2020,2170,74
06/29/2020,2170,74
06/30/2020,2519,83
07/01/2020,2170,74
07/02/2020,2170,74
07/03/2020,2519,83
07/04/2020,2519,83
07/05/2020,2182,83
