Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
02/27/2020,1,0,0,0
02/28/2020,1,0,0,0
02/29/2020,1,0,0,0
03/01/2020,1,0,0,0
03/02/2020,1,0,0,0
03/03/2020,1,0,0,0
03/04/2020,1,0,0,0
03/05/2020,1,0,0,0
03/06/2020,1,0,0,0
03/07/2020,1,0,0,0
03/08/2020,1,0,0,0
03/09/2020,2,1,0,0
03/10/2020,2,0,0,0
03/11/2020,2,0,0,0
03/12/2020,2,0,0,0
03/13/2020,2,0,0,0
03/14/2020,2,0,0,0
03/15/2020,2,0,0,0
03/16/2020,2,0,0,0
03/17/2020,2,0,0,0
03/18/2020,7,5,0,0
03/19/2020,11,4,0,0
03/20/2020,12,1,0,0
03/21/2020,22,10,0,0
03/22/2020,30,8,0,0
03/23/2020,36,6,1,1
03/24/2020,44,8,1,0
03/25/2020,51,7,1,0
03/26/2020,65,14,1,0
03/27/2020,81,16,1,0
03/28/2020,97,16,1,0
03/29/2020,111,14,1,0
03/30/2020,131,20,2,1
03/31/2020,151,20,2,0
04/01/2020,174,23,2,0
04/02/2020,184,10,2,0
04/03/2020,209,25,2,0
04/04/2020,214,5,4,2
04/05/2020,232,18,5,1
04/06/2020,238,6,5,0
04/07/2020,254,16,6,1
04/08/2020,274,20,6,0
04/09/2020,288,14,7,1
04/10/2020,305,17,7,0
04/11/2020,318,13,10,3
04/12/2020,323,5,10,0
04/13/2020,343,20,10,0
04/14/2020,373,30,11,1
04/15/2020,407,34,12,1
04/16/2020,442,35,13,1
04/17/2020,493,51,17,4
04/18/2020,541,48,19,2
04/19/2020,627,86,21,2
04/20/2020,665,38,22,1
04/21/2020,782,117,22,0
04/22/2020,873,91,28,6
04/23/2020,981,108,31,3
04/24/2020,1095,114,32,1
04/25/2020,1182,87,36,4
04/26/2020,1273,91,40,4
04/27/2020,1337,64,42,2
04/28/2020,1532,195,44,2
04/29/2020,1728,196,51,7
04/30/2020,1932,204,58,7
05/01/2020,2170,238,68,10
05/02/2020,2388,218,85,17
05/03/2020,2558,170,87,2
05/04/2020,2802,244,93,6
05/05/2020,2948,146,98,5
05/06/2020,3145,197,103,5
05/07/2020,3526,381,107,4
05/08/2020,3912,386,117,10
05/09/2020,4151,239,128,11
05/10/2020,4399,248,143,15
05/11/2020,4641,242,151,8
05/12/2020,4787,146,158,7
05/13/2020,4971,184,164,6
05/14/2020,5162,191,167,3
05/15/2020,5450,288,171,4
05/16/2020,5621,171,176,5
05/17/2020,5959,338,182,6
05/18/2020,6175,216,192,10
05/19/2020,6401,226,192,0
05/20/2020,6677,276,200,8
05/21/2020,7016,339,211,11
05/22/2020,7261,245,221,10
05/23/2020,7526,265,221,0
05/24/2020,7839,313,226,5
05/25/2020,8086,247,233,7
05/26/2020,8344,258,249,16
05/27/2020,8733,389,254,5
05/28/2020,8915,182,259,5
05/29/2020,9302,387,261,2
05/30/2020,9855,553,273,12
05/31/2020,10162,307,287,14
06/01/2020,10578,416,299,12
06/02/2020,10819,241,314,15
06/03/2020,11167,348,314,0
06/04/2020,11516,349,323,9
06/05/2020,11844,328,333,10
06/06/2020,12233,389,342,9
06/07/2020,12486,253,354,12
06/08/2020,12801,315,361,7
06/09/2020,13464,663,365,4
06/10/2020,13873,409,382,17
06/11/2020,14554,681,387,5
06/12/2020,15181,627,399,12
06/13/2020,15682,501,407,8
06/14/2020,16007,325,407,0
06/15/2020,16332,325,407,0
06/16/2020,16658,326,424,17
06/17/2020,17735,1077,469,45
06/18/2020,18480,745,475,6
06/19/2020,19147,667,487,12
06/20/2020,19808,661,506,19
06/21/2020,20244,436,518,12
06/22/2020,20919,675,525,7
06/23/2020,21371,452,533,8
06/24/2020,22020,649,542,9
06/25/2020,22614,594,549,7
06/26/2020,23298,684,554,5
06/27/2020,24077,779,558,4
06/28/2020,24567,490,565,7
06/29/2020,25133,566,573,8
06/30/2020,25694,561,590,17
07/01/2020,26484,790,603,13
07/02/2020,27110,626,616,13
07/03/2020,27564,454,628,12
07/04/2020,28167,603,634,6
07/05/2020,28711,544,645,11
07/06/2020,29286,575,654,9
